abot-kAya	affordable
abusAdo	abusive
alIsto	alert, sharp minded
babasagIn	fragile
bagIto	inexperienced
baldAdo	crippled
balikO	crooked
baluktOt	bent/askew/twisted/distorted
banAl	holy/divine
banAyad	gentle, moderate
bansOt	stunted
barAdo	clogged, obstructed
barumbAdo	temperamentel
basAg	broken, cracked
biglAan	sudden, unexpected
bihIra	rare, uncommon
bilOd	round
bilohabA	oblong
bingI	deaf, hard of hearing
bungangera	talkative, loquacious
bubOt	unripe
bugnUtin	irritable, peevish
bukas-pAlad	generous
bulAg	blind
bulOk	rotten, decayed
buong-puso	wholehearted
burarA	untidy, sloppy
buwAng	crazy, insane
butAs	punctured, has a hole
butAs-butAs	perforated
dalIsay	pure
dambuhAla	giant, enormous
dukhA	poor, destitute, indigent
galAnte	generous
ganAp	absolute, complete, full-fledged
gastadOr	extravagant, spendthrift
gusOt	crumpled, wrinkled
hilAw	raw, unripe
hindi patas	unfair
hinOg	ripe
habilOg	oval
hulI	last, late
inggitera	envious
isip-bata	childish, immature
kaakit-akit	attractive
kaawa-awa	pitiful
kahanga-hanga	amazing, admirable
kakaibA	distinctive, unique, peculiar
kakarampOt	meager
kalunOs-lunOs	tragic, pathetic
kapanI-paniwAla	credible, convincing, believable
kasuklAm-suklAm	loathsome, disgusting
katitIng	very little (size, amount)
kayumanggI	brown-skinned
kilalA	well-known, famous
kinakabahAn	nervous
kulOt	curly
kulu-kulubOt	wrinkled, all wrinkly
kupAs	faded
kurIpot	stingy
kusang-loob	voluntary
lagAnap	widespread
lantA	withered, wilted
laOs	obsolete, outdated
lasIng	drunk, intoxicated
liblIb	remote, secluded
ligtAs	safe
linggUhan	weekly
lubAk-lubAk	full of potholes
lUma	old, worn
maAasAhan	dependable, reliable
maAlalahanIn	thoughtful, considerate
maAlat	salty
maAlikabOk	dusty
maAliwAlas	bright and pleasant weather
maAngas	arrogant, proud
maAnghAng	spicy
maantA	rancid
maAsim	sour
maawaIn	merciful, compassionate
mabAba	low
mabAbaw	shallow
mabAgal	slow
mabAho	smelly, stinky
mabaIt	kind, good-natured
mabangIs	fierce, ferocious, savage
mabangO	fragrant
mabEnta	marketable, good-selling
mabigAt	heavy
mabIni	modest, demure
mabusIsi	detail-oriented
madAya	deceitful, dishonest
madilAw	yellowish
madiskArte	resourceful
madugO	bloody
madulAs	slippery
madumI	dirty
madUngis	scruffy, untidy
magaAn	light (not heavy)
magAlang	respectful
magalAs	rough, coarse
magAna	zestful, having appetite
magaspAng	rough
magAstos	spendthrift
magIliw	affectionate
maginAw	chilly (weather)
maginoO	gentlemanly
magkaibA	dissimilar
magulO	messy, chaotic, disorderly
mahAba	long
maharOt	flirtatious, mischievous
mahigpIt	tight, strict
mahIlig fond of something
mahIna	weak, feeble
mahinAhon	calm, cool-headed
mahinhIn	modest, effeminate
mahiyAin	shy, bashful
mahUsay	excellent, efficient
maiklI	short
mailAp	elusive
maIngat	careful, cautious
maIngay	noisy
mainIpin	impatient, easily bored
maalinsAngan	hot and humid
makabAgo	modern, innovative
makahulugAn	meaningful
malilimutIn	forgetful
makAlat	messy, disorderly
makalUma	old fashioned
makapAl	thick
makapangyarIhan	powerful
makasalAnan	sinful
makabuluhAn	significant, relevant
makatarUngan	just, fair
makatI	itchy
makinAng	shiny, sparkling (jewelry)
makInis	smooth
makintAb	glossy, shiny, polished
makIpot	narrow
makIsig	dashing (man)
makItid	narrow
makulimlIm	overcast, gloomy (weather)
makulIt	pesky, annoying, naughty
makUnat	chewy, tough to chew
makUpad	slow, sluggish
malabnAw	thin in consistency (liquid)
malAbo	blurry, hazy, obscure, unclear
malagkIt	sticky
malagO	lush, bushy, thick
malalA	severe, grave
malAlim	deep
malambOt	soft, tender, cushy
malandI	flirtatious, slutty
malApot	viscous, thick (liquid)
mAlas	unlucky
malAsa	flavorful, savory
malasAdo	half-cooked, not thoroughly cooked
malAwak	vast, broad, wide
maligAlig	restless, troubled
maligamgAm	lukewarm
maligAya	happy, merry, glad
malIhim	secretive
malikOt	frisky, restless
malInaw	clear
malInis	clean, neat, sanitary
malupIt	cruel, savage, ruthless
malusOg	healthy
malutOng	crispy, crunchy, brittle
maluwAg	loose, lenient
maluwalhAti	glorious
mamahAlin	expensive
mamantIka	greasy, oily
mamasA-masA	damp, moist
mangmAng	uneducated, ignorant
maningnIng	shiny, glittery
manipIs	thin
mapaghigantI	vindictive
mapAgkakatiwalAan	trustworthy
mapagmahAl	loving
mapagmalakI	haughty, proud
makasarilI	self-centered
mapagmataAs	arrogant
mapAgpakumbabA	humble
mapaIt	bitter
mapaklA	the taste of unripe fruits
mapanghI	smell of urine
mapAnghusgA	judgmental
mapIli	choosy
mapIlit	insistent, persistent
mapulA	red, red-colored
mapurOl	dull, not sharp (objects)
maputI	white, fair skinned
mapUtik	muddy
maputlA	pale
marAlitA	indigent, destitute
maramdAmin	sensitive, easily hurt
marangAl	honorable, noble
marangyA	extravagant, luxurious
marUnong	wise
malUho	ostentatious, luxurious
marupOk	weak, weak willed
masagwA	unsightly, improper
masalimuOt	complex, complicated
masamA	bad, evil
masangsAng	sharp and strong smell
masayAhin	cheerful
masElan	fussy, fastidious
masidhI	intense, vehement
masigAsig	ardent, diilgent
masiglA	lively, energetic
masikIp	tight, crowded
masInop	prudent, far-seeing
masIpag	hardworking
maskulado	muscular
masUgid	earnest, zealous
masUkal	weedy, dense forest
masUngit	ill-tempered, crabby
masunUrin	obedient, submissive
matabAng	bland, tasteless
matagAl	taking a long time
matagumpAy	successful
matAkaw	greedy, gluttonous
matAlas	sharp (objects)
matalIm	sharp (objects)
matamIs	sweet
matampUhin	sulky, grouchy
matandA	old
matangkAd	tall (person)
matAngos	long and pointy (nose)
matAo	crowded, populous
matamlAy	listless, languid
matApang	brave, bold, audacious
matapAt	honest, sincere
matapObre	snob, looking down on the poor
matarIk	steep
matatakutIn	fearful
matatAs	fluent
matIbay	durable
