Walâ akóng anák.	I don't have children.
Hanggáng saán ang dapat kong ipangambá kapág nilagnát ang anák ko?	How worried do I need to be if my child has a fever?
Dinádaluhán ba ni Bogs ang mga larô ng anák niyá?	Does Bogs attend his son's games?
May mga anák silá.	They have children.
Dádaló ang lahát sa binyág ng bunsóng anák ni April.	Everyone will attend the baptism of April's youngest child.
Nagkaroón ng trangkaso ang anák ko kahapon.	My child got/had the flu yesterday.
Waláng magbábantáy ng anák ko.	No one will look after my daughter
Magtútulungán ang mag-asawa para sa ikabubuti ng kaniláng mga anák.	The married couple will help one another for the good of their children.
Namatáy ang panganay niyáng anák kamakailán.	Her first-born child died recently.
Pahintulutan ang mga anák na matutong magsarili.	Allow the children to learn to be independent.
Binuhay ni Lara sa pagmamahál ang kaniyáng anák.	Lara raised her child with love.
Kung may mátiráng pagkain, iuwî mo sa anák mo.	Any leftover food, take home to your child.
Dáhan-dahang binuhat ng iná ang natutulog na anák.	The mother gently carried the sleeping child.
Maaapulà ng mabaít na iná ang mapusók na anák.	A kind mother will be able to stop an impulsive child.
Maglaán ng panahón para sanayin ang iyóng mga anák.	Devote time in training your children.
Magpahayág ka ng pagmamahál sa mga anák mo.	Express love for your children.
Kailangang mabatíd ng magulang ang kalagayan ng anák nilá sa páaralán.	The parents need to know the situation of their child in school.
Ililipat ko ng eskuwela ang anák ko.	I will transfer my child to another school.
Isisilang na ni Tammy ang panganay niyáng anák.	Tammy is about to give birth to her eldest child.
Gustó kong umapelá álang-alang sa anák ko.	I want to appeal for the sake of my child.
Naáalala ko ang aking mga anák sa gabí bago matulog.	I think of my children at night before sleeping.
Naglálakád na ba ang anák mo?	Is your child toddling / walking already?
Makákaapekto sa mga anák ang awayán ng mga magulang.	The fight between parents will affect the children.
Tinítingnán ng iná ang anák niyáng natutulog.	The mother is gazing at her sleeping child.
Anák ng lintík!	Son of a gun! (expression of annoyance)
Nagtangkâ akóng makatakas sa makukulit kong kamag-anak.	I attempted to evade my nosy relatives.
Hikayatin mo ang anák mo na tularan ang taong mabuti.	Encourage your child to emulate a good person.
Binatilyo na ba ang bunsóng anák ni Martha?	Is Martha's youngest child already a teenager?
Bumabawì silá nang hustó sa kaniláng anák.	They're putting effort into giving their child attention.
Matapang ang anák ni Patty at ipinamalas niyá itó kahapon.	Patty's son is brave, and he displayed it yesterday.
Púpunuín nilá ng sikát na mga artista ang kaarawán ng anák nilá.	They will fill their daughter's birthday celebration with famous celebrities.
Iníimbitahán kitáng dumaló sa binyág ng anák ko.	I'm inviting you to attend my son's christening.
May anák pô ba kayó?	Do you all/both have kids?
Mayroón kamíng dalawáng anák.	We have two children.
Ilán ang anák mo?	How many children do you have?
Nagdiwang ng kaarawán ang anák na babae ni Zenia.	Zenia's daughter celebrated her birthday.
Nabawì ni Karen ang mga anák niyá mulâ sa mga biyenan.	Karen recovered her children from her in-laws.
Mámaliitín ng amá ang manliligaw ng anák.	The father will belittle his daughter's suitor.
Inihain niyá ang buhay para sa mga anák.	She sacrificed her life for her children.
Ikinatutuwâ ng magulang ang mabuting asal ng mga anák.	Parents are happy about the children's good behavior.
Hindî ikinatuwâ ng iná ang kalokohan ng anák.	The mother was not happy about the child's mischief.
Hindî alám ni Megan na lálagnatín kinabukasan ang anák niyá.	Megan didn't know that her kid would contract a fever the next day.
Ayaw ipakilala ni Emma ang amá ng kaniyáng anák.	Emma don't want to introduce the father of her child.
Pumapasok pa ba sa eskuwelahán ang anák ni Luis?	Is Luis's kid still going to school?
Magpápakamatáy siyá kapág hindî niyá nakita ang anák niyá.	She would commit suicide if she didn't see her son.
Nilagnát ang anák na babae ni Aling Lydia.	Aling Lydia's daughter had fever.
Imbés na paluin, kausapin mo ang anák mo.	Instead of spanking, talk to your child.
Nagkaroón silá ng maraming anák.	They had a number of children.
Inililipat niyá ang títuló ng lupà sa anák niyá.	He is transferring the land title to his child.
Sino ang tumítingín sa anák ninyó kapág nasa trabaho kayó?	Who looks after you child when you're at work?
Noóng araw, hindî hináhayaan ng mga magulang na sagutín silá ng kaniláng mga anák.	In the past, parents do not let their children talk back to them.
Pinápakain muna ng iná ang anák bago siyá kumain.	The mother feeds the child first before she eats.
Malakí ang itinaás ng anák ni Nora mulâ nang hulí ko siyáng nakita.	Nora's son has grown much taller since the last time I saw him.
Sana hindî lumakíng tamád ang anák ni Tom kagaya niyá.	I hope Tom's son does not grow up to be a lazy man like him.
Kukunin mo bang ninong si Peter para sa binyág ng anák mo?	Will you be asking Peter to be a godfather for your child's baptism?
Sa itsura ni Jill áakalain mo bang limá na ang anák niyá?	With the way Jill looks would you ever think that she already has five kids?
Saáng eskuwela mo ipinasok ang anák mo?	At which school did you enroll your child?
Ipinanganák ko ang anák ko sa abroad.	I gave birth to my daughter abroad / overseas.
Anak kita.	You're my child.
Ihele mo ang anak mo.	Lull your baby to sleep.
Nars ang anak nilang babae.	Their daughter is a nurse.
Umihi sa dayaper ang anak mo.	Your child peed in his diaper.
Walang anak sina Tomas at Maria.	Tom and Mary have no children.
May dalawang anak na babae sila.	They have two daughters.
Gusto mong magkaroon ng mga anak?	Do you want to have children?
Kami ay may dalawang anak na babae.	We have two daughters.
May dalawang anak na lalaki si John.	John has two sons.
Siya ay kasal na at may dalawang anak.	He is married with two children.
Ang mga anak ay kayamanan ng mahihirap.	Children are poor men's riches.
Ang kanyang anak na babae ay isang nars.	His daughter is a nurse.
Di makontrol ni Tomas ang mga anak niya.	Tom can't control his children.
Aalagaan ko ang mga anak mo nitong gabi.	I'll take care of your children tonight.
Bibili ako ng kamera para sa anak kong babae.	I'm going to buy a camera for my daughter.
May anak siyang babae na ang pangalan ay Maria.	She has a daughter whose name is Mary.
Pakiusap, tingnan mo nang mabuti ang aking anak.	Please keep your eye on my child.
Ang anak kong babae ay bumibili ng gatas sa tindahan.	My daughter is buying milk from the store.
Kami ay may dalawang anak na babae at dalawang lalaki.	We have got two daughters and two sons.
Pinilit ni Mary na magdala ng payong ang kanyang anak na lalaki.	Mary urged her son to take an umbrella.
Ikinasal niya ang kanyang anak na babae sa isang mayamang lalaki.	He married his daughter to a rich man.
