ANG ang kasama NG	ANG is with/companion NG
Akó ang nagdédesisyón kung anó ang bíbilhín.	I decide what to buy.
Alam kong mahalaga ang pagkain ng gulay pero ayaw ko ang mga ito.	I know that eating vegetables is important, but I don't like them.
Alam niya ang Pranses, at mas naman ang Ingles.	She knows French, and even more English.
Alin ang mas gusto mo, ang ulam, o ang isda?	Do you prefer meat or fish?
Aling babae ang nakaturo gamit ang kaniyang kanang kamay?	Which woman is pointing with her right hand?
Aling bagay ang pinakamahal- ang kotse, ang bisikleta o ang motosiklo?	Which item costs the most - a car, a bicycle, or a car?
Aling bagay ang pinakamura - ang biskleta ang motosiklo o ang kotse?	Which item costs the least - a bicycle, a motorcycle or a car?
Aling lalaki ang nakaturo gamit ang kaniyang kaliwang kamay?	Which woman is pointing with her left hand?
Alín ang mas mahirap tugtugín? Ang piano o ang violin?	Which is more difficult to play? The piano or the violin?
Ang Amerika ang pinaka-magandang lugar sa buong mundo.	America is the greatest country in the world.
Ang Aso at ang Uwak ay isang halimbawa ng pabula.	The Dog and the Crow is an example of a fable.
Ang Aso at ang Uwak ay isang halimbawa ng pabula. The Dog and the	Crow is an example of a fable.
Ang Diyos at ang kanyang mga nilkha	God and all he created
Ang Luzón, Visayas at Mindanao ang mga pangunahing islang bumubuô sa Pilipinas.	Luzon, Visayas at Mindanao are the major islands that form the Philippines.
Ang Sabado at ang Linggo ang tapos ng linggo.	A weekend is a Saturday and a Sunday.
Ang Tunay na Pilipino ay Marunong Makisama. Ang Tunay na Pilipino ay	Marunong Makisama. Ang Tunay na Pilipino ay Marunong Makisama.
Ang alay ko sa iyo ay ang pagmamahal ko.	What I offer you is my love.
Ang asul na laruan ang maliit.	The blue toy is small.
Ang bigas ay dalawampung sentimos lamang ang isang salop.	The rice was only twenty centavos per ganta.
Ang dilaw na laruan ang maliit.	The yellow toy is small.
Ang halaman at ang hayop	a plant and an animal
Ang init ang araw.	The sun is hot.
