Anó?	What? / Huh?
Anó itó?	What is this?
Anó iyán?	What is that?
Anó ang pangalan mo?	What is your name?
Anóng oras na?	What time is it?
Anó ang kinákatawán ng mga langgám sa mga pintá ni Dali?	What do ants symbolize in Dali's paintings?
Anó ang kaniyáng ikinamatáy?	What caused him to die?
Kung lálagnatín ka pag-uwî mo, sabihin mo sa doktór kung anó ang ginawâ mo.	If you develop a fever after returning home, tell the doctor what you did.
Anó ang gustó mong linawin kay Kathy?	What do you want to clarify with Kathy?
Anó ang gustó niláng masamsám?	What do they want to confiscate?
Anó ang dapat kong gawín para hindî mahawa ng tubérkulosis?	What should I do to prevent getting infected with tuberculosis?
Natutukoy ko kung anó ang malî sa sagót mo.	I can tell what's wrong in your answer.
Anó ang lugár na dating tinirahán mo?	What's the place where you used to live?
Anó ang sinabi ng matandáng babae sa mga nagsísilbí?	What did the old woman say to those serving?
Anó ang ginawâ niyá para mamíss mo siyá nang ganiyán?	What did he do to make you miss him that way?
Ano yun?	What was that?
Ano iyan?	What is that?
Ano ka ba?	What are you?
Anong inumin?	What to drink?
Anong nanakaw?	What was stolen?
Anong mayroon?	What's up?
Anong nais mo?	What's your wish?
At ano ngayon?	And so?
Anong gusto mo?	What do you want?
Anong binili mo?	What did you buy?
Ano ang suot mo?	What are you wearing?
Anong nangyayari?	What is happening?
Anong mangyayari?	What would happen?
Anong nangyayari?	What's happening?
Anong ingay iyon?	What was that sound?
Anong sinasabi mo?	What're you saying?
Anong lalaruin mo?	What are you going to play?
Anong masasabi ko?	What can I say?
Anong winowori ka?	What's worrying you?
Magtaksi tayo, ano?	Let's go by taxi, shall we?
Ano ang nahanap mo?	What did you find?
Anong ginagawa nila?	What are they doing?
Anong palabas sa 10?	What is on Channel 10?
Anong pakiramdam mo?	How do you feel?
Ano bang sinasabi mo?	What are you talking about?
Di pa siya umuwi, ano?	He has not come home yet, has he?
Ano ang mapag-uusapan?	What's there to talk about?
May kuwan siya sa ano.	He has something to do with the matter.
Anong pakiramdam mo na?	How do you feel now?
Sino ang gagawa ng ano?	Who's going to do what?
Ano ba ang "wabi-sabi"?	What is wabisabi?
Ano yung ingay na iyon?	What was that noise?
Anong oras ka bumangon?	When did you get up?
Ano ba ang sinasabi mo?	What are you talking about?
Medyo guwapo si Tom, no?	Tom is quite handsome, isn't he?
Anong ibig-sabihin nito?	What does this mean?
Anong gandang rosas ito!	What a beautiful rose this is!
Anong nakagising sa iyo?	What woke you up?
Anong gusto mong inumin?	What would you like to drink?
Anong oras ka natutulog?	What time do you usually go to bed?
Ano ang kulay ng daigdig?	What's Earth's color?
Anong ginawa niya sa 'yo?	What did she do to you?
Alam ko ano ang gusto ko.	I know what I want.
May gusto ka kay Tom, no?	You're in love with Tom, aren't you?
Anong gusto mong sabihin?	What do you want to say?
Para sa anong oras ba, po?	For what time, sir?
