shameless	walang kahihiyán
stop talking like that	itigil mo na ang pagsasalita nn ganyan
stay away from me	lumayo ka sa akin
Agree?	Sang-ayon ka ba?
did I miss anything?	meron ba akong nakaligtaan?
let me get this straight	diretsahin na kita
I need to focus on my work now	nakatutok ako sa trabaho ko ngayon
what a waste of my time	nasayang lang oras ko
I hope this works out	sana swertehin
give me a break	tantanan mo nga ako
I will try to go back to sleep.	Pipilitin ko matulog ulit.
we will get past this	malagpasán din natin ito
He is not so tall as you.	Hindi siya kasing tangkad mo.
When I tell you to (have told you to) shut up, you shut up.	Kapág sinabihan kitáng tumahimik (ka), tumahimik ka.
stand up for the truth	ipaglaban ang katotohanan
Please tell Jack to come here.	Pakisabihan mo si Jack na pumuntá dito.
Where did you tell him to sit (set him)?	Saán mo siyá pinaupô?
Keep going until I tell you (as long as I have not told you) to stop.	Sige lang hanggang hindi ko pa sinasabi na tumigil ka.
I hope to see you later.	Sana makita kita mamaya.
Nothing is as delicious.	Walang kasing-sarap.
Until later.	Hanggang mamaya.
Get well soon.	Magpagaling ka kaagad.
I want to know.	Gusto kong malaman.
You can tell me.	Maaari mong sabihin sa akin.
I will tell you.	Sasabihin ko sa iyo.
You impressed me.	Pinahanga mo ako.
I like what you did.	Nagustuhan ko ang iyong ginawa.
We have the same attitude.	Pareho tayo ng ugali.
Where do you want to go?	Saan mo gustong pumunta?
You surprised me.	Ginulat mo ako.
I want us to go on a trip.	Gusto ko na magbiyahe tayo.
I am happy to know it.	Masaya akong malaman it.
May the curse be upon you.	Mapuntá sana sa iyó ang sumpâ.
I prayed that you wouldn't leave.	Nagdasál akó na sana hindî ka umalís. 
May this be a lesson for you.	Magsilbí sana itóng aral sa inyó.     
May I be endowed with more wisdom.	Pagkaloobán sana akó ng dagdág na karunungan. 
I was just about to call you.	Tatawagan ng nga sana kita.
Just let me know.	Sabihán mo lang ako.
I didn't recognize you.	Hindi kita agad nakilala.
Nadala mo ba?	Did you bring it?
I don't want to argue with you.	Ayaw kong makipagtalo sayo.
Maybe some other time.	Sa susunod na lang siguro.
I couldn't sleep last night.	Di ako makatulog kagabi.
Don't waste your time.	Wag mong sayangin ang oras mo.
Fred has the money.	Na kay Fred ang pera.
It's hard to guess.	Mahirap hulaan yan.
Did you read my text?	Nabasa mo ba ang text ko?
What can I say?	Anong masasabi ko?
What time shall we meet?	Anong oras tayo magkikita?
Can I borrow some money?	Pwede ba kong humiram ng kaunting pera?
You're not listening to me.	Hindi ka nakikinig sa akin.
Calm down!	Kumalma ka nga!
You get my point?	Nakuha mo ba ang punta ko?
I talked to her yesterday.	Nakipag-usap ako sa kanya kahapon.
Can I count on you?	Maaasahan ba kita?
Tiwala ka lang, pupunta ako.	Trust me, I'll be there.
I spent the whole day in bed.	Buong araw akong nasa higaan.
Do you have a bag I can borrow?	May bag ka ba na pwede kong híhiramín?
I need to sit down for a second.	Kailangan kong umupo muna.
I could never do that.	Hindi ko kailanman magagawa iyon.
I'm a fast learner.	Mabilis akong matuto.
I'm not used to his appearance.	Naninibago ako sa hitsura niya.
I only have one close friend.	Isa lang ang matalik kong kaibigan.
Nakatakdáng ganapín ang 2020 Olympics sa Tokyo mulâ Hulyo hanggáng Agosto.	The 2020 Olympics is scheduled to take place in Tokyo from July to August.
I almost forgot.	Muntik ko nang makalimutan.
Thanks for reminding me.	Salamat, ipinaalala mo sa akin.
