# expressions when angry
napaka-antipatiko mo	you are so displeasing
kunwari nag-aAlalA pero hindi	supposedly a concerned person but not really
huwag mo akong gagalItin	don't make me mad
huwag mo akong itulak	don't push me
isa itong pagkakAmalI	this is a mistake
huwag mo akong pangunAhan	don't lead me on
galit na galit ako	I'm so mad
ilang beses ko bang ipapaliwanag sayo?	how many times do I have to explain to you?
sinira mo ang araw ko	you ruined my day
masyado kang madaldAl	you speak too much
kailan naging tama ang mali?	when did things go wrong?
ayaw ko nga	I don't want to
isa pa!  iiwan na talaga kita	one more!  I'll definitely leave you
tumigil ka na kasI	stop right now
umalis ka sa harapan ko	get out of my sight
ang kapál ng mukha mo	how dare you? / the nerve you have!
ibalik mo kung ano ang akin	return what is mine
nagsisinungaling lang siya	he's just lying
ito ang ayaw ko sa lahat	this is what I don't like at all
lokohin mo ang sarili mo!	fool yourself
nakakaistOrbo ka na	you're disturbing
paalisIn mo siya!	send him away!
huwag kang tAtanga-tangA	don't be fooled
anuman ang mangyari, huwag kang papAapI	whatever happens, don't be oppressed
kahit kailan, hindi ko ito ginusto	ever since, I never liked it
ano ba pakialam mo?	what do you care about?
magpaubaya ka	be patient
suwail na anak	rebellious son
huwag kang sumabat sa usapan	don't interfere with the conversation

# 36 daily words and expressions you always hear!
bakit hindi mo ako sinAsagOt?	why don't you answer me?
kAya ko 'to	I can do this
kAya ko 'yan	I can do that
ano bang ginagawA mo?	what the hell are you doing?
masyadong pihikan	so fussy
lubayan mo 'ko!	get off my case!
umalis ka sa dinadaAnan ko!	get out of my way!
anong ginawa mo?	what have you done?
hindi ito pwede	this can't be
papano mo nagawa iyon?	how could you do that?
isa 'yong kasinungalingan	that's a lie
hindi ako naniniwAla sa 'yo I don't believe you
nainis na ako	I'm pissed off
sinusubUkan ko lang magpaliwAnag	I'm just trying to explain
hindi ko na 'to kAya!	I can't take this anymore!
'yan na ba lahat?	is that all?
'yan na ba?	is that it?
makikirAan!	coming through!
biro lang ito, hindi ba?	this is a joke, right?
hindi ito biro	this is no joke
kinakabahAn ako	I'm nervous
pakitanong nga	kindly ask
tingnan mo 'yon!	look at that!
patawad.  kasalAnan ko 'yon	I'm sorry.  it's my fault
malinaw na ba?	is it clear?
kumbinsihIn mo ako	convince me
malaya ako	I'm a free man
walang makapagdIdikta sa akin	no on can dictate to me
narinig ko yun	I've heard it
tama na 'to	this is enough
sobra na 'yon	that's too much
malapit na 'ko matapos	I'm halfway done
may kailangan ka pa ba?	do you need anything else?
maglaho (ka)!	get lost!
lumabas ka!	get out!
diyan ka lang!	stay back!
nandito ako	I'm over here
nagawA mo!	you've made it!
nakakatuwa naman!	that was fantastic!
sundan mo siya	go after him
saglit lang	hold on a sec
papano 'to?	how is this?
bakit ko sasabihin sa iyo?	why should I tell you?
nasa kuwarto siya	she's in her room
natutulog siya	she's asleep
may tAO ba dIto?	is anyone here?
parang alam ko 'to	I guess I know this
parang kilala kita	I guess I know you
ano bang pakialam ko?	what do I care?
papano ko malalAman?	how the hell would I know?
hindi ito nangyayari!	this isn't happening!
anong nakakatawA?	what's funny?
anong problema?	what's wrong?
masaya ako ngayon	I'm happy today
marami kang natutunan	you learned a lot
napahanga mo ako	you impressed me

title: mga negatibong parirala	negative phrases
you're wasting your time	nagsasayang ka lang ng oras
you're so mean	ang sama mo
I don't like you	hindi kita gusto
you're such a loser	isa kang talunan
stay away from me	lubayan mo 'ko
stay away from them	lubayan mo sila
I don't care	wala akong pake
how dare you?	ang kapal ng mukha mo
I don't know the answer	hindi ko alam ang sagot
I don't want to know	ayaw kong alamin
I can't handle it	hindi ko na kaya 'to
you're wrong	mali ka
you're such a disgrace	isa kang kahihiyan
shame on you	nakakahiya ka
