# common english idioms, expressions (mga kasabihán/sawikaín)
what about this?	ano naman ito?
you are relentless	waláng-lubáy ka talaga
You’re merciless.	Walang awà ka.
who/what am I to you?	ano mo ba ako?
it's a pain	abalá ito
my guess is..	ang hula ko..
you wish!	ása ka pa!
it's up to you	Nasa sa iyo (nasa 'yo)
just do it again	gawin mo muli
see/consider yourself to be...	tingín sa sarili ay...
care to join?	sama ka?
laughter	táwanan	(not tawánan, which is to laugh at something/someone)
this and that	bágay-bagay
step by step	bai-baitáng
by chance, "perchance/perhaps"	bakasakalì
absent-minded	walá sa sarili
Don't worry about it.	Huwag mong alalahánin.
Don't laugh.	Huwág kang tatawa.
Afterall...	Kung-sabagay...
They watched me IN SILENCE	Pinanood nila ako SA KATAHIMIKAN.
to what extend has.. ?	hanggang saan na.. ?
as I expected	gaya ng inaasahan ko
as expected	gaya ng dapat iexpéct
Like what?	Kagaya ng ano?
I used to be like you.	Kagaya kita noon.
like this	gaya (kagaya) nito
hometown	bayang sinilangan
unfit for use	hindi angkop para gamitin
in common	magka-, magkaka-, magkakapareho
thanks for letting me know	salamat at pinaalam mo sa akin
to take chances	magbakasakali
I bet	sigurado ako
stop complaining	tama na ang reklamo
that's exactly what I was thinking / had in mind.	Iyan mismo and nasa isip ko.
I got caught in the rain	inabutan ako ng ulan
in the shade	sa maaninong lugar
I'm not into that	hindi ako mahilig dyan
in/around the area/neighborhood	sa lugar
might not	baka hindi
how frustrating!	nakakainis!
did you hear that..	narinig mo ba..
where is it (now)?	nasaan na?
it will be hot	magiging mainit
it's annoying	nakakapikon
I wonder why	Nagtataká akó kung bakit
can I taste it?	patikim
can I have some?	pahingi
let's go	tará
I'll figure it out.	Aalamin ko muna.
I want another.	Gusto ko ng iba.
I have a lot to do	marami akong ginagawá
I can't help you	hindi kita matutulungan
I'm sick	may sakit ako
are you alright?	ayos ka ba?
are you busy?	abalá ka ba?
Jerry who?	sinong Jerry?
be patient with me	pagpasensiyahan mo ako
I can't believe it	hindi ako makapaniwala
are you Paul?	ikaw ba si Paul?
I took a nap	naidlip ako
it can be seen from the port of Catbalogan	makikita sa port ng Catbalogan
I'm not being funny	hindi nagpápatawá ako
I hate that game.	Galít ako sa larong yan.
I just finished.	Kakatapos ko lang.
I read some of it	medyo binasa ko
as far as I know	hanggang sa pagkakAalam ko
It depends.	Depende 'yan.
Remind me	ipaalala mo sa akin
ok with you?	ayos lang ba sayo?
I'm not in a hurry	hindi ako nagmamadali
you haven't eaten much	hindi ka gaanong kumain
83% finished	83% nang tapos
not even one of them	walâ ni isá sa kanilá
are there more?	mas marami ba?
more than half of..	higit kalahating..
less than half	kulang (pa) sa kalahati
no less than	hindí bábabá sa
Give me half	Bigyan mo ako ng kalahati
cut it in half	hatiin mo ito
two out of three	Dalawa sa tatlo 
good idea	magandang ideya mo
made of iron	gawa sa bakal
we've met already	nagkita na tayo
this might work	baka pwede na ito
it's awkward	ang sagwâ
no wonder	hindi naman nakapagtataka
what a relief!	hay, salamat naman!
how are things?	kumusta na?
I'm leaving	sige, alis na 'ko
there is someone	may isang tao
How do you feel?	Anong pakiramdam mo?
I have an appointment	may usápan ako
the wife to-be	ang magiging asawa
yes of course.	oo naman.
everything is fine	maayos ang lahat
sleep tight	tulog ka nang mahímbing
just forget it	kalimutan na lang yun
can I use this?	Pwede bang magamit ito?
There is no use talking to her.	Walang kuwenta siyang kausapin.
yes, obviously	Oo halatang maysakit na 
for what it's worth	Para sa kung anong halaga nito. 
I need to get ready for work	Maghanda para sa trabaho. 
get rid of it	Tanggalin mo 
if I remember correctly	Kung tama ang pagkakaalala. 
when can we talk?	Kelan tayo pwedeng mag usap? 
who needs it	Kung sino ang nangangailangan nito. 
I'm rooting for you	I'm rooting para sa iyo 
getting to know someone	ang nakakakilala sa Isang tao. 
I am feeling stressed out	Nakakaramdam ako ng stress, 
I'm a little off (my game) today	medyo nalilito ako 
meet in person	makipagkita sa personal.
in person	ng mAlapitAn, sArilinAn, sa personal
you'll do well	magiging magaling ka
I'm really excited	nasasabik na nga ako
I'm happy for you	masaya ako para sa iyo
forgotten	isulat sa tubig
it was tough	mahirap
how did it go?	ano'ng nangyari?
Most salt bread nowadays..	Maraming pandesal ngayon..
give it to me straight	sabihin mo sa akin nang diretso
I don't know what you're referring to.	Hindî ko alám kung anó ang tinutukoy mo.
I hope you'd be able understand why I did that.	Sana maintindihán mo kung bakit ko ginawâ 'yun.
It's hard to know who's at fault.	Mahirap tukuyin kung sino ang may sala.
Where there's life, there's hope.	Kung saan may buhay, may pag-asa.
It just means..	Nangángahulugán lang itó na..
no new pictures from my girl	wala pa bagong litrato galing sa babae ko
it just is	basta
it's fun	masaya
rarely	bihira
hold on	kápit/sandali
go away	alis
stop!	tigil!
very good!	napakagaling!
come back	balik!
break a promise	hindi tuparin ang pangako
put it to good use	gamitin mo sa mabuting paraán ito
I'm disappointed	nawalan na ako ng gana
I lost my phone	nawalan ako ng phone
I saw with my own two eyes..	kitang-kita ng dalawang mata ko..
I think that's Tagalog.	Tagalog yata yan.
The news can't be true.	Di yata totoo ang balita.
They beat us.	Natalo nilá kamí.
You’re another asshole.	Isa ka pang tarantado.
especially you	lalo na sa iyo
impatient	walang tiyagA
last month	noóng nakaraáng buwán
I'm not feeling well	masama ang pakiramdam
let me through please	padaán
on the face of the earth	sa balát ng lupa
so.., therefore..	e di.. / edi.. (eh kung hindi..)
sorry for bothering	pasensiya na sa abála
speak slowly!	dahan-dahan magsalita nga!
well, in that case..	edí (e kung hindi)..
why would I do that?	bakit ko gagawin iyon?
with help of a gadget	sa tulong ng gadget
without (ie, not with) <ang>	nang hindî <ang> kasama
can it be replaced?	maaari ba itong palitán?
what could you have eaten?	ano kaya ang nakain mo?
a little tea please	kaunting tsa, nga
(in order) to be closer to..	para mas maging malapit sa..
What would you rather do?	Ano ang mas gusto mo sanang gawin?
Which would you rather eat?	Alin ang mas gusto mo sanang kainin?
I laugh at my own jokes	Tumatawa ako sa sarili kong mga biro
sitting in the front	nauupô sa bandáng harapán
I don't do things like that	Hindi ako gumagawa Ng mga ganyan. 
that's where she lives	doon ang kung saan siya nakatira(?)
I'll always take your side	lagi kitang kákampihán (?)
They'll just laugh at me.	Tátawánan lang nila ako.
