in my estimation...	sa tantiya ko..
For the first time..	Sa unang pagkakátaón..
unfair	hindi patas
I can tell (see/recognize).	Natutukoy ko.
Excuse me, passing through	(pa)sintabì
I agree with you	sang-ayon ako sayo
get used to it	masanay ka na
I can't keep up	hindi ako makasabay
affordable	abot kaya
trust me	maniwalà ka (sa akin), tiwala ka lang
it's all I can do	ito lang ang kaya ko
that's what I thought	iyan ang inisip ko (?), yan ang alam ko (?)
I thought..	Ang alam ko..
I heard	narinig ko
not again!	na naman!
no sweat	káyang-káya
stop that	itigil mo ‘yan
come to think of it	kung tútuusín
in fact	sa katotohanan, sa katunayan
so far	hanggang ngayon
I can't help it / there's nothing I can do (about it)	walâ akong magagawâ (tungkol doon)
make the most of something	sulitin
not yet	walâ pá or hindi pá
this will do	pwede na ito
unpredictable	hindi mahuhulaan
for a change	para máibá namán
by the way	siyanga pala, maibá akó
but in reality..	pero ang totoo..
the same day as..	sa araw mismo ng..
I'll be right back	babalik rin ako agad
uncertain/indefinite/undetermined	 di-tiyák
no less than	hindí bábabá sa 
not lesser than	hindi bawas nang
absolutely none	walang-walâ
what do you think?	ano sa palagay mo?
Every single day.	Bawat isang araw.
the other day	noong isang araw
I'm almost done	malapit na akong matapos
consequently, therefore	dahil dito, kung gayón/ganoon, samakatwíd, kayâ nga
don't panic	wag kang mataranta
provided that.., as long as..	yamang..
I don't have the faintest idea	waláng kaalám-alám ako
in a nutshell..	sa madalíng salitâ..
no use	walang kuwenta
not even for one day	kahit ni isang araw
out of the blue	walang anu-ano, biglang-bigla
this and that	anu-anó
This is going nowhere.	Walang pupuntahan ito.
if I remember correctly	Kung tama ang pagkakaalala. 
it doesn't make sense	Wala itong saysay. 
no thanks	Hindi, salamat 
after a while	hindî nagtagál
at first/initially..	noóng una..
I heard..	balita ko..
there you go again	ayan ka na naman
you wish!	asa ka pa!
disheartened	sirâ ang loób
mark my words	itagá mo sa bató
it's just that.../the problem is../the thing is..	kayá lang
which one?	alin dito?
which ones?	alin sa mga ito?
on-time.	sa oras.
Yes, sometimes.	Oo, kung minsan.
whenever I want	kung kailán ko gustó
Who cares?	Sinong may pakialam?
