Hindî kamí ganún.	We aren't like that.
Ganoón ba ang gustó mo?	Is that the way you want it?
Bakit ganún ang isinagót mo?	Why did you give that kind of answer?
Ayún, ganoón ang nangyari kanina.	There you go, that's what happened earlier.
Sa memorya ko, hindî niyá sinabi ang ganoón.	I don't remember him saying that.
Hindî akó ganoón kagalíng sa pagsusulát ng mga kantá.	I'm not that good at writing songs.
Paano mo nakakaya ang ganoón kamahál na bag?	How can you afford such expensive bag?
Anó ang gágawín mo kapág naharáp ka sa ganoóng sitwasyón?	What would you do if you were in that situation?
Walâ akóng natátandaán na may sinabi kang ganun.	I don't remember you saying anything to that effect.
Ganoon siya natuto ng Ingles.	She learned English like that.
Imposibleng gawin kong ganoon.	It is impossible for me to do so.
Di niya puwedeng sinabing ganoon.	She can not have said such a thing.
Malugod sila sa sitwasyong ganoon.	They are content with things as they are.
Sana'y hindi ako nagmadaling ganoon!	If only I hadn't been in such a hurry!
Isip mo bang uulit ang parang ganoon?	Do you think something like that will repeat itself?
Ganoong kainit ang tsa na di ko mainom.	The tea is so hot that I cannot drink it.
Nais kong malaman bakit ganoon ang sinabi niya.	I'd love to find out why she said so.
Kalikasang tao ang maabala ng mga ganoong bagay.	It is human nature to be bugged by such things.
Di alam ni Tomas na ganoong nakakatawa si Maria.	Tom didn't know Mary was so funny.
Hindi ako ganoon kagaling sa pagsusulat ng mga kanta.	I'm not that good at writing songs.
Wala akong ganoon kadaming pera na kagaya ng iniisip mo.	I don't have as much money as you think.
Magaan na tanghalian sa Makdo, kape sa Istarbak, pagkatapos ay ilang inumin nang may shabu-shabu: ganoon ang nangyari.	A light lunch at MacD's, coffee at Starbucks, then a few drinks with shabu-shabu - that's the way it went.
