Anóng ginagawâ mo?	What are you doing?
Gágawín ko itó.	I will do this.
Anó ang ginagawâ mo dito?	What are you doing here?
Gawín mo na!	Do it!
Ang dami kong ginagawâ.	I have a lot to do.
Sinadyâ kong gawín 'yun.	I intentionally did that.
Itulóy mo ang ginagawâ mo.	Continue what you're doing.
Gágawín mo ba itó?	Will you do this?
Ginawâ mo ba itó?	Did you do this?
May ginagawâ ka ba?	Are you doing something? / Do you have something you're doing?
Anó ba ang ginagawâ niyá?	What is he doing?
Walâ akóng ginawâ.	I didn't do anything.
Kailangan mong malaman ang ginawâ ko.	You need to know what I did.
Gawín mong mag-isá.	Do it yourself.
Alám ko ang ginawâ mo.	I know what you did.
Hindî mo akó mapípigilan sa gágawín ko.	You can't stop me from doing what I will do.
Umisip ka ng pwede nating gawín.	Think of something we can do.
Magbabayad silá sa ginawâ nilá sa amin.	They will pay for what they did to us.
Hindî ka ba nahihiyâ sa ginagawâ mo?	Aren't you ashamed of what you're doing?
Anó ang ginagawâ ninyó ni John kanina?	What were you and John doing earlier?
Napahiyâ ka ba sa ginawâ ko?	Were you embarrassed by what I did?
Malapit na akóng matapos sa ginagawâ ko.	I'm just about to finish with what I'm doing.
Alám kong maeenjóy mo ang gágawín natin.	I know you will enjoy what we're about to do.
Pagmasdán mo ang ginagawâ ko.	Pay close attention to what I am doing.
Itigil mo ang ginagawâ mo at makiníg ka sa akin.	Stop what you're doing and listen to me.
Tutukan mo ang ginagawâ mo.	Concentrate on what you're doing.
Ang dami kong dapat gawín.	I have a lot that I should do. / I have a lot to do.
Mahalagáng iulat mo ang ginawâ nilá.	It's important to report what they did.
Kung lálagnatín ka pag-uwî mo, sabihin mo sa doktór kung anó ang ginawâ mo.	If you develop a fever after returning home, tell the doctor what you did.
Pag-usapan natin ang gágawín natin bukas.	Let's talk about what we're going to do tomorrow.
Anó ang dapat kong gawín para hindî mahawa ng tubérkulosis?	What should I do to prevent getting infected with tuberculosis?
Gágantí tayo sa ginawâ nilá sa atin.	We will avenge what they did to us.
Hindî na eere ang segment na ginawâ namin.	The segment we did won't be aired anymore.
Anó ang ginawâ niyá para mamíss mo siyá nang ganiyán?	What did he do to make you miss him that way?
Sino ang mag-aayos ng ginawâ mong gusót?	Who will fix the problem you created?
Áaminin ko bukas ang mga ginawâ ko kay Jackie.	I will confess tomorrow what I did to Jackie.
Ginagaya ko ang ginagawâ ng mga mananayaw.	I do what the dancers do.
Paano ko maipapasa ang ginawâ ko?	How will I be able to hand over what I made?
Masúsugatan ka kapág nagpumilit kang gawín iyán.	You'll get injured if you insist on doing that.
Anó ang ginagawâ mo para labanán ang pagkabagót?	What do you do to fight boredom?
Anó ang gágawín mo kapág naharáp ka sa ganoóng sitwasyón?	What would you do if you were in that situation?
Bukód itó sa ginawâ niyá.	It is in addition to what he did.
Pípirmá akó dahil itó ang tamang gawín.	I will sign because it's the right thing to do.
Itabí mo muna ang ginagawâ mo.	Put aside what you're doing for the meantime.
Naninindigán ang akusado na walâ siyáng ginawáng masamâ.	The accused strongly maintained that he didn't do wrong.
Hindî ko malaman kung anó ang dapat kong gawín.	I don't know what I should do.
Anó ang gágawín mo kung nalaman mong makákaharáp mo ang soulmate mo ngayón?	What would you do if you knew you would meet your soulmate now?
Hindî alám ng mga polítikó na maitatalâ sa kasaysayan ang ginawâ nilá.	The politicians have no idea that their actions will be written in history.
Mapúpuntá sa iyó ang posisyón kung gágawín mo ang iniuutos ko.	You would get the position if you did what I asked.
Hinangád mo bang maghigantí dahil sa ginawâ niyá?	Did you seek revenge because of what he did?
Udyukán natin ang mga kakandidato na gawín ang tamà.	Let's persuade those running for office to do the right thing.
Gágawín ko itó kahit alám kong ikasasawî ko itó.	I will do it even though I know it will kill me.
Q: Anó ang ginagawâ mo? A: Walâ namán, kung anu-ano lang.	Q: What are you doing? A: Nothing really, just this and that.
Anó ang ginawâ ni Jose na humantóng sa pagtawa ni Ian?	What did Jose do that led to Ian laughing?
Ayoko nakíkialám silá sa aking ginagawa.	I don't like them meddling in my affairs.
Walâ siyáng ginawáng masamâ at nadamay lang siyá.	He did nothing wrong but she has to suffer.
Gágawín niyá ang lahát para makalayà sa pag-uusig ng kaniyáng budhî.	She would do anything to be freed of her guilt.
Hayaan mong magyabáng si Annie hinggíl sa nais niyáng gawín.	Let Annie boast about what she intends to do.
Anó ang ginawâ mo nang magbantâ si Ashley sa iyó?	What did you do when Ashley threatened you?
Mahirap isipin na ginawâ iyón sa iyó ni Mary.	It's hard to imagine Mary did that to you.
Hindî ka ba nahíhirapan sa ginagawâ mo?	Aren't you having difficulty / inconveniencing yourself with what you're doing?
Maúuná na akó at marami pa akóng kailangang gawín sa bahay.	I'll go ahead as I still need to do a lot of things at home.
Napag-usapan na ba ninyó ang gágawín ninyó sa Linggó?	Have you already talked about what you will do on Sunday?
Anó ang ginawâ mo habang nanónoód kamí ng TV?	What did you do while we were watching TV?
Masásaktán mo ang damdamin ni Mary sa ginawâ mo.	You will hurt Mary's feelings with what you did.
Hindî ko áaminin ang hindî ko namán ginawâ.	I will not own up to what I did not do.
Mamayâ na kitá túturuan kasí may ginagawâ pa akó.	I will teach you later because I'm still doing something.
Huwág mo akóng ináasár kapág marami akóng ginagawâ.	Don't tease me when I'm busy.
Sana maintindihán mo kung bakit ko ginawâ 'yun.	I hope you'd be able understand why I did that.
Magpatulong ka para hindî ka mahirapan sa ginagawâ mo.	Ask for assistance so you won't have difficulty with what you're doing.
Sige, panónoorín muna kitá kung paano mo ginagawâ iyán.	OK, I'll watch how you do it first.
Bakit mo ba laging pinápansín ang mga ginagawâ ko?	Why are you always breathing down my neck?
Pagmámasdán mo kung papaano nilá ginagawâ iyón para matutunan mo.	You should observe closely how they do it so you'll learn.
Gawín na natin itó at baka magbago pa ang isip ko.	Let's do this already before I change my mind.
Sa dami ng kailangan kong gawín, hindî ko na alám kung alín ang una kong áatupagin.	With so many thing I have to do, I don't know anymore which one I should attend to first.
Huwág mong akalain na hindî ko alám ang ginagawâ mo.	Don't assume that I do not know what you're doing.
Kailangan ko ng magtuturò sa akin kung paano gawín itó.	I need someone who will teach me how to do this.
Huwág mo siláng gawín nang sabáy-sabáy para hindî ka malitó.	Don't do them all at the same time so you won't get confused.
Hindî kayâ niyá naisip na malî ang gágawín niyá?	Couldn't he have realized that what he would do is wrong?
Ginawa mo ba?	Have you done it?
Ginawa mo ba?	Did you make it?
Gawin natin ito!	Let's do this!
May ginagawa sila.	They're busy.
Ako'y may ginagawa.	I am busy.
Anong ginagawa nila?	What are they doing?
May gagawin ka bukas?	Are you free tomorrow?
Bakit mo ginawa iyon?	Why did you do that?
Paano mo ginawa iyon?	How'd you do it?
Paano nila ginawa iyan?	How did they do that?
Puwede mong gawin iyan.	You're allowed to do that.
Di ko ginawa para sa iyo.	I didn't do it for you.
Ginawa ito sa Kazakhstan.	This is made in Kazakhstan.
Gusto kong gawin mo agad.	I want you to do it at once.
Anong ginawa niya sa 'yo?	What did she do to you?
Ano iyong gusto mong gawin?	What is it you want to do?
Alam ko anong ginawa ni Tom.	I know what Tom did.
Hindi ko gustong gawin iyan.	I don't enjoy doing that.
Bakit mo ginawa ito sa akin?	Why did you do this to me?
