Mag-ingat sa ipagpatuloy	Proceed with caution
Ipagpatuloy ninyó ang inyóng ginagawâ.	You continue with what you are doing.
Nais niyáng ipagpatuloy ang sinimuláng programa ng dating alkalde.	He wants to continue the program started by the previous mayor.
Kailangang ipagpatuloy ng panauhing pandangál ang naudlót na talumpatì.	The guest speaker should continue with his interrupted speech.
Ipinagpatuloy ng mga anák niyá na patakbuhín ang naiwan niyáng negosyo.	His children continued running the business he left.
Ipinagpatuloy ang pagpápatupád ng ordinansa.	The implementation of the ordinance was continued.
Hindî ko inaasahang ipinagpatuloy ni Tony ang aplikasyón niyá sa trabaho.	I did not expect that Tony continued his job application.
Ipinagpápatuloy ng kasalukuyang administrasyón ang pátakarán.	The present administration continues the policy.
Ipinagpápatuloy ni Elmer ang pag-aaral niyá.	Elmer is continuing his schooling.
Nangako ang gobernadór na ipagpápatuloy niyá ang mga proyekto.	The governor promised that he will continue the projects.
Ipagpatuloy mo ang magandang gawain!	Keep up the good work!
