Tingnán mo itó!	Look at this!
Bahay itó.	This is a house.
Anó itó?	What is this?
Itó ay mulâ sa akin.	This is from me.
Nabasa mo na itó?	Have you read this?
Panoorín mo itó.	Watch this.
Gamitin natin itó.	Let's use this.
Bantayán mo itó sandalî.	Watch over this for a moment.
Itó ang mapa ng Pilipinas.	This is the map of the Philippines.
Kaya ko itó, maniwalà ka.	I can do this, trust me.
Hawakan mo itó.	Hold this.
Ginawâ mo ba itó?	Did you do this?
Hindî ko itó mauubos.	I can't finish all of this. (usually referring to food)
Sana magustuhán mo itó.	I hope you'd like this.
Itó ang problemang iláng oras na niláng sinásagután.	This is the problem that they've been working on for hours.
Huwág mo munang itatapon itó.	Don't throw this away yet.
Bakâ may magustuhán ka sa mga itó.	You might like something from among these.
Sana hindî na maulit itó.	I hope this does not happen again.
Sagután ang maiklíng pagsusulit na itó para malaman kung handâ ka na.	Take this short quiz to see if you're ready.
Tulungan mo silá na gampanán ang malakíng trabahong itó.	Help them accomplish this great task.
Sa unang pagkakátaón, eere itó sa telebisyón.	For the first time, it will be aired on television.
Gumagana pa ba itóng lumang radyo mo?	Does this old radio of yours still work?
Ipakita mo sa akin kung paano gamitin itó.	Show me how to use this.
Habang tumatandâ si Angel, mas madalás na sumasagì sa kaniyá ang alaalang itó.	The older Angel gets, the more often this memory haunts her.
Mareréalize mo ang halagá ng isáng bagay kapág nawalâ mo itó.	You will realize the worth of something when you lose it.
Tatapusin ko na lang itó sa bahay.	I'll just finish this off at home.
At nang tingnáng mabuti ni John ang palasyo, itó ay sadyáng napakalakí at nápakagandá.	And when John looked at the palace, it was especially large and very beautiful.
Anó ba itóng pinasok ko?!	What did I get myself into!?
Matagál kong pinag-isipan ang desisyón na itó.	I took me a long time to consider this decision.
Hindî ko nakita itó.	I didn't see it.
Nagbubunsód itó ng matindíng karahasán.	It unleashes tremendous violence.
Itó muna ang atupagin mo bago iyán.	Take care of this first before that one.
Nakita mo ba itó?	Did you see it?
Magsilbí sana itóng aral sa inyó.	Let this be a lesson to you. / Hopefully this serves as a lesson to you.
Alín sa mga kautusáng itó ang nilabanan mo?	Which of these orders have you resisted?
Anóng oras ko íinumín itóng gamót?	What time am I supposed to take this medicine?
Paano ko matagumpáy na mahaharáp ang mga pagsubok na itó?	How can I handle these challenges successfully?
Saán mo nabábatíd ang mga pangyayaring itó?	Where do you learn about these events?
Hindî sulit nakawin ang mga itó.	These are not worth stealing.
Natátanggál ba itóng hawakán?	Is this handle detachable?
Anó ang kailangan ko para maharáp itó?	What do I need to deal with it?
Natatanóng mo ba itó sa kaniyá?	Do you ask him this?
Ayaw kong aminin itó, pero nabigô akó.	I don't want to admit this, but I failed.
Kailangan kitá para maharáp ko ang mga problemang itó.	I need you in order for me to cope with these problems.
Maangháng ba itó?	Is this spicy?
Kanino mo itó hinirám?	From whom did you borrow this?
Nagkákahalagá itó ng isáng linggóng kita noóng panahóng iyón.	It amounts to about one weeks' wages at that time.
Ingatan mo ang bag mo para hindî itó maagaw.	Keep your bag safe so that it won't be stolen.
Layunin ng teknolohiyang itó na hulaan ang direksiyón ng bagyó.	This technology aims to chart the movement of a typhoon.
Itó ang buhatin mo.	Carry this one.
Kukunin mo ba itó?	Will you be getting this?
Huwág mo nang tangkaín itó.	Don't even try it.
Hindî natin puwedeng palayain ang bilanggông itó.	We can't release this prisoner.
Bakit itó dádamdamín ni Elle?	Why will Elle feel resentful toward it?
Marangál itóng paraán para isulong ang isáng layunin.	It's a noble way to further a cause.
Bumagsák ang negosyo ngunit nakabawì itó.	The business hit rock bottom but it recovered.
Kung gustó mong makamít ang iyóng pangarap, paghirapan mo itó.	If you want to achieve your dreams, you have to work hard for it.
Dádamdamín niyá itó kapág natanggáp ang balità.	He will feel bad about it when he receives the news.
Nagbabantâ itóng magbunsód ng paglitáw ng mga baktirya.	It threatens to foster the emergence of bacteria.
Hindî itó pinagtitibay ng Estados Unidos.	The United States doesn't ratify it.
Huwág mo itóng hingín.	Don't ask for this.
Nagíng opisina ang nasunog na sineháng itó.	This burned-out cinema became a store.
Kanino ko itó híhiramín?	From whom should I borrow this?
Pumilì ka sa mga itó.	Choose among these.
Sa puntong itó, hindî na siyá makalaban.	At this point, he can no longer fight.
Kanino ba itó?	Whose is this?
Ikumpará mo itó dun sa isá.	Compare this to / with the other one.
Paano nilá itó itatayô?	How will they establish it?
Huwág ninyóng úupuán itó.	Don't you ever sit on this.
Kompanyá namin ang nagtatayô ng gusaling itó.	It is our company that is constructing this building.
Maglálamán itó ng impormasyóng makatutulong sa iyó.	It will contain information that will help you.
Iinumán mo ba itó o hindî?	Are you going to drink from it or not?
Paano akó makákatakas sa matindíng kalungkutang itó?	How will I escape from this extreme sadness?
Hinirám ko lang itó sa kuya ko.	I just borrowed this from my older brother.
Ipinamigáy ba niyá itó sa inyó?	Did she pass it out to you?
Pwede ko bang hiramín itó?	Could I borrow this?
Nagsasawà na akó sa buhay na itó.	I am getting sick and tired of this life.
Naglálamán ang dokumentong itó ng impormasyón tungkól sa pagsisiyasat.	This document contains the information from the inquiry.
Kanino nanggaling itó?	From whom did this come from?
Ipalít mo itó diyán.	Replace that with this.
Nagagawâ pa ba itó?	Can this still be fixed/repaired?
Maaaring maglamán ang lalagyáng itó ng líkido.	This container can hold liquid.
Gágawín ko itó kahit alám kong ikasasawî ko itó.	I will do it even though I know it will kill me.
Ang isáng paraán para maitalâ ang obserbasyón mo ay iguhit itó.	One way to record what you observe is to draw it.
Paano ba binábaybáy itó?	How is it spelled?
Totoó itó!	It's true! / This is true!
Parang hindî itó magkakasya sa bulsá mo.	It looks like it would not fit in your pocket.
Kung alám niyá, bakit hindî niyá pinípigilan itó?	If she knows, why doesn't she prevent it?
Magdédesisyón kamí mamayâ tungkól sa bagay na itó.	We will decide on this matter later.
Ubusin mo na itó para hindî masayang.	Finish this (food) so it won't go to waste.
Huwág mo itóng íinumín.	Don't drink (fluid) / take (medicine) this.
Hindî madalî, pero makakaya ko ang pagsubok na itó.	It's not easy, but I can cope with this challenge.
Tamà ba itó?	Is this correct?
Kung nakaya itó ni Olive, makakaya ko rin itó.	If Olive was able to do it, I could do it, too.
Itagò mo itó sa batà.	Hide this from the child.
Hindî itó makaya ni Diego!	Diego could not keep up!
Itagò mo itó sa loób ng aparadór.	Put this inside the closet.
Hindî ko mabuô ang paláisipán na itó.	I can't complete this puzzle.
Hindî itó nangángahulugáng hinúhulaan ni Patty ang hináharáp.	It doesn't mean that Patty predicts the future.
Kailangang matikmán mo itó.	You should taste this.
Inumín mo itó.	Drink (fluid) / Take (medicine) this.
Batíd mo ba ang kabigatan ng krimén na itó?	Are you aware of the seriousness of this crime?
Kailangan nating maapulà ang sakít bago pa itó lumalâ.	We need to suppress the disease before it worsens.
Hindî mo matútuklasán itó kung hindî ka magsísiyasat.	You will not discover it if you will not investigate.
Itó ay kabaliwán!	This is craziness!
Naglálamán ang kahóng itó ng lahát ng liham mo sa akin.	This box contains all your letters to me.
Walâ itóng takíp.	This one doesn't have a cover.
Tandaán mo itó.	Remember this.
Kanino ang bag na itó?	Whose bag is this?
Kailangan natin ng abrelata para mabuksán itó.	We need a can opener to be able to open this.
May dalawáng tanóng akó tungkól sa dialog na itó.	I have two questions about this dialog.
Umáatrás ang bus nang itó ay bumanggâ sa padér.	The bus was backing up when it hit the wall.
Nasunog ang punò nang tinamaan itó ng kidlát.	The tree was burned when lightning struck it.
Ináabután ko si Mary ng mansanas nang mabitawan ko itó.	I was handing an apple to Mary when I accidentally dropped it.
Laging binabahâ ang kalye na itó kahit mahinà lang ang ulán.	This streel always gets flooded even with just light rain.
Tumútugtóg pa ba itóng radyo mo?	Does this radio of yours still work?
Hindî kitá mabigyán nitó kasí hindî itó sa akin.	I can't give you any of these because these are not mine.
Itó ang unang beses na makákasakáy si Anna sa eroplano.	This is the first time Anna will be able to ride on an airplane.
Itóng prutas na itó ang tinatawag na langkâ.	This fruit is what is called jackfruit.
Magtagál kayâ itóng murang cell phone na nabilí ko?	I wonder if this cheap cell phone that I bought would last long.
May natítikmán akóng parang mansanas sa pagkaing itó.	I can taste an apple-like flavor in this dish.
Kailán kayâ mauulit ang kasayahan nating itó?	I wonder when we'll have this fun gathering again.
Mahál ang restawrán na itó.	This restaurant is expensive.
Ipáliwanag mo itó sa amin kasí hindî namin siyá maintindihán.	Explain this to us because we can't understand it.
Itó ang pábriká na gumagawâ ng mga lata.	This is the factory that produces tin cans.
Huwág mo muna itóng itátabí. Iwan mo lang muna dito sa mesa.	Don't keep this first. Just leave it on the table for the meantime.
Nakagát ng aso ang mágnanakaw habang itó ay tumatakas.	The dog bit the burglar while he was running away.
Iláng minuto ang itinitigil ng trén sa istasyón na itó?	For how many minutes does the train stop at this station?
Kailangan ko ng magtuturò sa akin kung paano gawín itó.	I need someone who will teach me how to do this.
Sino 'to?	Who's this?
Tapusin ito.	Finish this.
Magkano ito?	How much is this?
Alak mo 'to.	This is your wine.
Ayusin mo 'to.	Fix this.
Buhatin mo ito.	Carry this.
Biro ito, tama?	This is a joke, right?
Di posible ito.	This isn't possible.
Ito ay almusal.	This is a breakfast.
Panoorin mo 'to.	Watch this.
Kabisaduhin ito.	Memorize this.
Gawin natin ito!	Let's do this!
Nakakain ba ito?	Is this thing edible?
Ito ang gusto ko.	This is what I wanted.
Di ito matatapos.	This is never going to end.
Panaginip ba ito?	Is this a dream?
Sira itong radyo.	This radio is out of order.
Papayagan ko ito.	I'll allow this.
Buhatin niyo ito.	Carry this.
