Kailán ka ipinanganák?	When were you born?
Kailán mo sísimulán ang pag-aaral ng Italian?	When will you begin learning Italian?
Kailán ka lílipád patungong Japan?	When are you flying to Japan?
Kailán mo tátakpán ang butas sa dingdíng?	When will you seal the hole in the partition?
Kailán at saán kayó nagpakasál?	When and where did you get married?
Kailán idinaos ang hulíng SEA Games?	When was the last SEA Games held?
Kailán ka hulíng bumoto?	When was the last time you voted?
Kailán itó nangyayari?	When does this happen / occur?
Kailán ang miting?	When is the meeting?
Kailán hulíng nakipagkita sa iyó si Bill?	When was the last time Bill met up with you?
Kailán ka magdádaán ng bigás?	When will you bring rice?
Kailán eere sa Pilipinas ang "Hotel del Luna"?	When will "Hotel del Luna" air in the Philippines?
Kailán tayo lálabás?	When are we going out (socially)?
Kailán kayó ikákasál?	When is your wedding day?
Hanggáng kailán?	Until when?
Kailán ka hulíng bumiyahe sa England?	When was the last time you travelled to England?
Kailán mo akó bábayaran?	When will you pay me?
Kailán ka nagbigáy ng pera kay Tom?	When did you give money to Tom?
Kailán ka hulíng namilí?	When was the last time you went shopping?
Kailán ang bakasyón?	When is the vacation?
Kailán tayo manónoód ng sine?	When are we going to watch a movie?
Kailán ka kadalasang pumúpuntá dito?	When do you usually come here?
Kailán mo kamí sásagutín?	When are you going to give us your answer?
Kailán ka hulíng naglabá?	When was the last time you did the laundry?
Kailán mo akó tátawagan ulî?	When are you going to call me again?
Kailán tayo magpúpuntá sa palengke?	When are we going to the market?
Kailán natin lulutuin ang manók?	When are we going to cook the chicken?
Kailán mo isusumite ang mga papeles mo?	When will you turn in your papers?
Kailán ang inuman natin?	When is our drinking session?
Kailán ginanáp ang programang pangkalusugan?	When was the health program held?
Kailán mo lilinisin ang loób ng kotse?	When will you clean the car's interior?
Kailán mo aásikasuhin ang pagkuha mo ng visa?	When will you attend to your securing a visa?
Kailán mo akó bábalikán?	When are you coming back for me?
Kailán ninyó aaréstuhín ang kriminál?	When will you arrest the criminal?
Kailán ka bábalík?	When will you be back?
Kailán lumubóg ang Titanic?	When did the Titanic sink?
Kailán mo mareréalize na mahál mo si Brenda?	When will you realize that you love Brenda?
Kung hindî ngayón, kailán ka maninindigán?	If not now, when will you take a stand?
Kailán mo akó túturuan ng karate?	When will you teach me karate?
Kailán ka makákapuntá dito?	When can you come over?
Kailán ka ulî makákagawâ ng chocolate cake?	When can you again bake a chocolate cake?
Kailán ninyó gustóng lumipat?	When would you like to move in?
Itinatakdâ ba ng kompanyá kung saán at kailán dapat kumain?	Does the company limit our lunch to certain places and times?
Kailán kamí puwedeng lumipat?	When may we move in?
Kailán mo maibábalík ang laruán sa kahón?	When will you put the toy back to the box?
Kailán ninyó maáaresto si Jimmy?	When can you arrest Jimmy?
Kailán nilá oorganisahín ang unyón ng mga manggagawà?	When will they organize the workers' union?
Kailán namatáy ang iyóng iná?	When did your mother die?
Kailán magagawâ ang TV mo?	When will your TV get fixed?
Kailán mo ipapasa iyán?	When are you going to pass that?
Kailán hulíng umatake ang hikà mo?	When was the last time you had an asthma attack?
Gustó kong malaman kung kailán ka bábalík.	I would like to know (as to) when you will return.
Uuwî akó kung kailán ko gustó.	I'll go home whenever it pleases me.
Kailán siyá nagbayad?	When did he pay?
Kailán ko matítikmán ang lutò mo?	When would I be able to taste your cooking?
Kailán tayo kakain, kayâ.	When can we eat, I wonder.
Kailán kitá sísingilín?	When should I collect payment from you?
Kailán mo masasabing natátamó na ng isáng bansâ ang kapayapaan?	When can you say that a country is already achieving peace?
Kailán ka mangánganák?	When are you due?
Kailán siyá hulíng dumalaw?	When was the last time he came to visit?
Kailán ka dadalaw ulî?	When will you come to visit again?
Kailán silá dinalaw ni Janice?	When did Janice visit them?
Kailán matátauhan si Roda?	When will Roda regain consciousness?
Kailán natumbá si Pogz?	When did Pogz fall down?
Alám ng doktór kung kailán yayao ang pasyente.	The doctor knows when the patient will die.
Hindî nilá alám kung kailán silá magpeperfórm.	They don't know when they will perform.
Kailán mo akó dadalawin ulî?	When will you visit me again?
Balitaan mo akó kung kailán ka magreretiro sa kompanyá.	Let me know when you will be retiring from the company.
Kailán híhikayatin ni James si Mar na sumama sa biyahe nilá sa Taiwan?	When will James cajole Mar into joining their Taiwan trip?
Kailán lulutang ang galíng ng Pinóy?	When will the Filipino excellence dominate?
Kailán mo hulíng pinuná ang iyóng asawa?	When was the last time you criticized your spouse?
Desisyón ko kung kailán akó mag-áanák.	It's my decision when to have a child.
Kailán magkákaroón ng katahimikan ang iyóng loób?	When will you have inner peace?
Kailán nilá sásalakayin ang bodega ni Castro?	When will they raid Castro's warehouse?
Kailán mo tátanggapín ang pag-amin ni Sandra?	When will you accept Sandra's confession?
Kailán naapulà ang interés ni Donna sa pananahî?	When did Donna's interest on sewing dissipate?
Kailán ninyó silá pagsásamahin sa isáng pelíkulá?	When will you cast them in one movie?
Kailán mo áalisín ang mga damít sa sampayan?	When will you take the clothes off the clothesline?
Kailán ka ba matitigil sa pagpuntá sa casino?	When will you ever stop going to the casino?
Kailán mo gagamitin ang laptop ko?	When will you be using my laptop?
Hindî mo na ba maalala kung kailán iyón?	Can't you remember anymore when that was?
Kailán mo madádalá yung hiníhirám kong libró sa iyó?	When can you bring the book I'm borrowing from you?
Kailán kayâ mauulit ang kasayahan nating itó?	I wonder when we'll have this fun gathering again.
Kailán ka púpuntá sa America at mga kailán ka makákabalík?	When are you going to America and about when will you be back?
Kailán mo aayusin itóng mga kalat mo?	When are you going to organize your clutter?
Alám ko kung kailán siyá daratíng.	I know when she is coming.
Kailan?	When?
Kailan yun?	When was that?
Kailan ang almusal?	When's dinner?
Kailan iyon itinayo?	When was it built?
Kailan magugunaw ang mundo?	When will Earth meet its end?
Kailan ka dumating sa bahay?	When did you get home?
Kailan tayo kakain? Gutom na ako!	When are we eating? I'm hungry!
Alam mo kung kailan sila darating?	Do you know when they will arrive?
Kailan at saan ang handa ng almusal?	When and where is breakfast served?
Kailan lalabas ang bago niyang nobela?	When will his new novel come out?
Hindi ko alam kung kailan uuwi si Tom.	I don't know when Tom will come home.
Kailan ka nagsimula mag-aral ng Ingles?	When did you begin studying English?
Hindi ko alam kailan siya pupunta rito.	I don't know when he'll be here.
Kailan magwawakas ang kasakiman ng tao?	When will human greed end?
Kailan mo pinapintahan ang dingding mo?	When did you have your wall painted?
Kailan mo nakitang sinayawan niya siya?	When did you see him dancing for her?
Kailan inintrodyus ang patatas sa Hapon?	When were potatoes introduced into Japan?
Hindi ko alam kung kailan yun magaganap.	I don't know when that's going to happen.
Huwag mo na akong kausapin kahit kailan.	Don't talk to me anymore.
Hindi ko alam kung kailan babalik si Tom.	I don't know when Tom will be back.
Kahit kailan hindi siya bumiyahe sa tren.	He never takes the train.
Pakisabi po sa akin kung kailan maghahain.	Please tell me when to serve the food.
Kailan ka nag-umpisang mag-aral ng Ingles?	When did you begin to learn English?
Hindi ko alam kung kailan kita matutulungan.	I don't know when I'll be able to help you.
Kailan ko ba makikita ang epekto ng sabong ito?	When will I get to see the effect of this soap?
Di ko alam kung kailan si Tomas aalis ng Hapon.	I don't know when Tom will leave Japan.
Kailan ang pinakahuli mong pakinig sa kantang ito?	When was the last time you listened to this song?
"Kailan iyon nangyari?" "Kailan nangyari ang ano?"	"When did it happen?" "When did what happen?"
"Kailan iyon nangyari?" "Kailan nangyari ang ano?"	"When did it happen?" "When did what happen?"
