Nalunod siláng lahát!	They all drowned!
Lahát o walâ.	All or nothing.
Kumustá sa lahát!	Hello, all! / Hello to everyone!
Naitalâ ni Sharon ang lahát ng ulat.	Sharon recorded all the reports.
Nandito na ba kayóng lahát?	Is everyone here now?
Náritó na siláng lahát.	All of them are here now.
Makakain mo ba lahát iyán?	Would you be able to eat all of that?
Hináhangád ko ang atensiyón ng lahát.	I want everyone's attention.
Nahaharáp tayong lahát sa mga tuksó.	We all face temptations.
Nagkakamalî namán ang lahát.	Everybody makes mistakes.
Natutulog ba ang lahát ng mga batà?	Are all of the children sleeping?
Sinibák ko na ang lahát ng kahoy.	I chopped all the wood already.
Sumigáw ka para mariníg ka niláng lahát.	Shout so that all of them can hear you.
Masásaksihán ng lahát ang pagkokorona sa bagong harì.	Everyone will witness the crowning of the new king.
Naglálaán siyá ng mga masustánsiyáng pagkain para sa lahát.	He provides nourishing food for all.
Naka-relate siláng lahát sa pinagdaanan ng bida.	They all related to the protagonist's ordeals.
Dádaló ang lahát sa binyág ng bunsóng anák ni April.	Everyone will attend the baptism of April's youngest child.
Dapat niláng ikonsiderá ang lahát ng salik.	They should consider all factors.
Masayá ang lahát nang ganapín niyá ang kaniyáng mga tungkulin.	Everyone was happy as he fulfilled his duties.
Nasamsám ang lahát ng arí-arian ni Nicole.	All of Nicole's property were seized.
Ang gustó ko sa iyó, kumakanâ ka sa lahát ng bagay.	What I like about you is that you succeed in everything.
Natátarantá at nagkakaguló ang lahát.	Everyone is rattled and confused.
Ipinakilala niyá akó sa lahát ng nakasalubong namin.	He introduced me to everyone we met on the way.
Dádaló ba kayóng lahát sa pagpupulong bukas?	Will you all attend tomorrow's meeting?
Magandáng siguruhing ayós ang lahát bago ka bumiyahe.	It's good to ensure that everything is okay before you travel.
Gágawín niyá ang lahát para makalayà sa pag-uusig ng kaniyáng budhî.	She would do anything to be freed of her guilt.
Nadídiskubré ng marami na hindî lahát ng kaibigan nilá ay mabuti.	Many people discover that not all of their friends are good.
Kailangan ko bang gastahín ang lahát ng napanalunan ko?	Do I need to spend all of my winnings?
Mawalâ na ang lahát, huwág lang ikáw.	I could give up everything, except you.
Gágastahín mo ba ang lahát ng naipon mo sa pagkantá?	Will you spend all of your savings from singing?
Si Mark ang pumápatáy sa ilaw bago matulog ang lahát.	Mark is the one switching off the lights before everyone goes to sleep.
Magkakasya tayong lahát sa kotse.	We will all fit in the car.
Nagkasya ang lahát ng pumuntá sa bahay ni Dev.	Dev was able to accommodate all those who came to his house.
Sa bahágharing tuláy ba mapúpuntá ang lahát ng aso?	Will all dogs go to the rainbow bridge?
Nagkakáisá ba kayóng lahát sa desisyón na iyán?	Are you all agreeing to that decision?
Sa United States, nanguna si Harry Truman sa halos lahát ng poll.	In the United States, Harry Truman led in nearly every poll.
Pangarap ng bawa't isá ang makamít ang pínakamahalagáng premyo sa lahát.	It is everyone's dream to achieve the most important prize of all.
Hindî mo dapat pinápatulan ang lahát ng bagay.	You shouldn't pay attention to everything.
Ginagapî ni Lyka ang lahát ng pagsubok.	Lyka overcomes all trials.
Saludo akó sa lahát ng frontliners na lumalaban sa COVID-19.	I salute all frontliners who fight the COVID-19.
Kasali tayong lahát sa laban kontra Covid-19.	We are all involved in the fight against Covid-19.
Hínay-hinay at bakâ magastos mo ang lahát ng sinahod mo.	Slow down or else you might have to spend all your salary.
Huwág mong gagástusín lahát iyán.	Don't spend all of that.
Oo, tataluhin ko silang lahat!	Yes, I will defeat them all!
Kailangang ganapín nilá ang lahát ng bagay na iniutos ko.	They had to observe all the things I commanded.
Ma-miss mo na ang lahát, huwág lang ang ex mo.	Miss everyone, just not your ex.
Kunin ninyó siláng lahát at pagbabarilín!	Take them all out and shoot them!
Dádalhín ba nating lahát itó?	Do we bring all of this?
Maligayang Paskó sa inyóng lahát!	Merry Christmas to you all!
Naglálamán ang kahóng itó ng lahát ng liham mo sa akin.	This box contains all your letters to me.
Nadádalá mo bang lahát ang mga libróng iyán sa eskuwela?	Are you able to bring all those books to school?
Huwág ninyóng sinéseryoso ang lahát ng sinasabi ko.	Don't take everything I say seriously.
Nasásagót mo ba ang lahát ng email ni Elaine?	Are you able to reply to all of Elaine's emails?
Ginastos mo bang lahát yung perang ibinigáy ko sa iyó?	Did you spend all the money that I gave you?
Tumayô pô tayong lahát para sa ating pambansáng awit.	Let us all stand for our national anthem.
Nagpápasalamat kamí sa lahát ng mga tumulong sa amin.	We express our gratitude to all those who helped us.
Sabihin mo lahát ng nalalaman mo.	Tell everything you know (Spill the beans).
Naubos ba ng aso ang lahát ng binigáy mong pagkain sa kanyá?	Was the dog able to consume all the food that you gave him?
Alam ng lahat.	Everybody knows.
Lahat ay umalis.	Everybody left.
Tumawa ang lahat.	Everybody laughed.
Umalis ang lahat.	Everybody left.
Lahat ay nagbago.	Everything changed.
Ngumiti ang lahat.	Everybody smiled.
Tumalon ang lahat.	Everybody jumped.
Nanatili ang lahat.	Everybody stayed.
Nagbayad ang lahat.	Everybody paid.
Tumatawa ang lahat.	Everybody laughs.
Handa na ang lahat.	Everything is ready.
Lahat ay nagbabago.	Everything changes.
Nabasa mo ba lahat?	Did you read it at all?
Nakatakas ang lahat.	Everyone escaped.
Mamamatay ang lahat.	All shall die.
Sinira mo ang lahat.	You ruined everything.
Gusto ko lahat sila.	I like all of them.
Nagbabasa ang lahat.	Everyone's reading.
Ang lahat ay tumalon.	Everybody jumped.
Nalunod silang lahat.	They all drowned.
May oras para sa lahat.	There is a time for everything.
Mamamatay tayong lahat.	We are all going to die.
Nasa taas silang lahat.	They're all upstairs.
