Naíinggít lang siyá.	He's just jealous.
Manoód ka lang.	Just watch. / Just watch me.
Kauntî lang.	Just a little.
Sandalî lang.	Just a moment. / Just a second.
Minsan pa lang akóng umibig.	I have only fallen in love once.
Kakauntî lang ang nakákabasa nitó.	Only a handful could read this.
Huwág kang mamuhay para lang sa sarili.	Don't live for yourself only.
Multó lang ang magpápatakbó sa akin.	Only a ghost will make me run.
Normál lang na damdamín ang pang-iinsulto niyá.	It's only normal to be offended by his insults.
Kakagising ko lang.	I just woke up
Sige lang!	Just go ahead!
Iyon lang ba?	Is that all?
Pera lamang iyan.	It's only money.
Kakatapos ko lang.	I just finished.
Nagbibiro lang ako.	I'm just joking.
Uupo ka lamang dito.	You have only to sit here.
Pangarap lamang iyon.	It's only a dream.
Kakaalis lang ng bus.	The bus just left.
Panaginip lamang iyon.	It's only a dream.
Iniisip ko lamang ikaw.	I'm only thinking of you.
Gusto ko lamang matulog.	I just want to get some sleep.
Diretso lang ang tingin.	Look straight ahead.
Madali lang sagutin iyon.	It was easy to answer.
Ito'y pisapapeles lamang.	This is just a paperweight.
Oras lamang ang magsasabi.	Only time will tell.
Lumakad lamang ako papunta.	I was going on foot.
Konti lang ang salita niya.	He is spare in words.
Saging lamang ang kinain ko.	I ate only bananas.
Kung may hardin lamang tayo!	If only we had a garden!
Sarili lang nya iniisip nya.	He thinks only about himself.
Katatanghalian ko pa lamang.	I have just eaten lunch.
May isang binti lamang si Tom.	Tom had only one leg.
Hindi lamang iyan ang problema.	That's not the only problem.
Isang bagay lamang ang nais ko.	I only want one thing.
Katatanggap ko lang ang balita.	I just got the news.
May dalawang dolyar lamang tayo.	We have only two dollars.
Ikaw ay isang estudyante lamang.	You are nothing but a student.
Katatawag lang sa akin ng pulis.	I just got a call from the police.
Ikaw lamang ang makakagawa niyon.	You're the only one who can do it.
