#lesson 67 from Tagalog Made Easy
payo	advice
sundin mo ang payo ko	follow my advice
nasasabik	excited
nasasabik ako na makita ka	I am excited to see you
maniwala ka sa akin	believe me
akala ko	I thought
akala ko darating ka	I thought you are coming
makakasama mo siya	you will be with him/her
ano ang dahilan?	what is the reason?
pumili ka ng gusto mo	choose what you want
nagustuhan mo ba?	 did you like it?
huwag kang maniwala sa kanya	do not believe him/her
kung sakali	in case
kung sakali na dumating siya, ipaalam mo sa akin	in case he arrives, let me know
ipaliwanag mo sa kanya	explain it to him/her
intindihin	understand
intindihin mo ang kalagayan ko	understand my situation
sa mga araw na darating	the coming days
sa mga araw na darating ay uulan	it will be raining in the coming days
saka na lang	some other time
saka na lang ako dadalaw sa iyo	I will visit you some other time
ayan ka na naman	there you go again
nahirapan ako sa trabaho	I had a hard time at work
kaya kong gawin iyan	I can do that
kaya mo bang gawin ito para sa akin?	can you do this for me?
kasalanan mo	your fault
humingi ng tawad	ask for forgiveness
pangalawang pagkakataon	second chance
bigyan mo siya ng pangalawang pagkakataon	give him/her a second chance
kunwari	pretend
huwag kang magkunwari	do not pretend

diyan ka na lang	just stay there
ok ba sa iyo?	is it alright with you?
ok sa akin	fine with me
sang-ayon ka ba?	 do you agree?
sang-ayon ako	I agree
katwiran	reason
may katwiran siya	he/she has a reason
alamin	find out
alamin mo ang gusto niya	find out what he/she wants

#lesson 70
pwede ba?	is it possible?
pwede ba kitang tawagan?	may I phone you?
pwede ba tayong magkita?	can we meet?
sasama ka ba?	are you coming?
sino ang gustong sumama?	who wants to come along?
saan tayo pupunta?	where are we going?
babalik ka ba?	are you coming back?
handa na ba ang hapunan?	is dinner ready?
alam mo ba ang gagawin?	do you know what to do?
ganito ba?	is it like this?
magkano ito?	how much is this?
mahal ba?	is it expensive?
nabili mo ba?	did you buy it?
maydala ka bang pera?	did you bring some money?
dala mo ba ang cellphone mo?	do you have your cellphone with you?
nakalimutan mo ba?	did you forget it?
nasaan ang susi?	where is the key?
nahanap mo ba?	have you found it?
bakit ka ba ganyan?	why are you acting that way?
naniniwala ka ba sa akin?	do you believe me?
umalis na ba sila?	have they left?
unalis ba siya?	has he/she left?
nakita mo ba siya?	did you see him/her?
bakit ka nagagalit sa akin?	why are you mad at me?
ano ang dahilan?	what is the reason?
bakit naman?	why is it so?
may kailangan ka ba?	do you need anything?
kailan mo kailangan?	when do you need it?
tama ba ako?	am I right?
magtatrabaho ka ba ngayon?	are you working today?
anong oras ka darating?	what time are you coming?
matatagalan ka ba?	will it take you long?
hihintayin ba kita?	shall I wait for you?
hihintayin mo ba ako?	will you wait for me?
yan ba ang gusto mo?	is that what you want?
sinabihan mo ba siya?	did you tell him/her?
