Magandá ka.	You are beautiful.
Magandáng umaga.	Good morning.
Magandá ang babae.	The woman is beautiful.
Magandá rin si Jane.	Jane is also beautiful. / Jane is beautiful, too.
Magandá ang buhay.	Life is beautiful.
Magandá ang asawa ko.	My wife is beautiful.
Magandáng balità itó.	This is good news.
Alín ang mas magandá?	Which is prettier?
Magandá ang araw ngayón!	Today is a good day!
Magandáng umaga rin sa iyó.	Good morning to you too.
Hindî magandá ang damít.	The dress is not beautiful.
Hindî magandá itó.	This is no good.
Oo, may magandáng ideya akó.	Yes, I have a good idea.
Magandáng umaga sa inyóng lahát.	Good morning, everybody.
Hindî lang bastá magandá, matalino pa.	Not just beautiful, but smart too.
Magandáng pagsamahin ang karot at kamatis sa hardín.	Carrots and tomatoes are ideal partners in a garden.
Nakasirà si Gabby sa magandáng imahe ni Sonia.	Gabby spoiled Sonia's good image.
Mahirap madamá ang tuláng hindî magandá ang pagkakasulat.	It's difficult to feel a badly written poem.
Dapat buhayin natin ang mga magandáng asal.	We have to revive the good values.
Magandáng siguruhing ayós ang lahát bago ka bumiyahe.	It's good to ensure that everything is okay before you travel.
Nananatiling magandá si Gloria.	Gloria remains beautiful.
Kailangan mong magpahayág ng magandáng balità.	You need to deliver a good news.
Nag-íisíp akó ng magandáng regalo para kay Susan.	I am thinking of a nice gift for Susan.
Aminado akóng hindî akó magandá.	I admit I'm not beautiful.
Pangalagaan mo ang magandáng imahe ng ating pamilya.	Protect our family's good image.
Púpunuín ng direktór ng mga magagandáng eksena ang pelíkulá.	The director will fill the film with gorgeous scenes.
Nakaharáp mo ba ang magandáng doktór?	Did you meet the beautiful doctor?
Hindî magandá ang pakiramdám niyá matapos magbuhat ng mga upuan.	She didn't feel well after lifting chairs.
Makakapagbigáy siyá ng magandáng dahilán.	She will be able to come up with a good excuse.
Magagandá ang mga babaeng umaawit.	The women who are singing are beautiful.
Magandá ang girlfriend ni Bob. Ang problema lang, maanghít siyá.	Bob's girlfriend is pretty. The only problem is, she smells of B.O.
Hindî magandá ang inaasal mo sa haráp nilá.	The way you carry yourself in front of them is not nice.
Anó bang lugár ang magandáng mapuntahán bukas.	What would be a nice site to visit tomorrow?
Si Alice ay bigláng nagíng tahimik nang mariníg niyá ang magandáng balità.	Alice suddenly became silent when she heard the good news.
Magandang gabi.	Good night!
Magandang gabi.	Good evening.
Maganda ang araw.	It's a nice day.
Iyan ay hindi magandang rason.	That's not a good reason.
Anong magandang oras para sa iyo?	When is a good time for you?
Maganda ang kulay berde kay Alice.	Green looks good on Alice.
Magandang umaga. Oras nang gumising.	Good morning. It's time to wake up.
Salamat sa iyong magandang postkard.	Thank you for your beautiful postcard.
Ipagpatuloy mo ang magandang gawain!	Keep up the good work!
Kung maganda bukas, magpipiknik tayo.	If it is fine tomorrow, we'll go on a picnic.
Ginrit niya ako ng "Magandang umaga."	She greeted me with "Good morning."
Maganda ang panahon nang buong linggo.	The weather has been nice all week.
May nakita akong isang magandang ibon.	I saw a beautiful bird.
Maganda ako kahit ano pang sabihin nila.	I'm beautiful, no matter what they say.
Magandang araw. Ikaw ba si Sherlock Holmes?	Good day. Are you Mr. Sherlock Holmes?
Madaming magandang bagay ang iniwan ng hari.	The king left a large fortune behind.
Maganda sana kung sama-sama tayong nagbiyahe.	It would've been great if we could've traveled together.
Hindi masyadong maganda ang aking pakiramdam.	I wasn't feeling very well.
Ang hindi magandang panahon ay hindi hadlang.	Bad weather is no obstacle.
Sa tingin mo may magandang panahon tayo bukas?	Do you think we'll have good weather tomorrow?
Pagdakang yumumi ang magandang kulay ng langit.	The beautiful color of the sky soon faded away.
Mas maganda ka kay Marika. Maniwala ka sa akin!	You are much more beautiful than Marika. Believe me!
Kahapon, napakinig ko ang isang magandang kanta.	Yesterday I heard a beautiful song.
Isang magandang lawa'y nasa dako paroon ng gubat.	A beautiful lake lay just beyond the forest.
Pagka namumulaklak, maganda ang puno ng milokoton.	The peach tree is beautiful when in flower.
May magagandang arkitektura ang mga dayuhang bansa.	Foreign countries have beautiful architecture.
