Magiging mayaman silá.	They will become rich.
Nagíng bumbero ang pinsan ko.	My cousin became a fireman.
Mahirap magíng magulang.	It's difficult to be a parent.
Si Bob ay magiging doktór.	Bob will become a doctor.
Magiging maayos ka.	You will be OK.
Gustó kong magíng gurò.	I want to be a teacher.
Nagíng asúl ang langit.	The sky became blue.
Nagiging popular siyá.	He is becoming popular. / He is getting popular.
Nagiging masamâ ang panahón.	The weather is getting bad.
Bakit gustó mong magíng nars?	Why do you want to become a nurse?
Nagíng kapitbahay namin silá.	They were once our neighbors.
Mahirap magíng bulág.	It's difficult to go blind.
Pinayuhan akó ni Carrie na magíng maingat sa pagdedesisyón.	Carrie counseled me to weigh my decision carefully.
Si Mon ang tinatarget kong súsunód na magíng nobyo.	I'm targeting Mon as my next boyfriend.
Ayaw kong magíng tauhan lang niyá.	I don't want to be just his subordinate.
Nabuô ang tubig at nagíng yelo.	The water solidified and became ice.
Puwede ba magíng asawa ka?	Will you be my wife?
Natuwâ siyá nang mapag-alamáng magiging amá siyá.	He was happy when he realized that he would be a dad.
Sinisikap mo ba talagá ang magíng mapagkumbabâ?	Are you really striving to be humble?
Ayaw niyáng hangaríng magíng bilyonaryo.	He doesn't want to be a billionaire.
Sinikap kong magíng mapagpasénsiyá.	I made an effort to be patient.
Paano akó magiging miyembro ng PNP?	How can I become a member of PNP?
Pinipilì ko siyáng magíng kagrupo.	I choose him as my groupmate.
Natamó ko ang layunin kong magíng iskolar.	I achieved my goal of becoming a scholar.
Nagíng opisina ang nasunog na sineháng itó.	This burned-out cinema became a store.
Hilíng ni Lisa na sikapin kong magíng mas mapagbigáy.	Lisa's wish is that I strive to be more generous.
Inimbitahán nilá akóng magíng hurado sa patímpalák.	They invited me to be a juror (judge) in a contest.
Paano siyá mag-aapplý para magíng bahagi ng organisasyón?	How will she apply to become a member of the organization?
Makákaharáp ni Nanay ang magiging manugang na babae.	Mom will meet her future daughter-in-law.
Nagíng mahál ang bigás dahil sa nakaraáng bagyó.	Rice became expensive because of the recent typhoon.
Mangángahulugán itó na magiging masayá ka sa hináharáp.	This means that you'll be happy in the future.
Nagíng masamâ siyáng tao dahil sa insidenteng iyón.	He became a bad person because of that incident.
Nagíng tamád na kayó!	You all have become lazy!
Nagíng masayá ang lahát.	Everyone had a great time.
Nagíng diwatà ang matandáng babae.	The old woman became fairy.
Tinátanggáp mo ba si Mary na magíng asawa mo?	Do you take Mary to be your wedded wife?
Tinatrý kong magíng mas mabuting tao.	I tried to be a better person.
Hindî ka úunlád kung hindî ka magiging masipag.	You will not make headway in life if you will not be industrious.
Magíng orihinál ka at hindî bastá gumagaya lang.	Be original and not just an imitator.
Dapat turuan ang mga batang magíng magalang.	Children should be taught to be respectful.
Si Alice ay bigláng nagíng tahimik nang mariníg niyá ang magandáng balità.	Alice suddenly became silent when she heard the good news.
Pagdádaanan mo rin iyán kapág nagíng isáng iná ka na.	You will also experience that when you become a mother.
Noóng una nagkakasagutan lang siná Jack at Jill pero tuluyang nagíng tunay na magkaaway na silá.	Initially Jack and Jill were just habitually arguing but eventually/consequently/in the end they really became enemies.
Maging matapang ka.	Be brave.
Huwag maging sakim.	Don't be greedy.
Naging artista siya.	She became an actress.
Naging mayaman siya.	He became rich.
Naging tamad na kayo!	You are becoming lazy!
Nagiging mahal ang lahat.	Everything is getting expensive.
Magiging mabuti ang lahat.	Everything will be OK.
Naging nigro ka na talaga.	You've really turned black now.
Gusto kong maging mayaman.	I want to be rich.
Naging palaka ang prinsipe.	The prince was changed into a frog.
Nagiging palaka ang butete.	Tadpoles become frogs.
Sila'y naging magkasintahan.	They became lovers.
Siya'y naging mas luku-luko!	He became increasingly demented!
Lumaki siyang naging doktor.	He grew up to be a doctor.
Bakit gusto mong maging nars?	Why do you want to be a nurse?
Gusto kitang maging Einstein.	I want you to be an Einstein.
Naging alila ka na ng mga hayop.	You have been enslaved by those sons of bitches.
Di ba magiging kulimlim sa ulan?	Won't it be dark in the rain?
Kailangan mong maging mas maingat.	You should be more careful.
Gusto kong ako'y maging nasa plano mo.	I want to be in your plan.
Maging maingat sa paggamit ng posporo!	Be careful handling matches!
Di lahat ay gustong maging tagasining.	Not everybody wants to be an artist.
Magtiyaga para maging simple ang lahat.	Strive to simplify everything.
Nais kong maging normal ulit ang lahat.	I want everything to go back to normal.
Maghintay hanggang maging berde ang ilaw.	Wait until the light changes to green.
Naging palaka ang prinsipe dahil sa mahiya.	The prince was turned by magic into a frog.
Tawagan mo ako kung nagiging mapanganib na.	If it gets dangerous, give me a call.
Kailangan mong maging mas maingat sa susunod.	You should be more careful the next time.
Kapag matunaw ang yelo, ito'y magiging tubig.	When ice melts, it becomes water.
Nagdisisyon si Kenji na maging isang kusinero.	Kenji decided to become a cook.
