Naglalarô ang mga batà.	The children are playing.
Naglarô kamí ng basketball noóng Sábado.	We played basketball last Saturday.
Maglarô tayo ng Monopoly.	Let's play Monopoly.
Naglalarô pa kamí.	We're still playing.
Maglalarô kamí ulî ng basketball sa Sábado.	We will be playing basketball again on Saturday.
Tapós na ba kayóng maglarô?	Are you done playing?
Kung umulán man, maglalarô.	Even if it rains, the game will be played.
Inimbitahán kong maglarô ng básketból si Jake.	I invited Jake to play basketball.
Gustó ng mga batà ang maglarô sa parké.	Kids like to play at the park.
Saán kayó naglalarô ng basketball?	Where do you play basketball?
Sino ang mga kasama mong naglalarô ng basketball?	Who are with you playing basketball?
Imbés na maglarô, mag-aral ka!	Instead of playing, study!
Bakit mo hinayaan na maglarô ang mga batà sa putikán?	Why did you let the children play in the mire?
Kung maglalarô kayó, huwág kayóng masyadong maingay.	If you're going to play, don't be too noisy.
Madalî kang makákaramdám ng pagod kapág naglarô ka ng tennis.	You will quickly feel tried if you'd play tennis.
Huwág ka nang maglarô ng tennis ngayón kasí mapapagod ka lang.	Don't play tennis anymore now because it will just tire you out.
Siná Jack at Mary ay naglalarô ng apóy.	Jack ang Mary are in an illicit relationship (playing with fire).
Maglaro kayo ni Tom.	Go play with Tom.
Maglalaro kami ng tenis.	We'll play a tennis match.
Maglalaro kami ng tenis.	We will play a tennis match.
Isip mo bang maglaro kita?	You think to play with me?
Huwag kang maglaro ng apoy.	Don't play with fire.
Gusto naming maglaro ng soccer.	We like playing soccer.
Naglaro siya ng tenis buong araw.	He played tennis all day long.
Gusto kong maglaro ng mga salita.	I like to play with words.
Naglalaro ng manika ang kapatid ko.	My sister is playing with dolls.
Huwag na huwag kayong maglaro sa daan.	Never play on the road.
Wala siyang panahong maglaro ng baraha.	He doesn't have the time to play cards.
Inimbitahan nila akong maglaro ng baraha.	They invited me to play cards.
Mas magaling maglaro ng chess si Tom kaysa sa akin.	Tom plays chess better than me.
Ilang oras nang maglalaro ang mga bata sa dalampasigan.	The children would play for hours on the beach.
Puwede ba akong maglaro pagkatapos basahin itong libro?	Could I go play after reading this book?
Pagkadating niya sa bahay, naglaro siya ng isang laro sa kompyuter.	As soon as he got home, he began to play a computer game.
"Masyadong matanda na ako at malungkot para maglaro," sabi ng bata.	"I am too old and sad to play," said the boy.
