Dapat ba akóng magpanggáp?	Should I pretend?
Kaya kong magpanggáp na mas batà.	I can pretend to be younger.
Magpanggáp kang hindî mo akó kilala.	Pretend you don't know me.
Anó ang nag-úudyók sa iyó na magpanggáp?	What made you pretend?
Nagpanggáp si Jose na siyá si Lem.	Jose impersonated Lem.
Nagpanggáp silá na interesado sa pelíkulá.	They pretended to be interested in the movie.
Nagpanggáp kamíng mga turista.	We pretended to be tourists.
Nagpanggáp akóng walâ akóng alám sa nangyari.	I pretended I had no knowledge of the event.
Nagpápanggáp lang siyáng mabuting tao.	She's just pretending that she's a good person.
Halatáng nagpápanggáp siyáng bobo.	It's obvious that she's pretending to be dumb.
Alám ko kung sino ang nagpápanggáp.	I know who's pretending.
Magpápanggáp siyáng bisita ng pasyente.	He will disguise as a visitor of the patient.
Magpápanggáp siya bilang mayamang negosyante.	He will pretend to be a wealthy businessman.
Magpápanggáp kang nobya ko.	You will pretend to be my girlfriend.
Ikaw ay magpanggap na hindi mo ako kilala.	Just pretend you don't know me.
