Nahihiyâ akó.	I am embarrassed.
Bakit akó mahihiyâ?	Why should I be ashamed?
Huwág kang mahiyâ.	Do 't be shy.
Mahiyâ ka.	You should be ashamed of yourself.
Nahihiyâ akó kapág nagpapa-pícture akó.	I feel embarassed when I have my pictures take.
Gustóng sumali ni Sally pero nahihiyâ siyá.	Sally wants to join but she's shy to ask.
Huwág kang mahiyâng magtanóng.	Don't be shy to ask (a question).
Hindî ka ba nahihiyâ sa ginagawâ mo?	Aren't you ashamed of what you're doing?
Sige na, nahihiyâ ka pa.	Go ahead, no need to be shy.
Mahihiyâ silá sa iyó.	They'll treat you with deference.
Hindi mo kailangang mahiya.	You have no need to be ashamed.
Nahihiya siya sa kanyang pagayon-gayon.	He is ashamed of being idle.
Naging palaka ang prinsipe dahil sa mahiya.	The prince was turned by magic into a frog.
