nagkaroon ng aberya	developed a snag
aberya sa kotse	car trouble
Ang aga nila!	They’re so early!
agad-agad	very quickly
agad-agarin	to do something in a rush
ahas sa damo	snake in the grass (a treacherous person)
Akó ba?	Me?
Akó ang simula.	I am the start.  (It begins with me.)
kó ay tao.	I am a person.
Akong-ako ‘yun.	That is so me.
Huwag mo akong tingnan.	Don’t look at me.
alipin ng pag-ibig	slave of love
Alipinin mo ako.	Make me (your) slave.
ang nakita ni Pedro	what Peter saw
Ang puti!	So white!
anuman ang kailangan mo	whatever you need
maging anuman	no matter what, regardless
asahan	expect
dugo’t pawis	blood and sweat
ang ating bansa	our country
Atin ba ito?	Is this ours?
batang palaaway	child who always gets into fights
mabuting kaibigan, masamang kaaway	good friend, bad enemy
Nag-aaway na naman sila.	They’re fighting again.
Bakit magkaaway ang aso’t pusa?	Why are dogs and cats enemies?
Ayán na naman.	Yet again.
Ayán na naman sila.	There they go again.
Ayán nga ang problema.	So it is… that’s the problem.
áyon sa ulat	according to the report
nakikiayon sa kalikasan	going along with nature
Ayusin mo ito.	Put this in order.
Kumain ka ba?	Did you eat?
Bakit ba?	And why is that?
Masaya ka ba?	Are you happy?
Na-miss mo ba ako?	Did you miss me?
Meron kang pera?	You have money?
Pabagalin mo ang tempo.	Slow down the tempo.
bágay sa iyo ito.	This looks good on you.
Anong bágay dito?	What goes well with this?
bagong taon	new year
bagong gupit	having hair that’s newly cut
bagong salta	newcomer
bagong tayo	newly established
 Bakit kaya?	I wonder why…
Ano ang dahilan?	What is the reason?
Ba’t ka nagreklamo?	Why’d you complain?
ligáw na bala	stray bullet
pambala sa kanyon	cannon fodder (useless person)
sa bansang Tsina	in the country of China
banta ng panganib	threat of danger
May banta sa kanyang buhay.	There’s a threat on his/her life.
Binantaan niya ako.	She/He threatened me.
Magbaon ka.	Bring some provisions with you.
Basâ ang upuan.	The seat is wet.
pilyong batà	bratty child
batang lansangan	homeless child
mabaít na bata	good kid
Paano natin maipababatid ito?	How can we have this be known?
Paano ka magbabayad?	How will you pay?
Walang bayad ito.	This requires no payment. (It’s free.)
Nagbayad na ako.	I’ve paid already.
Pagbabayaran mo ang ginawa mo.	You will pay for what you did.
Wala akong pambayad.	I have nothing to pay with.
Lakas ng Bayan	People’s Power
ang aking mga kababayang Pilipino	my fellow Filipinos
mga kababayan kong Pilipino	my fellow Filipinos
sa aking mga kababayang Pilipino	to my fellow Filipinos
karunungang bayan	folk wisdom
ang bayang api	the oppressed country
makabayang Pilipino	patriotic Filipino
mga maling baybay	wrong spellings
Ibibigay ko ito sa kanila.	I’ll give this to them.
Ibigay mo ito sa kanila.	Give this to them.
Bigyan mo ako ng pera.	Give me money.
Bibigyan kita ng pagkain.	I’ll give you food.
Magkano ang ibinigay mo?	How much did you give?
Binigyan ko sila ng sampung piso.	I gave them ten pesos.
Magbigayan kayo.	Share with each other.
Bigay-todo si Ana sa paglalaro.	Ana’s giving her all playing.
Bigyan mo ako ng isa pang pagkakataon.	Give me one more chance / opportunity.
Bigyan mo ako.	Give me (some).
Bigyan mo ako ng isa.	Give me one.
Bigyan mo sila.	Give them (some).
Bigyan mo sila ng dalawa.	Give them two.
bílang tresurero	as treasurer
bilang gamot	as medicine
May bukas pa.	There’s still tomorrow.
Bukás ang bintana.	The window is open.
Baka bukás ang pinto.	Maybe the door is open.
bulók na ngipin	rotten teeth
bulók na gobyerno	corrupt government
Nabulok sa sulok.	Decayed in the corner.
Bumusina ang kotse.	The car honked.
Businahan mo.	Honk your car horn at (it / him / her).
Huwag mo akong businahan.	Don’t honk your car horn at me.
isang daán	one hundred
mga karapatan sa dagat	maritime rights
Ano ang dagat?	What is the sea?
May dagdág.	Has something extra.
Dagdág Kaalaman	Additional Information
Magkano ang dagdág?	How much is the added price?
Dagdagan mo pa.	Add more.
Dagdagan mo ng tubig.	Add water.
Dinagdagan ko ng asin.	I added salt.
Ang kasalungat ng salitang dagdág ay bawas.	The opposite of the word increase is decrease.
Anong dalá mo?	What do you have with you?
Anong dinala mo?	What did you bring?
Anong dala-dala mo?	What are you carrying?
Dinala mo ba ang pera?	Did you bring the money?
May dalá ka ba?	Do you have something with you?
pinakamadalas marinig	most often heard
pinakamadalas marinig mula sa mga kaibigan	most often heard from friends
dalás	frequency
madalás	frequently
dumalas	to become frequent
pinakamadalas	most often
pinakamadalas marinig	most often heard
pinakamadalas marinig mula sa mga kaibigan	most often heard from friends
daló	presence
dumaló	to attend
daluhán	to attend
dinaluhan	attended
dami	amount, quantity; lots
danak	spilling (of blood) 
dumanak	to flow; pour out
Dumanak ang kanilang dugo sa lansangan.	Their blood flowed in the streets.
Ang kanilang dugo ay dumanak nang walang kabuluhan.	Their blood flowed senselessly.
Dadanak ang dugo dito.	Blood will spill here. / There will be blood here.
karamihan	most, the majority
dumami	to increase in number
dáti	former, previous, old, ex
Bumalik sa dati.	Returned to what it was before.
Dati akala ko…	I used to think…
isang taong dati kong minahal	a person that I used to love
datihan	used to, accustomed
dati-rati	formerly, previously
parati	always (rt. dáti)
si dating Pangulong Aquino	ex-President Aquino
datíng	arrival

