(ma)sagwa^	obscene, vulgar, immodest, indecent
aberya	(sp) damage, breakdown, malfunction, literal and figurative
abot	reach
abutan	to pass to
agad	immediately, at once, quickly
agad	at once, immediately
agAd/kaagAd	at once, immediately
agad-agad	very quickly
agad-agarin	to do something in a rush
agahan	breakfast
agaw-dilim	“snatching darkness” = twilight
ahas	snake
akó	I, me
akong-ako	"so me" (eg, akong-ako 'yun)
alagad	follower
alás	ace (cards)
alay	an offer; victim
alin	which
alinman	anything
alipin	slave
alipinin	to enslave
alisin	remove something
alma'	tantrum, fit of anger
ambo(y)	american man
amin	our, ours (not including the person being spoken to)
anák	someone’s child
andami	"ang dami" - so much/many
Ano?	What?
Anong	short for Ano ang.
anuman	whatever, root word: ano + man
anuman	whatever, whatsoever
apaw	overflow
aralin	studies
asahan	expect, root word: asa
at	and  Can be shortened to ‘t.
atin	our, ours (including the person being spoken to)
atsaka/tsaka	slangy way of saying “and” or “as well as”. at + saka
away	fight, quarrel, dispute
away	a quarrel/dispute
Ayán.	There!
áyon	in agreement
ayon	in agreement
ayon	parallel to, in agreement with; to agree, conform, go along with
áyos	order, arrangement
ayos	order
Ayos!	Good! OK!
aywan	ignorance, denial of knowledge
bá·on	provisions, packed lunch or snack
bagal	slowness (synonyms: hinay, kupad, kakuparan, kuyad)
bagal	sloth, tardiness, delay
bagal	slow, sluggish
bagalan	to make slower
bagalan	slow down
bágay	appropriate, fitting, goes well with another item
bagay	matter, item, article
bágay	thing, object
bagay	thing/object; proper, becoming; to suit/conform
bagay-bagay	various things
bagong…	new… root word: bago
bagong-bago	very new
bagsak	decline
bagsak	sudden fall or crash - giba, wasak, walat, guho; lagpak, hulog; lugi
bagsak	to fail in school
bahagi	part, fraction, segment (parte, piraso, elemento, salik, sangkap)
bahagi	a fraction, less than whole
bahagi	part, member, fragment
bahagi	part, piece, portion
bahagiin	to partition, parcel out, portion out
bahaginan	to share a portion with someone, to give
bahay-bahayan	a playhouse, or playing house
bakA	probably, maybe
Bakit?	Why?
bala	bullet
bala-balahan	blank cartridge
balahura`	dirty or shameless
balat	skin
balatan	to peel
bansâ	nation, state, country
bansa	nation
banta	threat
banta	threat
bantay	guarding/watching
baón	to bury
baon	provision; burying
bása	read (verb)
basâ	wet (adjective)
basa	read(ing)
basa	to read; wet
basa^	wet
baso	drinking glass
batà	a child, young. also flunky or employee
bata	child; immature; enduring/suffering
batang-bata	very young
batAs	law
batay	based on, by, with
batíd	known, aware of (slightly formal)
batid	known
bawal	forbidden/prohibited
bawa't	each
bayad	pay, payment also kompensasyon; suweldo, sahod; ganti
bayad	payment; fare
bayan	town, country, the people, the populace, the population, or the nation.
bayan	homeland
baybay	spelling
baybay	spelling.  also edge, border, coast
baybay	seashore
baybayin	to enumerate, also the ancient script used in the Philippines before the arrival of the Spaniards.
bida	lead character in a play/film, etc.
bigay	to give
bigay	giving
bigAy	giving, gift
bigay-alam	notice
bigay-hilig	indulgence
bigay-kaya	dowry
bigay-sala	accusation
bigay-todo	giving one’s all
bigyan	give to
bigyAn	to give, offer
bihira`	seldom
bílang	number; as
bilang	number
bilang	number; as X
bilAng	numbered (as in "your days are numbered")
bilihin	goods to buy
binibini	unmarried woman
bobo!	stupid!
buhok	hair
bukás	open (adjective)
búkas	tomorrow (adverb)
bukid	field
bulók	rotten
bulok	rotten, decayed
bumagsak	to fall; to fail
bumilang	to count
bundok	mountain
buo	complete/to complete
buo	whole, entire
buwisit	annoying, nuisance
daán	hundred
daan	hundred; road/street
dadaan	to pass, will pass by
dagat	ocean, sea
dagdág	extension, increase, addition
dagdag	increase, suplement, add (mag: i: an)
dalá	carried, brought
dala	a load; carry/bring/take away (mag: in)
dalA	carried, brought
dalâ	to be wary
dalás	frequency
dalas	frequency
dalhAn	to bring
dalhIn	to carry, bring, deliver
daló	help (tulong, damay, saklolo, sokoro)
daló	presence
dalo	attending an affair, meeting, or party (um: an)
daluhán	to attend
dami	amount, quantity
dami	lots
dami	amount, quantity
dami	amount; plenty, many (marami)
danak	spilling (of blood)
dáti	former, previous, old, ex
dati	former, previous
datihan	used to, accustomed
datíng	arrival
datIng	arrival
dating	arrival, coming (um: an)
dati-rati	formerly, previously
datnAn	to visit
datnIn	to reach
dilim	darkness
dinaluhan	attended
dinIg	audible
diyan	there (near person addressed)
diyan	there, near the person you’re talking to
doon	there, away from speaker and listener
dukot	to pull something out; kidnap, abduction
dukutin	abducted, kidnapped
dulot	offer, offering (alay, handog, bigay)
dulot	mix of offer/cause/create/bring about
dulot	offering
dulutan	to offer
dumaan	to pass by, drop by (magdaan; idaan)
dumalas	to become frequent
dumaló	to attend
dumami	to increase in number
dumami	to increase in amount/number
dumanak	to flow; pour out; poured out, dripped
dumating	arrived, came
dumating	to arrive, come
dumating	to come/approach, arrive
dumilim	to become dark
dumiyan	to stay there
dunong	knowledge, wisdom
gaAn	lightness (in weight)
gaanAn	to lighten, simplify
gaano	how much (quantity)
gaano	how much
gahasa	rape (used to mean general assault as well)
gahasa		rape (-in)
gáling	from (syn. mula)
galíng	merit, skillfulness, proficiency
gamit	use
gamít	used
gamit	use (n)
gamIt	use (n), utilization
gamit	useable things
gamIt	used
gamitin	to use
gamitin	to use something
gamItin	to use, apply
gamot	medicine
gamot	medicine
ganáp	complete(ly), perfect, total, thorough, fully, entirely
ganap	complete, fulfilled, completed, exact
ganapín	fulfill, perform, carry out, accomplish
ganito	like this
gawa^	an act, action, work, deed, play, task, duty
gawain	task, employment, assignment, undertaking
gawIn	to do (perform, act, make)
ginahasa	was raped
ginang	Mrs, matron, madam (abbrev. Gng)
ginawan	made for
ginoo	unmarried man
gitna	middle, center
gitna	middle, center
gulo	riot, trouble, disorder, confusion
gulong	wheel / to roll
gulong	wheel; to roll
gumaling	to get better from a sickness
gumanap	to perform, act
haba	length
habang	during, while, as long as
habang	while, during, throughout
habang-panahOn	forever ("during time")
habi`/humabi	move aside, get out of the way
halal	electing, nominating (mag: i)
halata^	obvious, noticeable, apparent, visible
halikan	to kiss someone/something
halimbawa	example
hanap	search (um: in)
handa^	ready, prepared
hangganan	a boundary
hanggAng	until, up to
hapunan	dinner
hapunan	dinner
harap	front
harapin	to face
haya^	tolerating
hayaAn	there!/done!
hayaAn	to let be / leave alone
hayo	go ahead
hayOn	there it is
hayOng	there it is
heto	here it is
heto	here it is
hidwaan	disagreement
higit	more, excessive
hinala	suspicion (mag: in)
hirAp	poor, suffering, tired
hugas	washing
hugasan	to wash
huli	to catch, chase, arrest (um: mang: in); something caught
hulog	falling, dropping (mag: i); to fail; installment, deposit
humarap	to face
humati	to share, to take a part of
humigop	to sip
iba	other, another, different, else
iba	other, another, different; (mag: in) to switch, change
ibahin	to make something different, alter, revise
ibatay	to base on
ibatay	to base on something (as a story, etc.)
ibA't-ibA	varied, various
ibig	want, like, wish; beau, suitor
ibigay	to give, offer
ibig-sabihin	to mean
ibinagsak	to drop something
ibinahagi	shared
ibinatay	based (it) on
idinulot	offered
ika-anim	6th
ikaapat	4th
ikaiba	to differentiate
ikalimampu't-isa	51st
ikasandaan	100th
ilabAs	to take out
ilagay	to put something
ilan	how many
ilan	how many; some/several
ilan	some, several, a few; how many?
ilong	nose
impormasyon.	information
ina	mother
inahas	to be infested with snakes = to be attacked by a snake
ingat!	take care!
inggAn	to listen to
Inglatera	England
inis	annoyance, disgust, exasperation
inyo	you, yours (plural/formal)
ipabatid	inform
ipadalA	to send, deliver
ipagbigay-alam	to give notice
ipagdalA	to carry for someone
ipinabatid	informed, let known
isa-isa	one at a time
isip	mind, intellec, thought, judgement
isipin	to think about, consider
itanong	to ask someone
itapon	to throw something
itim	blackness
