gulong	wheel / to roll
mungkahi	suggestion
papaya`	tranquil, peaceful
kapayapaan	tranquility
sara'	closed, blocked
alma'	tantrum, fit of anger
puwesto	position, employment, place
pumila	to line up
kahit	although/despite, from
baso	drinking glass
kalusagan	health
salpok	collision
sanggol	baby
kambal	twin
apaw	overflow
bida	lead character in a play/film, etc.
kasado	ready to fire/go, placed a bet
itinatayo	being raised/built
dulot	mix of offer/cause/create/bring about
pagtatayo	raising, as of building
lasog	pulled apart
maiwan	leave behind, abandon
bahagi	part, member, fragment
sulong	advance; advanced
lingkOd	servant
takot	fear
alagad	follower
agAd/kaagAd	at once, immediately
tulad	similar/same
tapAt	honest, sincere
buwisit	annoying, nuisance
loOb	inside/within/interior; will, disposition
kakilala	acquaintance
sarili	self
kulang	insufficient
panukala	proposal, plan
buo	complete/to complete
tampok	featured, center of attraction
batAs	law
batid	known
tibay	strength, lasting quality
alay	an offer; victim
mainim!	nice!/cool!/sounds great!
usap	talk, converse
bakA	probably, maybe
marahIl	maybe, possibly
malamAng	likely
tiyAk	certainly, for sure
yatA	perhaps
nguni/nguni't	but, on the other hand
habi`/humabi	move aside, get out of the way
kaululan	bullshit (rt. ulul)
kalokohan	silly/nonsense
sumagwa^	act obscenely
(ma)sagwa^	obscene, vulgar, immodest, indecent
pagwikaan	to insult with words
yugyugan	dance party
balahura`	dirty or shameless
maldita	brat
mamalo`	beat or hit someone (rt. palo)
nakU	oh wow/my/no!
nognOg	dark person
bawal	forbidden/prohibited
ambo(y)	american man
konya	spoiled rich woman
puti^	white
prondi/fromdi	provincial hick
syanalo	provincial hick
pangit	ugly
alin	which
nasa	in/at/on
nasA	wish/desire
maingay	noisy
tulOg	asleep
tulog	to sleep
malakAs	loud/strong
lakAs	strength, loudness
puwede	possible
nga`	emphatic - please, so, really, truly, in fact, as I said
pareho	the same
pantay	equal
mahirap	difficult
hirAp	poor, suffering, tired
bagal	sloth, tardiness, delay
mabagal	slow
kaysa	than, rather than
labis	excessive, too much
pare	friend, bud
mabilis	quick
nito	ng + ito (of this)
pinakakaunti	the smallest amount
ulitin	to repeat
maliit	small, insignificant
agahan	breakfast
hapunan	dinner
mabait	kind
mapagbigay	generous
kaibigan	friend
nasaan	where (when no verbs)
saan	where (when verb is present)
ilan	how many
magkano	how much $
