Nanoód siyá ng palabás.	He watched a show.
Nanoód silá ng boxing nung Linggó.	They watched a boxing match last Sunday.
Manónoód ka ba o hindî?	Are you going to watch or not?
Gustó mo bang manoód ng sine?	Would you like to watch a movie?
Manoód ka lang.	Just watch. / Just watch me.
Kailán tayo manónoód ng sine?	When are we going to watch a movie?
Iláng oras ka nanónoód ng TV gabi-gabí?	How many hours do you spend watching TV every night?
Tuwíng nanónoód ng sine si Peter nákakatulog siyá.	Every time Peter watches a movie he falls asleep.
Hindî tayo matútulóy manoód ng sine bukas.	We won't be able to go and watch a movie tomorrow.
Tinátamád akóng manoód ng sine ngayón.	I don't feel like watching a movie today.
Marami ang pumipila para manoód ng sine.	Many are standing in line to watch a movie.
Nanoód kamí ni Bob ng sine kanina lang.	Bob and I watched a movie just earlier today.
Inintindí ko muna ang paglulutò bago akó nanoód ng TV.	I attended to my cooking first before I watched the TV.
Sino ang kasama ni Alice na nanoód ng circus?	Who did Alice go with to watch the circus?
Anó ang ginawâ mo habang nanónoód kamí ng TV?	What did you do while we were watching TV?
Magbábasá na lang akó kaysa manoód ng TV.	I'd rather read than watch TV.
Gustó ng batang tumátabí sa tatay niyá kapág nanónoód silá ng TV.	The child likes to sit beside his dad when they're watching TV.
Saan ka nanuod ng telebisyon?	Where do you watch television?
Palaging nanonood ng TV si Tom.	Tom is always watching TV.
Pagkatapos manuod ng tibi, natulog na ako.	After I watched TV, I went to bed.
Ako ay nanood ng TV nang dalawang oras kahapon.	I watched TV for two hours yesterday.
Nanuod ako ng balita sa telebisyon pagkatapos ng hapunan.	I watched the news on TV after supper.
Sa tingin ko ang dahilan kung bakit napakagaling ni Tom sa Pranses ay dahil nanonood siya ng maraming palabas sa wikang Pranses.	I think the reason Tom is so good at French is that he watches a lot of French movies.
