mapágmapágbigáy
mapágbirô
mapágmalakí
mapágmataás
mapágpasénsiya
mapágkunwari fake
mapághigantí	vengeful
mapágmahál	loving
mapágpatáwad	forgiving
mapágpakúmbabá	modest/humble
mapágmalasákit	compassionate
mapágpanggáp	pretentious
mapágbintáng	accusatory
mapáglarô	playful
mapágsamantalá	opportunistic/exploitative
mapágpasalámat	grateful
mapágmasíd	observant
mapágmatyág	watchful/vigilant
mapágkalínga	caring, nurturing
mapágkakatiwaláan	trustworthy
mapághinála	suspicious, skeptical
mapághangád	covetous
mapágmalabís	overbearing, abusive
mapágtimpí	restrained, able to control oneself
mapágpaubáya	tolerant, yielding
mapág-imbót	greedy, covetous (imbot is not a common word)
