Marami ang bulaklák.	There are many flowers.
Maraming salamat.	Thank you very much! / Many thanks! (expression)
Marami ang kaibigan ni Jose.	Jose has many friends.
Marami akóng natutuhan.	I learned a lot.
Maraming makikita sa palengke.	There is a lot to see at the market.
Marami siláng pagkain na nátirá.	They have so many leftovers.
Naíiyák ang marami sa libíng.	Many are getting teary-eyed at the burial.
Marami ang nasawî sa pagguhò ng lupà.	Many were killed in the landslide.
Maraming nanliligaw kay Maria.	Many are courting Maria.
Marami siláng nasásamsám na iligál na produkto.	They confiscate a lot of illegal products.
Marami akóng problema at saíd na akó.	I have many problems and I'm spread so thin right now.
Nagpapagawâ siyá ng maraming kopya ng Bíbliyá.	She has many copies made of the Bible.
Batà ka pa at marami ka pang maeexpérience.	You're still young and you'll have more to experience.
Marami pang ibáng simbahan ang kasalukuyang itinatayô.	Several other churches are in the process of being built.
Hindî ko alám na marami ka paláng nunál sa iyóng leég.	I didn't know you had a lot of moles on your neck.
Maraming mámamayán ang ayaw sa kasalukuyang pangulo.	Many people don't like the current president.
Maraming wikà ang nanganganib na maglahò.	Many languages are endangered.
Inaasahang marami ang dadayò sa South Korea sa 2020.	It's expected that many will migrate to South Korea in 2020.
Marami ang namatáy dahil sa lindól at sa sunog na kasunód nitó.	Many people died because of the earthquake and the fire that followed it.
Marami ka na bang mga bansáng naráratíng?	Have you already been to many countries?
Marami ang nasabík nang umere ang "Starla."	Many were thrilled when "Starla" aired.
Maraming umaangal sa bagong pátakarán.	Many are grumbling about the new regulation.
Nadídiskubré ng marami na hindî lahát ng kaibigan nilá ay mabuti.	Many people discover that not all of their friends are good.
Maraming preso sa bilibid ang tinamaan ng Covid-19.	Many prisoners in bilibid were hit by Covid-19.
Marami nang nadiskubré ang mga siyentista tungkól sa uniberso.	Scientists have revealed much about the universe
Marami ang dumaratíng at yumayao.	Many come and go.
Maraming kaibigan ang mga taong nananatiling masayá.	Those who stay happy have many friends.
Maraming positibo sa COVID-19 sa baranggáy namin.	There are many COVID-19 positive in our village.
Bakit marami ang tumatayâ sa lotto?	Why do many people bet on the lottery?
Maraming tao ang malubháng nasúsugatan dahil sa mga aksidente sa sasakyán.	Many people sustain serious injuries as a result of car accidents.
Marami ang matutuwâ kapág isinulong ang programa.	Many people will be happy if the program pushes through.
Maraming kabataan ang nasasawî dahil sa alak.	Many young people die because of alcohol.
Maaaring magdulot ang pera ng maraming kagalakan.	Money can bring many joys.
Bakit hindî nakakaipon ang maraming OFW?	Why are many OFWs not able to save?
Marami siláng naiuuwíng isdâ.	They're able to bring home lots of fish.
Maraming dahon ang bumábagsák galing sa mga punò.	Many leaves are falling from the trees.
Marami kamíng nahuhuling isdâ sa ilog.	We are able to catch a lot of fish in the river.
Maraming sakít ang naiuuwî ng mga bakasyunista muláng Asya.	Vacationers from Asia bring back many diseases.
Nahaharáp si Ester sa maraming gawain sa trabaho.	Ester faces many tasks at work.
Marami pong salamat sa tulong ninyó.	Much thanks for your help, sir/ma'am.
Maraming bahay ang nabaón sa lupà nang gumuhò ang bahagi ng bundók.	Many houses were buried when a part of the mountain collapsed.
Maraming beses siyáng ikinulóng sa bartolina.	He was sent to the dungeon many times.
Maraming mámamayán ang magpápahayág ng katulad na damdamin.	Many citizens will express similar sentiments.
Sumúsulpót ang mas maraming katanungan.	More questions are coming.
Marami akóng napatáy na lamók sa hardín.	I was able to kill a lot of mosquitoes in the garden.
Marami akóng natútuklasán tungkól sa iyó.	I am discovering a lot about you.
Maraming aktibista ang pinatáy noóng rehiméng Marcos.	Many activists were killed during the Marcos regime.
Maraming Tsino ang nanínirahan sa Binondo.	There are many Chinese living in Binondo.
Maraming nagsesénd sa kaniyá ng mga masakít na salitâ.	Many people send him hurtful words.
Marami ang nakadamá ng pagkainís nang maipit sa trapik.	Many were annoyed when they got stuck in traffic.
Marami akóng nami-meét sa Facebook.	I meet a lot of people on Facebook.
Maraming naitulong si Kardo sa mga lumikas.	Kardo did much to help the evacuees.
Bakit maraming nagpapa-pícture sa akin?	Why do so many people have their pictures taken with me?
Marami ang hindî natátanggáp sa Harvard.	Many are denied admission to Harvard.
Maraming hirap ang pinagdaanan ni Juliet sa buhay.	Juliet went through a lot of hardships in life.
Marami ang nadadamay sa kalokohan mo.	Many are dragged into your antics.
Marami ang pumipila para manoód ng sine.	Many are standing in line to watch a movie.
Marami ang nagkakatrabaho dahil sa nepotismo.	Many people land a job because of nepotism.
Nagkaroón silá ng maraming anák.	They had a number of children.
Marami ang nagréreklamo tungkól sa bagong pátakarán sa opisina namin.	Many are complaining about the new policy in our office.
Maúuná na akó at marami pa akóng kailangang gawín sa bahay.	I'll go ahead as I still need to do a lot of things at home.
Maraming nalalaman si Victor tungkól sa mga nangyari.	Victor is well-informed about what have transpired.
Marami ang natatawag pero kauntî ang napipilì.	Many are called, but few are chosen.
Marami ka ba kung maglagáy ng asín sa pagkain mo?	Do you put a lot of salt in your food?
Nagugulat ang marami kapág nalalaman nilá ang nangyari kay Tom.	Many are shocked when they learn about what happened to Tom.
Siguradong líligawan siyá ng marami kasí ang gandá niyá.	I'm sure many would court her because she's very pretty.
Maraming bumagsák sa exam, kabilang ka.	Many failed the exam, including you.
Maraming taón ang lumipas bago kamí nagkita ulî ni Maria.	Many years have passed before Maria and I saw each other again.
Marami silá pero hindî namán silá aabot sa limampû.	There are many of them but (anyway) they won't reach fifty.
Marami akóng hindî nasagót na tanóng sa exam.	There were a lot of questions that I was not able to answer in the exam.
Mas maraming pang mamámatáy kapág tumulóy ang giyera.	More people would die should the war continue.
Mas marami bang bumoto kay Mary kaysa kay Peter?	Were there more who voted for Mary than for Peter?
Huwág mo akóng ináasár kapág marami akóng ginagawâ.	Don't tease me when I'm busy.
Marami ang nagtátaká tungkól sa inyó ni Jane.	Many are wondering about what's going on between you and Jane.
Marami kang sinayang na mga pagkakátaón.	You let so many opportunities pass you by.
Siguro marami ang magréreklamo kapág tumaás ulî ang presyo ng gasolina.	Maybe many would complain when the price of gasoline goes up again.
Marami nang babaeng nabúbuntís si Jack pero walâ siyáng pinápakasalán sa kanilá.	Jack had gotten many women pregnant but he has not married any of them.
Marami na akóng napuntaháng (mga) lugár sa Pilipinas.	I have already been to a lot of places in the Philippines.
Marami ang nagkákasakít kapág malamíg ang panahón.	Many get sick when the weather is cold.
Maraming nagtátanóng kay John kung may asawa na siyá.	Many have been asking John if he's already married.
Mukháng marami kang problemang hináharáp ngayón.	It seems that you are faced with a lot of problems now.
Naníniwalà ang marami na babangon ang mga patáy sa katapusán ng mundó.	Many believe that the dead will rise at the end of the world.
