Marunong siyá.	He is intelligent.
Marunong kumantá si John.	John knows how to sing.
Marunong siyáng maglutò.	He knows how to cook.
Marunong ka bang mag-golf?	Do you know how to play golf?
Marunong siyáng gumantí ng utang na loób.	He knows how to repay his debt of gratitude.
Marunong ka bang maglutò ng adobo?	Do you know how to cook adobo?
Marunong ka bang tumugtóg ng cello?	Do you know how to play the cello?
Marunong ka bang gumamit ng dishwasher?	Do you know how to use a dishwasher?
Marunong ka bang mag-Tagalog?	Do you know how to speak Tagalog?
Marunong ba siláng magsalitâ ng Tagalog?	Do they know how to speak Tagalog?
Hindî siyá marunong humawak ng pera.	She doesn't know how to handle her finances well.
Marunong ka bang mangabayo?	Can you ride a horse?
Ilang wika ang marunong ka?	How many languages do you speak?
Marunong ka bang mag-Ingles?	Do you speak English?
Marunong ka bang magmahjong?	Do you know how to play mahjong?
Marunong ka bang mag-Mandarin?	Can you speak Mandarin?
Marunong ba kayong mag-Ingles?	Do you speak English?
Marunong siya ng konting Ingles.	He can speak a little English.
Talagang marunong siyang magluto.	He really knows how to cook.
Meron ba ditong marunong ng Hapon?	Does someone here speak Japanese?
Marunong kang magmaneho ng sasakyan?	Can you drive a car?
Di ako marunong magsalita ng Kwenya.	I don't speak Quenya.
Hindi siya masyadong marunong magluto.	She can't cook well.
Hindi siya marunong magmaneho ng kotse.	She can't drive a car.
Di marunong si Tomas magtali ng kurbata.	Tom doesn't know how to tie a tie.
Hindi siya marunong masyadong mag-ingles.	He doesn't speak English very well.
Marunong ka bang gumawa ng mga plaskards?	Do you know how to create flashcards?
Ngayon ay mas matanda at marunong na siya.	He is older and wiser now.
May marunong ba ditong magmaneho ng kotse?	Is there anybody who can drive a car?
Di masyadong marunong magpranses si Tomas.	Tom couldn't speak French well.
Sa tingin mo marunong mangastila si Obama?	Do you think Obama can speak Spanish?
Marunong ka ring magsalita ng wikang Pranses?	Can you speak French, too?
Hindi siya marunong magmaneho ng isang kotse.	She doesn't know how to drive a car.
Alam mo bang hindi marunong magmaneho si Tom?	Did you know Tom couldn't drive?
Marunong siyang mag-ingles, at mag-Pranses din.	He can speak English, and French as well.
Marunong ka bang magbilang hanggang sampu sa Intsik?	Can you count to ten in Chinese?
Mas maraming Budista sa Aleman ngayon kaysa sa mga taong marunong gumawa ng tsokolateng keyk.	There are more Buddhists in Germany today than people who know how to make a good chocolate cake.
Sabi ni Goethe, "Ang sinumang di marunong ng wikang dayuhan ay di rin alam ang sariling wika."	Goethe claimed, "one who cannot speak foreign languages does not know one's own language either".
