stop it	itigil mo yan
I made a mistake	nakagawa ako ng kasalanan
I don't trust you	wala akong tiwala sa iyo
get out of here	umalis ka dito
speak up	magsalita ka
how dare you	ang kapal mo naman
I'm not afraid of anyone	wala akong kinatatakutan
study it	par-aralan mo kasi
I don't want to know	ayaw kong malaman
I can't deal with (handle) it	hindi ko makakaya ito
shame on you	nakakahiya ka naman
so what?	ano ngayon?
I'm disappointed about what you did	nawalan ako nga gana sa ginawa mo
you have wasted everyone's time	nasayang mo ang oras ng lahat
I don't like you	hindi kita gusto
I can't handle it	hindi ko na makakaya ito
shame on you	nakakahiya ka naman
what now??	ano ngayon??
I'm disappointed in what you did	nawalan ako nga gana sa ginawa mo
you have wasted everone's time	nasayang mo ang oras ng lahat
what a fool I am	ang tanga ko
stay back.  don't come any closer	dyan ka lang.  huwag kang lalapit
I don't like it here anymore	ayoko na dito
listen!	makinig!
did something happen?	may nangyari ba?
shut up!	manahimik!
what are you talking about?	ano bang pinagsasabi mo?
I don't want to see you again	ayaw na kitang makitang muli
how did this happen?	paano nangyari ito?
sit quietly	umupo ka ng tahimik
don't do it/that	huwag gawin yan
that's wrong!	mali yan!
I give up!	suko na ako!
I don't need you	hindi kita kailangan
long time no see	ang tagal natin di nagkita
what's new?	ano bang atin?
nothing new	walang pagbabago
have a good trip	maligayang pagkalakbAy
do you speak english?	marunong ka bang mag-ingles?
you're very kind	ang bait mo naman
can I practice with you?	pwede bang magpraktis kasama mo?
how old are you?	ilang taong gulang ka na ba?
i have to go	kailangan kong umalis
I'll be right back	babalik rin ako agad
do you like it?	nagustuhan mo ba?
I'm just kidding	nagbIbiro lang ako
I'm hungry	nagugUtom ako
I'm thirsty	nauuhaw ako
don't put them away	huwag mo muna itabi/iligpit ang mga iyan
oh crap!	lagot!
we need to find a way	kailangan makagawa tayo ng paraan
there he is	ayan na siya
how do you make up?	paano ka babAwi?
I'm sick of this	nakakapagod/nakakasawa na talaga
I have done lots of stuff	marami na akong nagawa/naasikaso
you don't have to	nag-abala ka pa
I won't say a word, I promise	hindi ako magsasalita, pangako yan
it is what it is	ganyan lang talaga
get over here	halika nga dito
what's hurting (on you)?	saan ang masakit sayo?
this might work	baka pwede na ito
we have to be patient	kailangan natin na maging matiyaga
let's help those in need	tulungan natin ang mga nangangailangan
let us find a way	humanap tayo ng paraan
we need to talk	kailangan nating mag-usap
talk to them	kausapin mo sila
let's go to them	pumunta tayo sa kanila
we have already talked	nag-usap na kami
he will probably come	malamang darating siya
hopefully we can agree	sana magkasundo tayo
I agree with you	sang-ayon ako sayo
you have a good idea	maganda ang idea mo
continue what you're doing	ipagpatuloy mo ang ginagawa mo
we can do it	magagawa natin ito
please tell them I'm leaving	pakisabi sa kanila na aalis na ako
I heard	narinig ko
that's not how I see it	hindi ako sang-ayon diyan
what was that again?	ano ba uli yung sinabi mo?
how shall I put it?	paano ko ba sasabihin ito?
that explains it!	kaya naman pala!

