Mulíng kumantá si Maria.	Maria sang again.
Hanggáng sa mulî.	Until next time. / Until we meet again. (expression)
Dinukot si Ping, at hindî na siyá nakitang mulî.	Ping was kidnapped, never to be seen again.
Búbuuín niláng mulî ang kaniláng relasyón sa Amérika.	They will rebuild their relationship in America.
Walâ ka na bang intensyón na mag-asawa mulî?	Don't you have any intention to get married again?
Sisikat na mulî ang araw kasí tumigil na ang ulán.	The sun will shine again because the rain has already stopped.
Nakákabawì at mulî na namán akóng gumíginhawa.	I'm recovering and getting comfortable again.
Tátawagan kitáng mulî.	I will call you again.
Sino ang mapápabilang sa mulíng pagkabuhay?	Who will be included in the resurrection?
Kasalukuyang bumabawì ang bayan nang mulíng bumagyó.	The town was still recovering when a typhoon struck again.
Magkita tayong mulî.	See you later. / Let's see each other again.
