# with negative imperatives and hortatives, "yet":
Huwag ka munang kumain.	Don't eat yet.
Huwag muna tayong umalis.	Let's not leave yet.

Iisipin ko muna.	I will think about it first.
Ikáw muna bago si James.	You first before James.
Magpahingá ka muna.	Take a rest first.
Maghintáy ka muna diyán.	You wait there first.
Sabihin mo muna, mahál mo akó.	First, say that you love me.
Huwág ka munang tumayô.	Don't stand up yet.
Huwág mo munang itatapon itó.	Don't throw this away yet.
Hahaluin ko muna ang tsaá bago ko itó inumín.	I will stir the tea first before I drink it.
Puwede bang ikáw muna ang magbayad para sa akin?	Could you pay for me first?
Upô muna kayó.	Please have a seat. (polite)
Akó muna ang kinausap niyá.	He talked to me first.
Kumain muna silá bago silá umalís.	They ate first before they left.
Sabihin mo muna na mahál mo akó.	Say first that you love me.
Huwág ka munang matulog.	Don't sleep first / yet.
Teka muna. Hindî pa akó pumapayag.	Wait a minute. I have not agreed yet.
Puwede bang tumayô ka muna?	Can you stand up for a moment?
Humigâ ka muna at magpahingá.	Lie down for the meantime and rest.
Magstáy ka muna kiná Tita Bella mo.	Stay at your Tita Bella's house first.
Magpapa-pícture muna akó bago umuwî.	I will have my picture taken first before going home.
Itó muna ang atupagin mo bago iyán.	Take care of this first before that one.
Huwág ka munang pumikít.	Don't close your eyes yet.
Basaín mo muna bago mo punasan.	Wet it first before you wipe it off.
Maupô muna tayo.	Let's sit down first.
Itabí mo muna ang ginagawâ mo.	Put aside what you're doing for the meantime.
Si Homer muna ang mamumunò habang nasa bakasyón ang tagapangulo.	Homer will take the lead while the chair is on vacation.
Pahirám muna at ibábalík ko agád.	Please lend it to me first and I'll give it right back.
Ikasá mo muna ang baríl.	Cock the gun first.
Bábasaín mo muna ang buhók mo bago ka mag-shampoo.	Wet you hair first before applying shampoo.
Huwág mo muna akóng singilín ngayón.	Don't collect your payment from me yet today.
Ibabâ muna natin ang ating mga gamit.	Let's take our things downstairs first.
Maglilinis muna akó ng kusinà bago akó maligò.	I'll tidy up the kitchen first before I take a shower.
Inintindí ko muna ang paglulutò bago akó nanoód ng TV.	I attended to my cooking first before I watched the TV.
Lálaruín ko muna ang batà bago akó maligò.	I will play with the child first before I take a shower.
Huwág mo munang ilálabás ang ice cream sa freezer.	Don't take the ice cream out of the freezer yet.
Huwág ka munang babangon kung nahihilo ka pa.	Don't get up yet if you're still feeling dizzy.
Nagbasá lang muna akó habang naghíhintáy sa iyó.	I just did some reading while waiting for you.
Pinápakain muna ng iná ang anák bago siyá kumain.	The mother feeds the child first before she eats.
Binitawan ko muna ang dalá ko kasí mabigát.	I set down what I was carrying meantime because it's heavy.
Huwág ka munang umalís at hindî pa kitá pinápayagan.	Don't go out yet as I have not yet given you my permission.
Pápatayín mo muna ang iyóng sigarilyo bago ka sumakáy ng bus.	You must extingish your cigarette first before boarding a bus.
Dapat tátanungín mo muna akó kung OK lang 'yun sa akin.	You should ask me first if I'd just be OK with that.
Bago ka umayáw, tikmán mo muna.	Before you say no, taste it first.
Kailangang magbayad muna tayo bago nilá tayo papasukin.	We need to pay first before they'd allow us to go in.
Bago ka umayáw, purbahán mo muna.	Before you say no, try it first.
Sabi ng doktór ni Julie huwág siyá munang íinóm ng tsaá.	Julie's doctor told her not to drink tea in the meantime.
Maligò ka muna at bumalík ka rito pagkatapos.	Take a shower first and then come back here afterward.
Pinakain muna nilá ang mga bisita bago silá kumain.	They made their guests eat first before they ate.
Sige, panónoorín muna kitá kung paano mo ginagawâ iyán.	OK, I'll watch how you do it first.
Kíkilalanin mo munang mabuti ang isáng tao bago ka magtítiwalà sa kaniyá.	You should first know a person very well before you put your trust in him.
Huwág mo muna itóng itátabí. Iwan mo lang muna dito sa mesa.	Don't keep this first. Just leave it on the table for the meantime.
Ititigil ko muna ang pag-aaral ko kasí kailangan kong magtrabaho.	I will discontinue my studies meantime because I need to work.
Sinundô ko muna ang pinsan ko sa airport bago akó pumuntá dito.	I picked up my cousin from the airport first before coming here.
Huwág ka munang mamámatáy.	Don't die yet.
Inatupag ko pa muna ang pagpapakain sa aso bago akó naglabá.	I took care of feeding the dog first before I did the laundry.
Tútulugan ko muna ang isásagót ko sa tanóng mo.	I will sleep on what I will answer to your question.
Huwág ka munang umalís.	Don't go / leave yet / for the meantime.
Matulog ka na muna habang walâ pa akó.	Sleep for the meantime while I'm still out.
Hindî muna akó sasama sa kanilá.	I won't be joining / going with them first / for the meantime.
Puwede muna sa amin si Tom kung gusto niya	Tom can stay with us if he wants to.
Ipakita mo muna ang ID mo bago kita papasukin.	Show me your ID first before I let you in.
Palamigin mo muna ang pagkain mo; huwag mong kainin nang mainit.	Let your food cool off a bit; don't eat it while it's hot.
