aba	poor, humble, subservient
abakada	alphabet
abála	a burden on someone, an inconvenience, interruption, disturbance
abalá	busy, occupied with something, engaged, engrossed, obsessed
abaláhin	to bother or worry someone
abangan	wait for, stay hidden, ambush; a place for such
abante	lead (n) in a game; go ahead!, proceed!
aberya	mechanical trouble; a snag; literal or metaphorical malfunction
abiso	notice, notification (mag: i: an)
abisuhan	notify beforehand, forewarn
abO	ash, ashes
abók	dust, ash
ábot	reach, catching up with/to
absuwelto	absolved, acquitted
abuhin	ash colored, grey
abut-abot	continuous, as a chain
abutan	to hand something over
abutin	to reach for; to reach/arrive, overtake, catch up
ága	earliness
agad	immediately, at once, quickly
ágap	quickness, alertness, anticipation; punctual
agaw	to snatch, grab
akalà	idea, belief/thought/assumption (often incorrect)
aklat	a book
akUin	to take responsibility for something; to take over something (inakò, inaakò, aakuin)
akyát	rise, climb
alaála	memory, recollection; keepsake, souvenir; token
alagà	ward
alak	alcohol
alalá	worried, anxious, thinking about
alalahanin	to recall, remember; think/worry about, consider; cause of worry
alám	knowledge, to know
alamin	to find out, to investigate
alin man	whichever
alin	which?
alinman	any, anything
alipin	slave
alis	departure; leave!
alkalde	mayor
almusal	breakfast
alók	an offer
alukín	to offer
amá	father
ambág	contribution
ámin	confess, admit, acknowledge
amin	ours (exclusive)
aminin	to own up to/admit/confess something (inamin, inaamin, aaminin)
amok	amuck, in a frenzy state
amoy	smell, odor
amoy-araw	smell of sweat after being in the sun
ampón	adoptee
amuyin	to smell something
anák	child (offspring)
anak-anakan	foster chld
ano man	whatever
antála	delay
antás	step, degree, grade
anu-ano	other (plural)
anuman	whatever, anything (ano + man)
anyô	form, appearance, figure
apó	grandchild
apoy	fire, flame
aral	lesson, learning
aralin-bahay	homework
araw	day; sun
arawán	on a daily basis
áraw-araw	every day, daily, each day
arì	property
arí-arian	possessions, property, goods
asahan	expect, be sure that something will happen
ásal	conduct, behavior
asim	sourness
at	and; and what's more...; as / because / that (as way introduce an explanation of something)
atraso	arrears, lateness; slang - to wrong someone "may atraso"
awa	pity, mercy
away	fight, quarrel, dispute
áwit	song
awitan	to sing to someone; song contest
awitin	to sing
ayaw	don't/doesn't want
baba	lowness; to descend
babalâ	caution, warning, notice, alarm
babasagin	breakable, fragile
baboy	pig
babuyan	pigpen
bagá	an emphatic marker
bagà	lung
bagal	slowness
bagamán	although, in spite of, while, even though (baga + man, old fashioned)
bágay	appropriate, fitting; thing, object
bágo	new, fresh; before, prior to, previous 
bagsak	decline, failure, dropoff; sudden fall or crash
baguhin	to change
bagyó	storm, typhoon; successful
bahâ	flood
bahagi	part, fraction, segment
bahaginan	to share, give a part of something
bahagya	slightly, scarcely, barely, partly, hardly
bahala	care/responsibility
bahay-kalakal	a business
bahíng	sneeze (also bahín)
baít	kindness; the mind
baka	beef; cow
bakâ	perhaps, maybe, might
bakla	gay, homosexual
bakuna	vaccine
bakwit	evacuate
bála	bullet, pellet, slug
bálak	plan, intention
bálang araw	some/one day (ie, eventually)
bálang	each, any
balat	skin, pelt, rind, paring, crust, shell,  surface, pod, cover
bale	as if; equal in value to; cash advance
balik	return
balikat	shoulder
balik-balik	repeatedly
balitaan	notify
balot	wrapper, wrapping
banat	a pull to stretch something; tense, stretched, taut; a hit, strike
bandá	towards or about a certain place or time, in the direction of (bandang alas tres -> around 3 o'clock)
banggâ	collision, bang into
bangís	savageness, viciousness, fierceness, ferociousness
bangkâ	a type of outrigger boat (mag, mang, pa)
bangkay	corpse
bangketa	sidewalk, footpath
bangon	to arise, get up, rise up
bansâ	nation, state, country
banta	threat
bantáy	guard, sentry
barako	strong like the coffee from Batangas
barkada	group of friends, clique, gang
barkó	a ship
bása	to read / reading
basâ	wet (adj.)
baság	cracked, broken, shattered
basagulero	troublemaker
basag-ulo	quarrel (“broken head”)
báso	drinking glass
basta	enough, sufficient, "it is enough"; As a declaration: "just because", "what matters is.."
batà	a child; "young"
batang-hamog	street child
batás	law
batay	based on, by, with
bátáyan	ground, basis, cause
batayán	standard, criterion
batíd	known, awareness (slightly formal term)
batikán	spotted; tried, tested, expert
bato	a stone, rock; kidney; something to throw, throwing
bAwal	prohibited, forbidden
bawas	discount, reduction
bawasan	reduce, decrease
bawat	(bawa't) each, all, every, often followed by "lahat" or "isa"
bawì	retraction, recovery
bawiin	to take something back
bayáan	let, allow
bayad	pay, payment
bayan	town, country, "home"
bayani	hero, person who offers free service in a cooperative endeavor
benta	sell
beses	time(s)
bigás	unhusked, uncooked rice
bigát	heaviness, weight; slang for "heavy/deep"
bigay	to give
bigay-sala	accusation
bigla	sudden, immediate, unexpected
biglang-bigla	suddenly, unexpectedly
bigô	frustrated, disappointed; failure
bigyan	to give something
bihira	seldom
bílang	number; "as X"
bilanggo	prisoner, captive
bilangguan	jail
bilibid	jail
bilis	speed
bilisan	hurry
binatA	bachelor, young man
binato	to throw something
binilang	to count
binubuo	composing/comprising (buuin)
bisà	power, force, effect, strength
bisi	busy
bistado	obvious, exposed
bitaw	releasing one's hold on something; letting fighting cocks loose to face each other
bitawan	unloosen; let go the hold on something; let words slip out
bitbít	hand carried / carrying by hand
bitbitin	to hand-carry
bituin	star
biyahe	trip, journey
biyahero	traveller (byahero)
bote-bote	many bottles
bugaw	go-between, pimp; pander
bugbóg	beating up, pummeling
bugsô	flush, blast, downpour
búhat	from (buhat sa)
