Greeting	Pagbatì
Hi!	Hi!
Good morning!	Magándang umaga!
Good afternoon!	Magándang hapon!
Good evening!	Magándang gabi!
Welcome!	Maligayang pagdating!
Hello my friend!	Hello, kaibigan ko!
How are you? (friendly)	Kumusta ka na?
How are you? (polite)	Kumusta na po kayó?
I'm fine, thank you!	Mabuti namán akó, salamat!
And you? (friendly)	At ikáw?
And you? (polite)	At kayó po?
Good	Magánda
Not so good	Hindì masyadong magánda
Long time no see	Matagál nang waláng pagkikita
I missed you	Mis na kitá
What's new?	Anóng bago?
Nothing new	Dati pa rin.
Thank you (very much)!	(maraming) salamat!
You're welcome! (for "thank you")	Waláng anumán!
My pleasure	Ikinalulugod ko.
Come in! (or: enter!)	Tulóy po kayó!
Make yourself at home!	Huwag kang mahiyâ!
Farewell Expressions	Pagpapahayag ng Pag-alís
Have a nice day!	Maging masayá sana ang araw mo!
Good night!	Goodnight!
Good night and sweet dreams!	Goodnight, tulog ka nang mahímbing!
See you later!	Mamayâ uli!
See you soon!	Hanggáng sa mulî!
See you tomorrow!	Bukas ulî!
Good bye!	Paalam!
Have a good trip!	Ingat sa byahe!
I have to go	Kailangan ko nang umalís
I will be right back!	Babalik ako agád!
Holidays and Wishes	Mga Pagbatì sa Para Isang Tao
Good luck!	Good luck!
Happy birthday!	Malígayang batì!
Happy new year!	Manigong bagong taón
Merry Christmas!	Malígayang paskó!
Happy Fiesta!	Malígayang pyesta!
Happy Valentine's day!	Malígayang araw ng mga pusò!
Congratulations!	Congrats!
Enjoy! (or: bon appetit)	Kainan na!
Bless you (when sneezing)	Bless you
Best wishes!	Malígayang batì sa kasál mo!
Cheers! (or: to your health)	Mabuhay!
Accept my best wishes	Tanggapín mo ang pagbatì ko
How to Introduce Yourself	Paano Ipapakilala ang Sarili
What's your name?	Anóng pangalan mo?
My name is (John Doe)	(John Doe) ang pangalan ko.
Nice to meet you!	Ikinalulugod kong makilala ka
Where are you from?	Saan ka nagmulâ?
I'm from (the U.S/ The Philippines)	Nagmulâ ako (sa U.S. / sa Pilipinas)
I'm (American/ Filipino)	(Amerikano / Pilipino) ako
Where do you live?	Saán ka nakatirá?
I live in (the U.S/ The Philippines)	Nakatirá ako (sa U.S. / sa Pilipinas)
Do you like it here?	Gustó mo ba dito?
The Philippines is a beautiful country	Magandáng bansâ ang Pilipinas.
What do you do for a living?	Anó ang hanapbuhay mo?
I'm a (teacher/ student/ engineer)	(Guro / Estudyante / Engineer) ako
Do you speak (English/ Tagalog)?	Marunong ka ba (mag-Ingles / mag-Tagalog)?
Just a little	Kontì lang
I like Tagalog	Gustó ko ng Tagalog
I'm trying to learn Tagalog	Sinusubukan kong matuto ng Tagalog
It's a hard language	Mahirap na wikà ‘yan
It's an easy language	Madalíng wikà ‘yan
Oh! That's good!	Oh! Magandá 'yan!
Can I practice with you?	Maaarì bang magpraktis ako kasama ka?
I will try my best to learn	Susubukan ko ang lahat upang matuto
How old are you?	Ilang taón ka na?
I'm (twenty one, thirty two) years old	(Dalawampu't isang / Tatlumpu't dalawang) taóng gulang na akó
It was nice talking to you!	Masayá akó at nakausap kita!
It was nice meeting you!	Masayá akó at nakilala kitá
Mr.../ Mrs. .../ Miss...	Ginoó…/Ginang…/Binibini…
This is my wife	Siyá ang asawa ko
This is my husband	Siyá ang asawa ko
Say hi to Thomas for me	Pakisabi kay Thomas, hi
Romance and Love Phrases	Paglalambíng
Are you free tomorrow evening?	Walà ka bang gagawin bukas ng gabí?
I would like to invite you to dinner	Nais kong anyayahan ka sa isáng hapunan
You look beautiful! (to a woman)	Ang gandá-gandá mo
You have a beautiful name	Ang gandá ng pangalan mo
Can you tell me more about you?	Maaarì ka bang magkwento tungkol sa sarili mo?
Are you married?	May asawa ka na ba?
I'm single	Binatà pa akó (male) / Dalaga pa akó (female)
I'm married	May asawa na akó
Can I have your phone number?	Maaarí ko bang hingín ang phone number mo?
Can I have your email?	Maaarí ko bang hingín ang email mo?
Do you have any pictures of you?	May mga litrato ka ba diyán?
Do you have children?	May anák ka na ba?
Would you like to go for a walk?	Gustó mo bang maglakád-lakád?
I like you	Gustó kitá
I love you	Mahál na mahál kitá
You're very special!	Napaká-special mo!
You're very kind!	Napakábait mo!
I'm very happy	Ang sayá-sayá ko
Would you marry me?	Pakakasalán mo ba akó?
I'm just kidding	Nagbibirô lang akó
I'm serious	Seryoso akó
My heart speaks the language of love	Binibigkás ng pusò ko ang wikà ng pag-ibig
Solving a Misunderstanding	Paglutás sa Hindî Pagkakaunawaan
Sorry! (or: I beg your pardon!)	Pakiulit pò!
Sorry (for a mistake)	Pasensya na
No problem!	Walâ 'yon!
Can you repeat please?	Pwede bang pakiulit?
Can you speak slowly?	Pwede bang sabihin mo nang dahan-dahan?
Can you write it down?	Pwede mo bang isulat?
Did you understand what I said?	Naintindihan mo ba ang sinabi ko?
I don't understand!	Hindi ko maintindihan!
I don't know!	Hindi ko alám!
What's that called in Tagalog?	Anóng tawag diyán sa Tagalog?
What does that word mean in English?	Anóng ibig sabihin ng salitáng iyán sa Ingles?
