Magsalitâ ka namán.	Please say something.
Nagyáyabáng ang lalaki tungkól sa regalong hindî namán niyá ibinigáy.	A man is boasting about a gift he has never given.
Naniwalà ka namán?	You really believe it? / You accepted it hook, line, and sinker?
Nagkakamalî namán ang lahát.	Everybody makes mistakes.
Tumugtóg ka namán.	Please play something (for me/us).
Q: Anó ang ginagawâ mo? A: Walâ namán, kung anu-ano lang.	Q: What are you doing? A: Nothing really, just this and that.
Nakakainís! May exam na namán kamí bukas.	How annoying! We have an exam again tomorrow.
Tulungan mo namán akó.	Please help me.
Supórtahán mo namán kamí ni Lara.	Support Lara and me.
Ngumitî ka namán kahit kauntî.	Please smile even just a bit.
Nagtatampó na namán ba ang nobya niyá?	Is his girlfriend sulking again?
Iníintindí namán kitá.	I do try to understand you.
Anó namán ang dala-dalá mo dyán?	What are you carrying around there?
Gumastos ka na namán.	There you go spending again.
Nagsayáng na namán silá ng lakás.	They wasted their strength again.
Dalawin mo namán kamí minsan.	Please visit us sometime.
Lálaitin na namán ni Sandara ang pagkain.	Sandara will insult the food again.
Hindî namán masyadong malakí.	It's not really too big.
Magparamdám ka namán!	Make your presence known, please!
Pansinín mo namán akó.	Please give me some attention.
Hindî namán masamáng magtrý, hindî ba?	There's no harm in trying, right?
Ináatake na namán silá ng kabobohan.	They're suffering again from a bout of stupidity.
Pagbigyán mo namán akó.	Please give me some slack. / Please oblige me.
Birò mo nagpuntá ba namán doón sa kuwarto ko!	Can you imagine, he went into my room!
Kumain ka namán.	Please eat.
Hindî namán.	Not so. / Not really.
Umalís namán tayo.	Let's leave, please.
Uminóm ka na namán ba kagabí?	Did you have a few drinks again last night?
Bakit pa kayó lumayô, may mas malapit namáng mall dito.	Why did you still have to go far, there's a closer mall to here.
Iwan mo lang ang cake sa mesa at walâ namáng gágaláw niyán.	Just leave the cake on the table as no one would touch it.
Huwág mong tinítiís kung pwede mo namáng iwasan.	Don't put up with it if you can avoid it.
Mabuti namán at nakauwî ka nang maaga.	It's good that you were able to get home early.
Kagigising mo lang ináantók ka na namán?	You just woke up and you're sleepy again?
Ikáw na naman!?	You again!?
Isáng oras pa lang ang nakákaraán, gutóm ka na namán?	After only an hour you're hungry again?
Áanhín mo ang yaman kung hindî ka namán masayá?	What's the use of being rich if you're unhappy anyway?
Sino namán ang mag-íisíp na hindî kitá mahál?	But who would think that I don't love you?
Kiníkilala nilá akóng kamag-anak kahit hindî namán talagá.	They acknowledge me as a relative even if that's not really so.
Huwág kayóng mag-away kasí pwede namáng mapag-usapan iyán nang maayos.	Don't quarrel because that is something that may be settled amicably by talking
Hindî ka pa nakakabayad ng hulí mong utang, uutang ka na namán?	You still haven't settled your previous loan, you're going to borrow again?
Hindî mo silá kailangang agawan kasí meron ka namán ng para sa iyó.	You don't have to grab what's theirs because you have your due share anyway.
Tumaás na naman ang presyo ng langís.	The price of oil went up again.
Nagagalit na namán ang nanay ni Jack.	Jack's mom is blowing her top again.
Pápawisan mo na namán ang damít mo.	You're going to sweat on your shirt again.
Nakákabawì at mulî na namán akóng gumíginhawa.	I'm recovering and getting comfortable again.
Kabibigay ko lang sa iyó ng pera kahapon, ngayón humihingî ka na namán?	I just gave you money yesterday, now you're asking again?
Ayon sa balità magmámahál na namán ang presyo ng gasolina.	According to the news the price of gasoline will go up again.
