Násaán ka?	Where are you?
Násaán ang listahan ng mga palalayaing preso?	Where is the list of prisoners to be released?
Násaán? Iturò mo.	Where? Point to it.
Huwág tayong makuntento sa kung násaán na tayo.	Let's not be content with where we are.
Násaán ka sa krusyal na bahaging iyón ng buhay ko?	Where were you during that crucial point in my life?
Násaán ang sinehán?	Where is the movie theater?
Násaán ang tsinelas ko?	Where are my slippers?
Násaán kayó?	Where are you? (polite)
Násaán ang pitaka ko?	Where is my wallet?
Násaán ang mga hanay ng mga manlalarò.	Where are the rows of players?
Sumunód ka sa akin at ituturò ko sa iyó kung násaán ang canteen.	Follow me and I'll show you where the canteen is.
Nasaan ang nanay?	Where's Mum?
Nasaan yung aklat?	Where is the book?
Nasaan yung libro?	Where is the book?
Nasaan ang relo ko?	Where is my watch?
Nasaan ang tinapay?	Where's the bread?
Nasaan ang mag-aaral?	Where is the student?
Nasaan ang may botika?	Where is there a drugstore?
Nasaan ang may parmasya?	Where is there a drugstore?
Nasaan ang iyong sandata?	Where's your weapon?
Nasaan ang iyong kabiyak?	Where's your wife?
Nasaan ang estasyong Hakata?	Where is Hakata station located?
Hindi ko alam kung nasaan iyan.	I don't know where that is.
Nasaan ang kapitan ng barkong ito?	Where is the captain of this ship?
Nasaan na ang aking makina ng oras?	Where is my time machine?
Hindi alam ni Tom kung nasaan iyon.	Tom doesn't know where it is.
Nasaan ang pinakamalapit na bangko?	Where is the nearest bank?
