umbág	punch, hit
hagíp	(hagip) rt_ [noun] grabbing; sideswiping
apíd	adultery, fornication
imbót	(imbot) [noun] greed
buktót	corrupt, very wicked, atrocious
palalo	(palalo) [adjective] proud; conceited; arrogant; haughty
hangál	foolish; stupid; asinine
lisan	(lisan) rt_ [noun] departure; abandonment
likom	(likom) rt_ [noun] gathering together; accumulating; collecting
sawáy	(saway) [noun] rebuke ; reprimand; reprehension; prohibiting
pamahiin	superstition
bayó	(bayo) rt_ [noun] pounding; [adjective] pounded
puná	criticism, remark, observation
lunók	(lunok) rt_ [noun] swallow; gulp
kináng	(kinang) [noun] shine; sparkle
binhí	seed
suhol	(suhol) rt_ [noun] bribe
batí	(bati) rt_ [noun] beaten
bulagtâ	fallen flat
bundól	(bundol) rt_ [noun] collision
himások	interference, meddling, intrusion (pasok)
salungát	(salungat) rt_ [adjective] opposite; contrary; adverse; anti; counter; against
silayan	(silay) _an [verb] to glimpse
suwáy	opposition to what is commanded; violation of orders or laws; disobedience; defiance; insubordination; noncompliance; contravention;
dustâ	(dusta) [noun/verb] insult; to insult; scorn; disdain; contempt; disrespect;
kalong	held in the lap
biyák	(biyak) rt_ [noun] split; cleavage; division [adjective] split; divided
kabig	(kabig) rt_ [noun] pulling towards oneself
talbóg	(talbog) [noun] bounce
tukláp	(tuklap) [adjective] peeled off; detached
lusong	descent, sinking
barí	(bari) rt_ [noun] to imitate the speaker; mimic; imitate; copy; echo; parrot;
badyá	expression, indication
himpíl	(himpil) rt_ [noun] stop; base
paskíl	(paskil) rt_ [noun] poster
parang	meadow, prairie
tadyáng	rib
hilom	cicatrization/healing of a wound; closing up of an opening (crevice); nightfall
kuyog	(kuyog) rt_ [noun] swarm
sapól	at the very beginning; hitting a target; straight, direct (also sapúl)
ubrá	possible, maybe; maaarì
lukót	(lukot) [adjective] wrinkled; crumpled; creased
pigâ	(piga) [noun] squeeze; wring
balibág	(balibag) [noun] tossing; hurling
sunggáb	a sudden act of seizing something one desires to take by force; snatch; grab; seize;
itak	machete, bolo knife
kawatán	thief
igtíng	(igting) rt_ [noun] tightness; tension
