Hindî ngayón.	Not now.
Anó ang gustó mong pag-aralan ngayón?	What would you like to learn now?
Idinadaos ngayón ang karera.	The race is being held now.
Sino ang magbabayad ngayón?	Who will pay today?
Hindî siyá masayá ngayón.	He is not happy today.
Masayá si Ben ngayón.	Ben is happy today.
Daratíng ang bagyó ngayón.	The typhoon will arrive today.
Magandá ang araw ngayón!	Today is a good day!
Ngayóng nabayaran na kitá, patas na tayo.	Now that I've paid you, we're now even.
Gináganáp ngayón sa Mendiola ang mga protesta.	The protests are happening right now at Mendiola.
Masamâ ang pakiramdám ni Bob kahapon at ngayón nagkasakít na siyá nang tuluyan.	Bob was not feeling well yesterday and today he eventually became ill.
Pumuntá ka rito, ngayón na!	Come here, now!
Itinátanghál ngayón sa museo ang mga korona.	The crowns are currently on display at the museum.
Tinátalakay ngayón ni Nadine ang paksâ tungkól sa HIV/AIDS.	Nadine is discussing the topic about HIV/AIDS right now.
Ináaresto na ngayón ang masamáng polítiko.	The evil politician is being arrested right now.
Nagtutungo na ngayón si Fred sa opisina.	Fred is already heading toward the office.
Hindî ko pa siyá nakakasalubong ngayón.	I haven't met him yet today.
Anó?! Dapat nandito ka na ngayón.	Say what?! You should be here now.
Hindî ka ba maglálakád ngayón?	Won't you be walking (for leisure or exercise) today?
Hindî kamí nakakaipon ng tubig ngayóng tag-aráw.	We're not able to collect water this summer.
Anóng larô ang paglálaruán natin ngayón?	What game are we going to play with today?
Naeexpérience ko ngayón ang sinabi mo sa akin.	I'm now experiencing what you said to me.
Ayaw kong manatili sa bahay ngayón.	I don't want to stay home today.
Natalo akó ngayón pero bukas babawì akó.	I lost today but I'll bounce back tomorrow.
Anó ang aaralin natin ngayón?	What are we going to study for today?
Ang kahirapan ang pangunahing problemang kinákaharáp ng mga Filipino ngayón.	Poverty is the primary problem that Filipinos deal with today.
Hindî akó makapaglarô ngayón.	I can't play now.
Batiin mo si John kasí kaarawán niyá ngayón.	Greet John because it's his birthday today.
Naoperahán siyá sa matá kayâ hindî siyá makabasa ngayón.	He has undergone an eye operation and presently can't read.
Anó ang gágawín mo kung nalaman mong makákaharáp mo ang soulmate mo ngayón?	What would you do if you knew you would meet your soulmate now?
Anó ang maiipon mo ngayóng 2020?	What will you be able to collect this 2020?
Magdédesisyón ang korte sa kaso ni Rhodora ngayóng araw.	The court will decide on Rhodora's case today.
Nakákapagtrabaho pa ba si Mikey sa lagáy niyá ngayón?	Is Mikey still able to work in his current condition?
Kung hindî ngayón, kailán ka maninindigan?	If not now, when will you take a stand?
Hindî akó nakapagtrabaho nang walóng oras ngayóng araw.	I wasn't able to work eight hours today.
Anó ang usong súsulpót ngayóng taón?	What trend will emerge this year?
Hindî ko inaakalang ngayón ka daratíng.	I never thought you'd arrive today.
Mapápahamak ka kung lálabás kang mag-isá ngayóng gabí.	You will be in danger if you go out alone tonight.
Saán ka tumítirá ngayón?	Where do you stay now?
Ngayón pa lang akó umibig nang tunay.	This is my first time to truly fall in love.
Saán ka magtutungo ngayón?	Where are you headed now?
Siyá ang pínakabagong sumisikat na aktrés ngayón.	She's the latest rising actress now.
Anóng araw ngayón?	What day is it today?
Tinátamád akóng manoód ng sine ngayón.	I don't feel like watching a movie today.
Kailangan ko na bang magdesisyón ngayón?	Do I already need to decide now?
