Ayoko nitó.	I don't like this.
Gustó kong bumilí nitó.	I would like to buy this / one of these.
Bubuhayin ba nitó ang pagtitiwalà ko sa gobyerno?	Will it revive my trust with the government?
Kasunód nitó, makakapágreláks na akó.	After this, I will be able to relax.
Pinabíbilís ba nitó na makabawì ang atleta?	Does it speed up the athlete's recovery?
Marami ang namatáy dahil sa lindól at sa sunog na kasunód nitó.	Many people died because of the earthquake and the fire that followed it.
Uminóm ka nitó kapág sumásakít ang tiyán mo.	Drink / Take this when you're having a stomachache.
Paano akó makakaipon ng pera kung walâ akó nitó?	How could I save money when I didn't have any?
Lálakás ang pakiramdám mo kapág uminóm ka nitó.	You will feel stronger if you'd drink / take this.
Sinúsugatan nitó ang dangál ni Pete.	This wounds Pete's dignity.
Sino ang gumawâ nitó?	Who did this?
Nililinaw ng pámahalaán sa públiko ang mga transaksiyón nitó.	The government clarifies to the public its transactions.
Wow, ang saráp nitó!	Wow, this tastes delicious!
Sino ang naglutò nitó?	Who cooked this?
Naráratíng nitó ang pínakamataás nitó sa gulang na 5.	It reaches its full height by age 5.
Kakauntî lang ang nakákabasa nitó.	Only a handful could read this.
Hindî ko alám kung sino ang tatapos nitó.	I don't know who will finish this.
Ngumingitî na siyá nitóng nakalipas na mga araw.	He's been smiling this past few days.
Itinátalagá ng administrasyón sa gabinete ang mga kaalyado nitó.	The administration appoints in the cabinet its allies.
Huwág umasa sa pera at sa mga nabíbilí nitó.	Don't depend on money and what it can buy.
Kailangan ko ng magpopóst nitó sa bulletin board. (Taglish)	I need someone to post this on the bulletin board.
Sino ang nagbenta nitó sa iyó?	Who sold you this?
Walâ pa akóng nakakain simulâ nitóng umaga.	I have not had anything to eat since this morning.
Kukuha ka ba nitó?	Are you getting one of these?
Tátangayín siyá nitó mulâ sa kinatátayuán niyá.	It will sweep him away from where he is standing.
Sinilip nilá ang loób nitó.	They peered inside it / this.
Isisilang pa ba ng iyóng pusà ang mga kutíng nitó?	Will your cat still give birth to its kittens?
Sino ang pagkakátiwalaan mo na mangalagà nitó?	Who will you trust to take care of it?
Magbasá para mapag-alamán ang kahulugán nitó.	Read to learn its meaning.
Sa bigát nitó, hindî itó lulutang.	With its mass, it won't float.
Gustó ni Susan na magtayô ng isáng maliít na tindahan dito.	Susan would like to put up a small shop here.
Hindî kitá mabigyán nitó kasí hindî itó sa akin.	I can't give you any of these because these are not mine.
Nagtiwalà si Mary kay Paul at hindî niyá naisip na lolokohin siyá nitó.	Mary trusted Paul and she never thought that he would cheat / cheat on her.
Kapág itinanóng ni Diane kung sino ang gumawâ nitó, huwág mo akóng ituturò.	If Diane would ask who did this, don't let her know it's me.
Napakahusay nito.	This is very good.
Gusto mo nitong kulay?	Do you like this color?
Anong ibig-sabihin nito?	What does this mean?
Sinong hepe nitong gusali?	Who is in charge of this building?
Libre ka ba nitong wik-end?	Are you free this weekend?
Kay alat naman nitong sopas!	How salty this soup is!
Anong kinalaman nito kay Tom?	What's this got to do with Tom?
Anong pangalan nitong prutas?	What's the name of this fruit?
Talagang malamig nitong umaga.	This morning it was very cold.
Bulok ang amoy nitong pagkain.	This food smells rotten.
Talagang maaga ka nitong umaga.	You are very early this morning.
Pakialis nga nitong mga pinggan.	Please take these dishes away.
Nangitlog ang manok nitong umaga.	The chicken laid an egg this morning.
Isa sa atin ang dapat gagawa nito.	One of us has to do this.
Iniba nitong dalaga ang itsura niya.	This girl changed her look.
Alas sais ako gumising nitong umaga.	I got up at six this morning.
Nakapagtulis ka na ba nitong kutsilyo?	Have you ever sharpened this knife?
Mukhang hindi pintor ang puminta nito.	It seems that this is not painted by a painter.
Nagpraktis ka ba ng harp nitong umaga?	Did you practise the harp this morning?
Aalagaan ko ang mga anak mo nitong gabi.	I'll take care of your children tonight.
Meron ba kayo nito sa mas malaking says?	Do you have this in a bigger size?
Huwag mong sabihin sa tatay tungkol nito.	Don't tell Father about this.
Binigyan niya ako nitong mga lumang barya.	She gave me these old coins.
Anong gagawin mo sa eskuwela nitong tanghali?	What are you doing at school this afternoon?
Naniniwala ka pa ba sa mga kwentong tulad nito?	Do you still believe in this kind of stories?
Alam mo ba kung sinong nagpinta nitong pintura?	Do you know who painted this picture?
Siya ang batang lalaking nagpinta nitong pintura.	He is the boy who painted this picture.
Ang manunula'y nagsusulat ng tula mula nitong umaga.	The poet has been writing poems since this morning.
Wala yata kundi si Tomas ang interesadong bumili nito.	It's unlikely that anyone other than Tom would be interested in buying this.
Nagtago ako ng talaarawan sa Ingles nitong sampung taon.	I have kept a diary in English these ten years.
