extended	in-extend
for example	halimbawa
again	na naman
according to	Ayon sa
I don't know / whatever	Ewan ko
do as you please / up to you / your call / figure it out yourself	bahAla ka
whatever happens happens	bahAla na
wake up!	gIsing na
obvious	kitang-kita / halata / malinaw
meanwhile	samantala
do this first	unahin mo ito
go ahead!	hayo!
don't worry about it / let it be	hayaan mo / hamo
never mind / don't worry about it	hindi bale
listen to me	makinig ka sa akin
slowly	dahan-dahan
slow	mabAgal
equal	pantay
I don't understand	hindi ko maintindihan
with me	kasama ako
let's go	halika na
forgive me	patawarin mo ako
excuse me	mawalang galang lang
oh!	naku!
this bag is prettier than that one	mas maganda ang bag na ito kaysa iyan
shall we go out?	pwede ba tayong lumabas?
get in the car	pumasok ka sa kotse
we are late	huli na tayo
are you ready?	handa ka na ba? / handa na ba kayo?
whatever	kahit ano
what else?	ano pa?
that's it	ayan yun
ask me	tanungin mo ako
don't ask me	huwag kang magtanong sa akin
because of you	dahil sa iyo
his father	ang kanyang ama
can also	puwede rin
even though / despite	kahit pa
my love	mahal ko
my hair	ang aking buhok
is this yours?	sa iyo ba ito?
your hair	ang iyong buhok
ever since..	mula noong..
I need coffee	kailangan ko ng kape
it's you	ikaw 'yun
alright!	ayos!
if you want	kung gusto mo
I did	ginawa ko
I did it	nagawa ko
stay away	lumayo
the day before yesterday	kamakalawa
(the) day after tomorrow	sa makalawa
before you were born	bago ka ipinanganak
I used to play chess	dati akong naglalaro ng chess
I will play chess	maglalaro ako ng chess
before you start	bago ka magsimula
move!	ilipat!
I don't want	ayo ko / ayaw ko
I will	gagawin ko
do it	gawin mo
they go to their school	pumunta sila sa kanilang paaralan
this is a fun place	ito ay isang masaya na lugar
to them, with them, their, for them	sa kanila
it will be fine	ito ay magiging mabuti
it was fun	ito ay mahusay na
you should.	dapat mo.
you should bring that	dapat mong dalhin iyon
you should go home	dapat kang umuwi
we will watch a movie	mananood kami ng isang pelikula
you should always...	dapat mong palaging...
you should always be happy	dapat mong laging maging masaya
take a pill	kumuha ng tableta
let's go home	umuwi na tayo
let's go out	labas tayo
take me home	iuwi mo ako
take me to the new store	dalhin mo ako sa bagong tindahan
bring	magdala, dalhin
the man has a brother	may isang kapatid ang lalaki
the woman is a lawyer	abogado ang babae
the picnic was fun	masaya ang piknik
the child slept in the room	natulog ang bata sa kwarto
the man has a brother	may isang kapatid ang lalaki
according to	ayon kay
the coffee is on the table	nasa mesa ang kape
I like the mango	gusto ko ang mangga
I like mangoes	gusto ko ng mangga
I need the book	kailangan ko ang libro
I need a book	kailangan ko ng libro
I am studying Tagalog	nag-aaral ako ng Tagalog
pretend to play a game	magpanggap na maglaro ng isang laro
pretend to know how to dance	magpanggap na malaman kung paano sumayaw
