Binatà pa akó.	I'm still single. (male)
Hindî pa.	Not yet.
Naglalarô pa kamí.	We're still playing.
Lálakí ka pa.	You will still grow taller.
Hindî pa umáalís ang bus.	The bus hasn't left yet.
Kakain ka pa?	Are you still going to eat?/Are you having some more?
Gustó ko pa ng pagkain.	I'd like some more food.
Gumagamit ka pa ba ng fountain pen?	Do you still use fountain pen?
Hindî pa siyá naáaresto.	He hasn't been arrested yet.
Teka, pumipilì pa kamí.	Wait, we're still choosing.
Natutulog pa ang batà.	The child is still sleeping.
Hinuhulaang mas úunlád pa ang bansâ sa súsunód na taón.	It is predicted that the country's economy will further improve next year.
Matátagalán pa bago ko siyá maunawaan.	It would be a long time before I could understand her.
Magkano pa ang perang nátitirá sa pitaka mo?	How much money is still left in your wallet?
Natátandaán mo pa ba?	Are you still able to remember? / Do you remember?
Hindî pa siyá nagpapasa ng mga card.	He has not passed the cards yet.
Nadádakíp pa rin ang mga takas na preso.	Escaped felons are still being caught.
Batà ka pa at marami ka pang maeexpérience.	You're still young and you'll have more to experience.
Mapag-úusapan pa ba natin ang reklamo ni Daisy?	Will we still be able to discuss Daisy's complaint?
Nagpápapalít pa si Toto ng kaniyáng mga baryá.	Toto is still exchanging his coins.
Kung hindî legál ang mangarap, mangangarap ka pa rin ba?	If dreaming is illegal, will you still dream?
Marami pang ibáng simbahan ang kasalukuyang itinatayô.	Several other churches are in the process of being built.
Kinúkumpirmá pa nilá kung puwede kang sumama sa amin.	They're still confirming if you're allowed to join us.
Hindî pa nilá natutukoy ang halagá ng alahas ni Wennie.	They have yet to determine the value of Wennie's jewelry.
Gumagana pa ba itóng lumang radyo mo?	Does this old radio of yours still work?
Ideposito mo sa bangko ang iyóng ipon bago mo pa itó magastos.	Deposit your savings to the back before you spend it.
Hindî ko pa nami-meét ang nobyo mo.	I haven't met your boyfriend yet.
Hindî ko pa siyá nakakasalubong ngayón.	I haven't met him yet today.
Hindî pa ba umeere ang teleserye ni Bea?	Is Bea's telenovela not yet airing?
Tumatambáy pa rin si Jenny sa condo ni Matt.	Jenny still hangs around in Matt's condo.
Bigyán mo pa ng pagkakátaón.	Give it a chance.
Hindî pa ba bumabangon ang tatay mo?	Hasn't your dad gotten out of bed yet?
Hindî pa silá nagdedecide, sabi ni Nona.	They have yet to decide, according to Nona.
Mababawì pa ba ni Ricky ang kaniyáng puhunan?	Will Ricky still recover his investment?
Minsan pa, kákawayán niyá ang sikát na banda.	Once more, she will wave at the famous band.
Hindî ko pa nababasa ang naturang dokumento.	I haven't read such document yet.
Matátagpuán ko pa ba ang tunay na pagmamahál?	Will I ever find true love?
Kahapon ko pa sinagót ang email mo.	I already replied to your email yesterday.
Sana ay mas nanlabán pa akó sa kaniyá.	I should have tried harder to fight him off.
Hindî pa rin niyá tinítigilan ang paninigarilyo.	He still hasn't quit smoking.
Naníniwalà pa ba si Virginia kay Santa Claus?	Does Virginia still believe in Santa Claus?
Huwág mawalán ng pag-asa kahit iláng beses ka pang mabigô.	Don't give up hope even if you fail many times.
Hindî pa akó nakákapuntá sa bansáng Hapón.	I haven't been to Japan.
Hindî ko pa napúpuntahán ang Niagara Falls.	I have not been to the Niagara Falls yet.
Hindî pa ipinápanganák si Jane nang sumikat si Elvis.	Jane was not yet born when Elvis became popular.
Lumapit ka pa sa akin.	Come even closer to me.
Hindî pa akó tumitira.	I have not made a move yet (in a game).
Umiiral na ang kautusáng iyán magmulâ pa noóng 1970s.	That order had been in operation since the 1970s.
Kákailanganin mo pa ba itó?	Would you still be needing / have any use for this?
Dinádamdám pa rin niyá ang pagkamatáy ng alagà niyáng aso.	He still feels sad about losing his dog.
Anó pa ang gustóng hilingín ni Pogi?	What is Pogi's further request?
Naníniwalà siyáng maisasalba pa ang mundó.	She believes that the world can still be saved.
Nakákapagtrabaho pa ba si Mikey sa lagáy niyá ngayón?	Is Mikey still able to work in his current condition?
Dumudugô pa ba ang sugat mo?	Is your wound still bleeding?
Ayaw pa ni Kate na mabuntís.	Kate does not want to get pregnant yet.
Maaga akóng gumising, pero nalate pa rin akó.	I woke up early, but I was still late.
Hindî pa akó nakákapuntá sa bahay ni Vincent.	I have not been to Vincent's house.
Limampúng pangalan pa lang ang naitatalâ ni Ditas.	So far, Ditas has put only fifty names on the list.
Bakit ka pa mag-asawa kung hindî ka namán mag-áanák?	Why marry if you are not going to have children?
May bíbilhín ka pa ba?	Is there something else you need to buy?
Namámataán mo pa ba ang ambulánsiyá?	Are you still able to see the ambulance?
Nagdedecide pa silá kung tátanggapín ka.	They're still deciding whether to accept you.
Kailangan ka pa bang sabihan?	Do you still need to be told?
Tinátanóng pa ba iyón?	Do you still have to ask? (Isn't it already obvious?)
Hindî makabubuti ang magtangkâ ka pang baguhin ang isip niyá.	It will not be beneficial for you to still try to change his mind.
Hindî pa ba silá nagkákaanák?	They haven't had kids yet?
Hindî pa ngâ.	Actually, not yet.
Iniisip niyá kung minsan na mas mabuti pang mamatáy kaysa sa mabigô.	Sometimes he thinks that dying would be better than failing.
Hindî ka pa ba nakákaranas ng lindól?	Haven't you experienced an earthquake yet?
