pag-aralan	to study something. (object) <pinag-aralan, pinag-áaralan, pag-áaralan>
pagbakasyunán	to spend a vacation somewhere. <pinagbakasyunán, pinagbábakasyunán, pagbábakasyunán>
pagbidahan	to star in something (movie, TV show, etc.) <pinagbidahan, pinagbibidahan, pagbibidahan>
pagbigyán	to give in to someone; to let someone have their way; to accommodate someone; to oblige someone; to make a concession to someone. <pinagbigyán, pinagbíbigyán, pagbíbigyán>
pagbilhán	to sell to someone; to sell somewhere. (loc/dir) <pinagbilhán, pinagbíbilhán, pagbíbilhán>
pagbilinan	to brief someone; to instruct someone <pinagbilinan, pinagbíbilinan, pagbíbilinan>
pagdaanan	to go through something; to pass through something; to endure something (go through difficulties); to bring something by to someone. <pinagdaanan, pinagdádaanan, pagdádaanan>
pagdausan	to hold an event <pinagdausan, pinagdárausan, pagdárausan>
pagdudahan	to doubt someone/something. <pinagdudahan, pinagdúdudahan, pagdúdudahan>
pagdusahan	to suffer. <pinagdusahan, pinagdurusahan, pagdúrusahan>
paghinalaan	to suspect someone (of something). (object) <pinaghinalaan, pinaghíhinalaan, paghíhinalaan>
paghirapan	to work hard for something; to strain for something. (object) <pinaghirapan, pinaghíhirapan, paghíhirapan>
paghusayan	to do one's best. (object) <pinaghusayan, pinaghuhusayan, paghuhusayan>
pag-ingatan	to take care of something <pinag-ingatan, pinag-íingatan, pag-íingatan>
pag-ipunan	to save up; to save up money. <pinag-ipunan, pinag-íipunan, pag-íipunan>
pag-isipan	to think about something; to consider something. (object) <pinag-isipan, pinag-íisipan, pag-íisipan>
pagkáabalahán	to be very busy with something; to be engrossed in something <pinagkáabalahán, pinagkákaabalahán, pagkákaabalahán>
pagkáisahán	to gang up on; to be ganged up on; to have consensus <pinagkáisahán, pinagkakáisahán, pagkakáisahán>
pagkalakhán	to grow up with. <pinagkalakhán, pinagkákalakhán, pagkákalakhán>
pagkaloobán	to be provided with; to be endowed with; to be granted; to furnish. (benefactor) <pinagkaloobán, pinagkákaloobán, pagkákaloobán>
pagkámalán	to mistake someone/something (for something else); to misconstrue something. (loc/dir) <pinagkámalán, pinagkakámalán, pagkakámalán>
pagkátiwalaan	entrust to the care of; consign; relegate; confide. <pinagkátiwalaan, pinagkakátiwalaan, pagkakátiwalaan>
paglaruán	to play with something; to toy with something; to trifle with something. (object) <pinaglaruán, pinaglálaruán, paglálaruán>
pagmasdán	to look at something attentively; to carefully observe something. (loc/dir) <pinagmasdán, pinagmámasdán, pagmámasdán>
pagmulán	to be the source or cause of something. (actor) <pinagmulán, pinagmúmulán, pagmúmulán>
pagpasensyahán	to have patience with someone. (loc/dir) <pinagpasensyahán, pinagpapasensyahán, pagpapasensyahán>
pagpasiyahán	to decide; to decide on. (loc/dir) <pinagpasiyahán, pinagpápasiyahán, pagpápasiyahán>
pagsabihan	to reprimand someone; to scold someone; to correct someone; to say something to someone; * on the person being talked to. (loc/dir) <pinagsabihan, pinagsásabihan, pagsásabihan>
pagsaluhan	to share. (object) <pinagsaluhan, pinagsásaluhan, pagsásaluhan>
pagsamantalahán	to take advantage of something. (object) <pinagsamantalahán, pinagsásamantalahán, pagsásamantalahán>
pagsisihan	to atone for something; to be sorry for something <pinagsisihan, pinagsísisihan, pagsísisihan>
pagtaguan	to hide from someone. <pinagtaguan, pinagtátaguan, pagtátaguan>
pagtakpán	to cover up; to whitewash. (loc/dir) <pinagtakpán, pinagtátakpán, pagtátakpán>
pagtaksilán	to betray; to cheat on. <pinagtaksilán, pinagtátaksilán, pagtátaksilán>
pagtalunan	to argue about; to haggle <pinagtalunan, pinagtátalunan, pagtátalunan>
pagtangkaán	to attempt; to intend; to plan; to undertake. <pinagtangkaán, pinagtátangkaán, pagtátangkaán>
pagtawanán	to laugh at someone/something; to mock someone/something; to make fun of someone/something. (loc/dir) <pinagtawanán, pinagtátawanán, pagtátawanán>
pagtripán	to play a trick on. <pinagtripán, pinagtítripán, pagtítripán>
pag-usapan	to have a discussion about something; to converse about something; * on the item being discussed. (object) <pínag-usapan, pinag-úusapan, pag-úusapan>
