Pakainin mo ang aso.	Feed the dog.
Huwág mong pakainin ang aso ng tsokolate.	Don't feed chocolates to the dog.
Pinakain namin ng tanghalian si Juliet dito.	We had Juliet have her lunch here.
Saán mo akó pápakainin?	Where are you going to treat me (to a meal)?
Pinápakain muna ng iná ang anák bago siyá kumain.	The mother feeds the child first before she eats.
Pinakain muna nilá ang mga bisita bago silá kumain.	They made their guests eat first before they ate.
Saan mo sila pinakain?	Where did you feed them?
Pinakain mo na ang aso?	Have you fed the dog yet?
Pinapakain ko ang aking pusa sa araw at sa gabi.	I feed my cat every morning and every evening.
Hindi pinapakain ng pag-asa ang mga pamilya natin.	Hope doesn't feed our familes.
Kailangan niyang pakainin ang kanyang malaking pamilya.	He had to feed his large family.
