Waláng may pakialám.	Nobody cares.
Walâ akóng pakialám kung kumakandidato siyá.	I don't care if he's running for office.
Walâ siyáng pakialám kung napapabayaan niyá ang kalusugan.	He doesn't care if he's neglecting his health.
Walâ akóng pakialám.	I don't care.
Hindî ko ilálaán ang oras sa mga taong waláng pakialám.	I will not devote my time for people who don't care.
Wala akong pakialam.	I don't care.
Sinong may pakialam?	Who cares?
Wala kang pakialam doon.	It's none of your business.
Wala akong pakialam sa kanya.	I don't care for him.
Wala akong pakialam sa gastos.	I don't care about the expense.
May tinanong sayo si Tom. Paki sagot.	Tom asked you a question. Please answer it.
Walang pakialam ang boyfriend ko sa akin.	My boyfriend doesn't care about me.
Wala akong pakialam kung anong gawin niya.	I don't care what he does.
Wala akong pakialam anong ginagawa mo sa pera mo.	I don't care what you do with your money.
Wala akong pakialam kung ika'y aalis o mananatili.	It's all the same to me whether you go or stay.
Siya'y mahirap, pero wala siyang pakialam sa pera.	He is poor, but he doesn't care about money.
Wala akong pakialam kung saan tayo maghahapunan. Nasa iyo na iyon.	I don't care where we eat dinner. It's entirely up to you.
