sa puhúnan	at cost
kung ako sa iyo..	if I were you..
bisig ng batas	arm of the law
huwág kang magmadalí	don't hurry
lagot ka	you're in trouble
tuwing ikalawang araw	every other/second day
kung gayón	in that case
i-kuwán mo	do the thing
(sa) palagáy ko hindi	I don't think so
wala ka (na) sa lugar	get out of / clear the way
sinusubUkan ko	I'm trying
kung sakalì	in case
Gagawin ko ang aking makakaya.	I'll do my best.
Walá kang pakialám!	It's none of your business.
akin na <foo>	give me the <foo>
sana <infinitive> mo ang ...	I hope you'll <verb> ...
kAya mo yan	you can do it
hindi ako magtAtagal	I won't be long
nagkamali ako	I made a mistake
may kailangan mo ba?	is there anything you need?
kasing-ganda mo siya	she's as beautiful as you
'di ngâ?	seriously? really? no kidding?
hinintay kita ng matagal.	I waited for you for a long time.
isara mo ang pinto	lock the door
parang hindi	hardly / doesn't seem
pwede mo ba ako ikuha ng kape?	will you get me some coffee?
Pagbigyán mo namán akó.	Please give me some slack. / Please oblige me.
Pahalik naman.	Let me have a kiss.
ayan ka na naman	there you go again
hindí namán	used to deny a statement or assumption, actually not, not really
máibá namán	for a change
patawad po	I'm sorry
gaano kadalas?	how often?
hindi malimit	not often
hating-gabi na	it's late (at night)
sabay tayong kumain	let's eat together
saan ba ako magsisimula	where do I start?
papaano ko malalaman	how should I know?
babalitaan kita	I'll update you
kinagabihan	on that night
Ikinalúlungkót ko	I am sorry
higit sa lahat	above all, most especially
bagong bili	newly bought
masarap siya	it's delicious
Alin ang mas gusto mong sapatos?	Which shoes do you like more?
Aling kotse ang mas gusto mo?	Which car do you like more?
Alin dito ang mas masakit?	Which one is more painful?
may kasunod pa pala	there's still more
meron pa ba?	is there more?
Meron pa	There’s more.
nahanap mo na ba?	did you find it?
nawawala parin	still missing/lost
málay ko ba?	hell if I know.
hindi ko pwedeng sabihin	I can't tell/say
maupô ka	have a seat
bahay ito ng tiyahin ko	it's my aunt's house
kaninang umaga	this morning
kaninong sasakyan ito?	whose car is this?
pwede ba akong pumasok?	can I come in?
sinong nagsabi niyan sayo?	who told you that?
gaano kasama iyon?	how bad is it?
kung iyan ang iyong nais	if that is your wish
dapat na ba tayo magsimula?	should we start?
malapit na matapos	almost finished
malapit na akong matapos	I'm almost finished
hindi biro	no joke
sa pamamagitan	through, via, with the use of, by means of
huwag mainit ang ulo kapag <whatever>	don't be a hot-head when <whatever>
panónoorín kita.	I'll watch you.
Gusto ko ng iba.	I want another.
úuwián kitá ng <something>.	I'll bring you home <something>.
Sásamahan kitá.	I'll go with you.
Dito ka.	Stay here.
Dito ka umupo.	Sit here.
mga itó	these
Sumeryoso ka nga.	Get serious.
Ano kayâ kung..?	what if..?
kani-kanina lamang	lately
kamakailán lamang / kailan lamang	recently, a short time ago
Gaano katagal?	How long? (time)
Gaano na katagal.	How long already?
Gaano pa katagal?	How much longer? (how long still)
tulungan mo ang iyong sarili	help yourself
eh ikaw?	how about you?
nang sabáy	simultaneously / at the same time
malamáng hindi	unlikely
Magtatanong lang pò	Excuse me! (before asking someone)
mawalang galang lang	excuse me (apologies for being disrespectful lang)
pagkataposng trabaho	after work
you and me	ikaw at ako
siyá nawâ	amen
pasok ka	come in
hayaan mong tulungan kita	let me help you
tutulUngan kita	I'll help you
lumapit ka	come closer
kaya mo yan	you can do it
maging masaya sana araw mo	(I hope you) have a great day
nagustuhan ko	I like it
