Saán kamí puwedeng magbayad?	Where can we pay?
Pwede ko bang hiramín itó?	Could I borrow this?
Hindî puwede.	It can't be.
Pwede ba kitáng asahan?	Can I rely on / trust you?
Puwede ba kitáng yakapin?	May I hug you?
Puwede pô dito bumabâ?	Can I get off here? (from a bus, jeepney, etc.)
Puwede ko bang hawakan ang kamáy mo?	May I hold your hand?
Hindî ka puwedeng lumagpás dito.	You can't go past here.
Puwede mo ba akóng samahan?	Can you accompany / go with me?
Puwede ba tayong mag-usap?	Can we talk? / Can we have a talk?
Puwede mo ba akóng tulungan dito?	Can you help me with this?
Pwede ba akóng magtanóng?	Can/May I ask a question?
Puwede ba tayong magkita bukas?	Can we meet up together tomorrow?
Hindî ka na puwedeng umatrás sa kásunduan.	You can no longer back out of the agreement.
Naghanáp akó ng pwedeng kong kainin.	I looked for something I can eat.
Puwede bang ikáw muna ang magbayad para sa akin?	Could you pay for me first?
Kúkumpirmahín nilá kung puwedeng ipagkaloób ang hilíng mo.	They will confirm if they can grant your request.
Saán akó puwedeng kumuha ng taksi?	Where can I get a taxi?
Kinúkumpirmá pa nilá kung puwede kang sumama sa amin.	They're still confirming if you're allowed to join us.
Puwede kang magsilbí bilang tagapayo ng mga estudyante.	You are qualified to be the students' adviser.
Kailán ka puwedeng magsimulâ?	When can you start?
Puwede ba magíng asawa ka?	Will you be my wife?
Hindî mo akó puwedeng pigilan.	You can't stop me from doing it.
Pwede bang magamit ang cell phone mo?	May I use your cell phone?
Puwedeng lakarin pero may kalayuan.	It's walkable but it's quite a distance.
Puwede ba akóng magpakilala sa iyó?	May I introduce myself to you?
Puwede na ba tayong mag-inuman?	Can we drink now?
Sabi ng doktór pwede na akóng bumangon kung kaya ko na.	The doctor said I can/am allowed to get out of bed now if I am able.
Puwede mong ubusin ang cake kung kaya mo.	You can/may finish the cake if you can / are able.
Puwede bang tatlóng kantá ang kantahín mo?	Is it OK with you to sing three songs?
Puwede bang tantanán mo akó?	Will you leave me alone?
Pwede ba kitáng sabayán sa pagpasok sa opisina bukas?	May I join you in going to the office tomorrow?
Títingnán ko kung puwede akó sa Linggó.	I'll see if I can make it / will be free on Sunday.
Hindî mo ba puwedeng dagdagán ang allowance ko?	Can't you possibly increase my allowance?
Hindî natin puwedeng palayain ang bilanggông itó.	We can't release this prisoner.
Puwedeng maagaw ang kalayaan dahil sa kawalán ng hustisya.	Freedom may be swept away by injustice.
Puwede bang tumayô ka muna?	Can you stand up for a moment?
Puwede ba kitáng ikuha ng inumin?	Can I get you a drink?
Puwede na rin.	It will do. / It's not so bad.
Hanggáng anóng oras ka puwedeng maghintáy?	Up to what time can you wait?
Kailán kamí puwedeng lumipat?	When may we move in?
Humanap tayo ng puwede nating upuán.	Let's look for something we could sit on.
Puwede bang magsama ng kaibigan?	May I bring a friend along?
Sino ang puwede kong hingán ng tulong?	Who can I ask for help?
Puwede kang mabíktimá kahit maingat ka.	You can be victimized even if you're careful.
Puwede ba akóng magpa-pícture kay Sarah?	Can I have a picture with Sarah?
Anó ang puwede kong mabilí sa isándaáng piso?	What can I buy for a hundred pesos?
Puwede ba kitáng makausap?	Can I talk to you?
Kanino puwedeng magtanóng dito kung anóng oras daratíng ang trén?	Whom can I ask here as to what time the train will arrive?
Umisip ka ng pwede nating gawín.	Think of something we can do.
Ano-anóng mga aklát ang puwedeng madagdág sa aklatan?	What books can be added to the library?
Puwede mo ba akóng maturuan sa paglangóy?	Can you teach me how to swim?
Oo, puwedeng ipamigáy sa akin ni Lara ang mga sapatos niyá.	Yes, Lara could give me her shoes.
Hindî ko alám kung puwede siyáng pagkátiwalaan ng mga lihim.	I don't know if he can be trusted with secrets.
Hindî mo puwedeng isabáy ang paglalarô sa pag-aaral.	You can't study and play at the same time.
Hindî puwedeng paghaluin ang tubig at langís.	Oil and water cannot be mixed.
