Can I help you?	Pwede bang tulungan kitá?
Can you help me?	Pwede bang tulungan mo akó?
can you repeat please?	pwede bang pakiulit?
Can you repeat please?	Pwede bang pakiulit?
Can you show me?	Pwede bang ipakita mo sa'kín?
can you speak slowly?	pwede bang sabihin mo nang dahan-dahan?
Can you speak slowly?	Pwede bang sabihin mo nang dahan-dahan?
Is it within walking distance?	Pwede bang lakarin?
pwede ba akong pumasok?	can I come in?
pwede ba akong sumama sa iyo?	can I go with you?
Pwede ba kitáng sabayán sa pagpasok sa opisina bukas? 	May I join you in going to the office tomorrow?
pwede ba kitang tawagan?	may I phone you?
pwede ba tayong magkita?	can we meet?
pwede ba tayong mag-usap?	can we talk?
pwede ba!	please!, puh-leaze!
pwede ba?	is it possible?
Pwede bang hintayin mo ako?	Can you wait for me?
Pwede bang huwag mo gawin iyan?	Would you mind not doing that?
pwede bang ikuha mo ako ng isang basong tubig?
pwede bang ituloy natin ang trabaho bukas?
Pwede bang kumain?	Is it okay to eat?
Pwede bang lakarin?	Can we walk there?
Pwede bang magtanong?	Can one ask a question?
Pwede bang pakigamit ang metro?	Can you please use the meter?
Pwede bang tignan ko ang kuwarto?	Can I see the room?
