Sabihin mo ulî.	Say it again.
Sabihin mo sa akin ang totoó.	Tell me the truth.
Anóng sinabi mo?	What did you say?
Sinabi mo iyán?	Did you say that?
Laging iyán ang sinasabi mo.	That's what you always say.
Huwág mong sasabihin kahit kanino, OK?	Don't tell anyone, OK?
Ulitin mo ang sinabi mo.	Say that again. (Usually confrontational)
Walâ akóng sinabi.	I didn't say anything.
Hindî ko sinabi iyán.	I didn't say that.
Sabihin mo muna, mahál mo akó.	First, say that you love me.
Anong sinasabi mo?	What're you saying?
Ano bang sinasabi mo?	What are you talking about?
Ano ba ang sinasabi mo?	What are you talking about?
Sasabihin namin kay Tom.	We'll tell Tom.
May sinabi siya sa kanya.	She said something to him.
Anong gusto mong sabihin?	What do you want to say?
Sabihin mo ang katotohanan.	Tell the truth.
Sumunod ka sa sasabihin ko.	You must do as I tell you.
Dapat kong sabihin kay Tom.	I have to tell Tom.
At kung sinabi kong "hindi"?	What if I say "no"?
Dapat sabihin mo na sa akin.	You had better tell me now.
Sinabi mo na ba sa iyong ina?	Have you told your mom?
Sabihin mo sa akin ang totoo.	Tell me the truth.
Sinabi mo sa mga magulang mo?	Have you told your parents?
Wala akong maisip na sabihin.	I couldn't think of anything to say.
Gawin mo ang sinabi ko sa iyo.	Do as I told you.
Huwag mong sabihin kanino man.	Just don't tell anybody.
Ba't di mo mas maagang sinabi?	Why didn't you say so earlier?
Anumang sinasabi niya'y totoo.	Whatever she says is true.
Huwag mong sabihin kanino man.	Just don't tell anyone.
Bakit mo sinasabi yan sa akin?	Why are you telling me this?
Sana sinabi mo sa akin kahapon.	You should've told me yesterday.
Sinabi sa akin ni Ito ang balita.	The news was told to me by Ito.
Meron ka bang gusto pang sabihin?	Do you have anything further to say?
Di niya puwedeng sinabing ganoon.	She can not have said such a thing.
Hindi ko sinabing tutulungan kita.	I didn't say I would help you.
May gusto ka bang sabihin sa akin?	Do you have something that you want to say to me?
Anong ibig sabihin ng sign na ito?	What does this sign signify?
Sabihin mo sa akin ang katotohanan.	I want you to tell me the truth.
Pwede mo bang ulitin ang sinabi mo?	Can you repeat what you said?
