abot (deliver/hand over)              nag-abot            nag-aabot           mag-aabot           mag-abot
abutin (reach for/hand over)          inabot              inaabot             aabutin             abutin
agaw (take by force)                  nag-agaw            nag-aagaw           mag-aagaw           mag-agaw
agawin (take by force)                inagaw              inaagaw             aagawin             agawin
akyat (climb)                         umakyat             umaakyat            aakyat              umakyat
akyatin (climb)                       inakyat             inaakyat            aakyatin            akyatin
alaga (care for)                      nag-alaga           nag-aalaga          mag-aalaga          mag-alaga
alagaan (care for)                    inalagaan           inaalagaan          aalagaan            alagaan
alam (find out)                       umalam              umaalam             aalam               umalam
alamin (find out)                     inalam              inaalam             aalamin             alamin
alay (offer as a gift)                nag-alay            nag-aalay           mag-aalay           mag-alay
alayan (offer as a gift)              inalayan            inaalayan           aalayan             alayan
alis (leave/depart)                   umalis              umaalis             aalis               umalis
alisin (remove)                       inalis              inaalis             aalisin             alisin
aliw (entertain)                      nag-aliw            nag-aaliw           mag-aaliw           mag-aliw
aliwin (entertain)                    inaliw              inaaliw             aaliwin             aliwin
alok (offer)                          nag-alok            nag-aalok           mag-aalok           mag-alok
alukin (offer)                        inalok              inaalok             aalukin             alukin
amin (confess/admit)                  nag-amin            nag-aamin           mag-aamin           mag-amin
aminin (confess/admit)                inamin              inaamin             aaminin             aminin
amoy (smell/savor)                    umamoy              umaamoy             aamoy               umamoy
amuyin (smell/savor)                  inamoy              inaamoy             aamuyin             amuyin
ani (harvest)                         nag-ani             nag-aani            mag-aani            mag-ani
anihin (harvest)                      inani               inaani              aanihin             anihin
anyaya (invite)                       nag-anyaya          nag-aanyaya         mag-aanyaya         mag-anyaya
anyayahan (invite)                    inanyayahan         inaanyayahan        aanyayahan          anyayahan
aral (study)                          nag-aral            nag-aaral           mag-aaral           mag-aral
aralin (study)                        inaral              inaaral             aaralin             aralin
asa (hope/expect/depend on)           umasa               umaasa              aasa                umasa
asahan (hope for/rely on)             inasahan            inaasahan           aasahan             asahan
awit (sing)                           umawit              umaawit             aawit               umawit
awitin (sing)                         inawit              inaawit             aawitin             awitin
ayos (fix/organize)                   nag-ayos            nag-aayos           mag-aayos           mag-ayos
ayusin (fix/organize)                 inayos              inaaayos            aayusin             ayusin
baba (go down/get off)                bumaba              bumababa            bababa              bumaba
ibaba (bring down)                    ibinaba             ibinababa           ibababa             ibaba
bago (change)                         nagbago             nagbabago           magbabago           magbago
baguhin (change)                      binago              binabago            babaguhin           baguhin
balik (come back/return)              bumalik             bumabalik           babalik             bumalik
ibalik (bring back/give back)         ibinalik            ibinabalik          ibabalik            ibalik
balikan (return for)                  binalikan           binabalikan         babalikan           balikan
balot (wrap/pack)                     nagbalot            nagbabalot          magbabalot          magbalot
balutin (wrap/pack)                   binalot             binabalot           babalutin           balutin
bangga (crash into)                   bumangga            bumabangga          babangga            bumangga
banggain (crash into)                 binangga            binabangga          babanggain          banggain
banggitin (mention/cite)              binanggit           binabanggit         babanggitin         banggitin
bangon (rise up)                      bumangon            bumabangon          babangon            bumangon
ibangon (rise up)                     ibinangon           ibinabangon         ibabangon           ibangon
banlaw (rinse)                        nagbanlaw           nagbabanlaw         magbabanlaw         magbanlaw
banlawan (rinse)                      binanlawan          binabanlawan        babanlawan          banlawan
bantay (guard)                        nagbantay           nagbabantay         magbabantay         magbantay
bantayan (guard)                      binantayan          binabantayan        babantayan          bantayan
basa (read)                           nagbasa             nagbabasa           magbabasa           magbasa
basahin (read)                        binasa              binabasa            babasahin           basahin
basag (break intentionally)           nagbasag            nagbabasag          magbabasag          magbasag
basagin (break intentionally)         binasag             binabasag           babasagin           basagin
bayad (pay)                           nagbayad            nagbabayad          magbabayad          magbayad
bayaran (pay for)                     binayaran           binabayaran         babayaran           bayaran
benta (sell)                          nagbenta            nagbebenta          magbebenta          magbenta
ibenta (sell)                         ibinenta            ibinibenta          ibebenta            ibenta
bigay (give/bestow)                   nagbigay            nagbibigay          magbibigay          magbigay
ibigay (give/bestow)                  ibinigay            ibinibigay          ibibigay            ibigay
bigyan (give/bestow)                  binigyan            binibigyan          bibigyan            bigyan
bihis (dress/change clothes)          nagbihis            nagbibihis          magbibihis          magbihis
bihisan (dress/change clothes)        binihisan           binibihisan         bibihisan           bihisan
bilang (count/ enumerate)             nagbilang           nagbibilang         magbibilang         magbilang
bilangin (count)                      binilang            binibilang          bibilangin          bilangin
bili (buy)                            bumili              bumibili            bibili              bumili
bilhin (buy)                          binili              binibili            bibilhin            bilhin
binyag (baptize)                      nagbinyag           nagbibinyag         magbibinyag         magbinyag
binyagan (baptize)                    bininyagan          binibinyagan        bibinyagan          binyagan
buhat (lift)                          nagbuhat            nagbubuhat          magbubuhat          magbuhat
buhatin (lift)                        binuhat             binubuhat           bubuhatin           buhatin
buhay (live/exist)                    nabuhay             nabubuhay           mabubuhay           mabuhay
buhayin (nourish/cause to live)       binuhay             binubuhay           bubuhayin           buhayin
bukas (open/turn on)                  nagbukas            nagbubukas          magbubukas          magbukas
buksan (open/turn on)                 binuksan            binubuksan          bubuksan            buksan
buod (summarize)                      nagbuod             nagbubuod           magbubuod           magbuod
buurin (summarize)                    binuod              binubuod            bubuurin            buurin
buo (complete/assemble)               nagbuo              nagbubuo            magbubuo            magbuo
buuin (complete/assemble)             binuo               binubuo             bubuuin             buuin
daan (pass through or over/drop by)   dumaan               dumadaan           dadaan              dumaan
daanan (pass by to fetch someone)     dinaanan            dinadaanan          dadaanan            daanan
dagdag (add)                          nagdagdag           nagdadagdag         magdadagdag         magdagdag
idagdag (add)                         idinagdag           idinadagdag         idadagdag           idagdag
dakip (capture/arrest)                dumakip             dumadakip           dadakip             dumakip
dakpin (capture/arrest)               dinakip             dinadakip           dadakpin            dakpin
dala (bring/carry)                    nagdala             nagdadala           magdadala           magdala
dalhin (carry/bring/deliver)          dinala              dinadala            dadalhin            dalhin
dalaw (visit)                         nagdalaw            nagdadalaw          magdadalaw          magdalaw
dalawin (visit)                       dinalaw             dinadalaw           dadalawin           dalawin
damay (express sympathy)              dumamay             dumadamay           dadamay             dumamay
damayan (express sympathy)            dinamayan           dinadamayan         dadamayan           damayan
dasal (pray)                          nagdasal            nagdarasal          magdarasal          magdasal
dasalin (pray)                        dinasal             dinadasal           dadasalin           dasalin
dating (arrive)                       dumating            dumarating          darating            dumating
dilig (water plants)                  nagdilig            nagdidilig          magdidilig          magdilig
diligan (water plants)                diniligan           dinidiligan         didiligan           diligan
durog (crush/grind)                   nagdurog            nagdudurog          magdudurog          magdurog
durugin (crush/grind)                 dinurog             dinudurog           dudurugin           durugin
ensayo (rehearse)                     nag-ensayo          nag-eensayo         mag-eensayo         mag-ensayo
galaw (move)                          gumalaw             gumagalaw           gagalaw             gumalaw
galawin (move)                        ginalaw             ginagalaw           gagalawin           galawin
galing (get better)                   gumaling            gumagaling          gagaling            gumaling
gamit (use)                           gumamit             gumagamit           gagamit             gumamit
gamitin (use)                         ginamit             ginagamit           gagamitin           gamitin
gastos (spend money)                  gumastos            gumagastos          gagastos            gumastos
gastusin (spend money)                ginastos            ginagastos          gagastusin          gastusin
gawa (do/make)                        gumawa              gumagawa            gagawa              gumawa
gawin (do/make)                       ginawa              ginagawa            gagawin             gawin
gawad (award)                         naggawad            naggagawad          maggagawad          maggawad
gawaran (award)                       ginawaran           ginagawaran         gagawaran           gawaran
gaya (copy/imitate)                   gumaya              gumagaya            gagaya              gumaya
gayahin (copy/imitate)                ginaya              ginagaya            gagayahin           gayahin
gising (wake up)                      nagising            nagigising          magigising          magising
gisingin (cause to wake up)           ginising            ginigising          gigisingin          gisingin
gugulin (spend)                       ginugol             ginugugol           gugugulin           gugulin
guhit (draw/sketch)                   gumuhit             gumuguhit           guguhit             gumuhit
iguhit (draw/sketch)                  iginuhit            iginuguhit          iguguhit            iguhit
gupit (cut)                           naggupit            naggugupit          maggugupit          maggupit
gupitin (cut)                         ginupit             ginugupit           gugupitin           gupitin
habol (chase)                         humabol             humahabol           hahabol             humabol
habulin (chase)                       hinabol             hinahabol           hahabulin           habulin
hagis (cast/throw/toss)               naghagis            naghahagis          maghahagis          maghagis
ihagis (cast/throw/toss)              inihagis            inihahagis          ihahagis            ihagis
halik (kiss)                          humalik             humahalik           hahalik             humalik
halikan (kiss)                        hinalikan           hinahalikan         hahalikan           halikan
halo (stir/mix)                       naghalo             naghahalo           maghahalo           maghalo
haluin (stir/mix)                     hinalo              hinahalo            hahaluin            haluin
hanap (look for)                      naghanap            naghahanap          maghahanap          maghanap
hanapin (look for)                    hinanap             hinahanap           hahanapin           hanapin
handa (prepare)                       naghanda            naghahanda          maghahanda          maghanda
ihanda (prepare)                      inihanda            inihahanda          ihahanda            ihanda
hatid (escort/convey)                 naghatid            naghahatid          maghahatid          maghatid
ihatid (escort/convey)                inihatid            inihahatid          ihahatid            ihatid
hawak (take hold of)                  naghawak            naghahawak          maghahawak          maghawak
hawakan (take hold of)                hinawakan           hinahawakan         hahawakan           hawakan
higa (lie down)                       humiga              humihiga            hihiga              humiga
higaan (lie on)                       hinigaan            hinihigaan          hihigaan            higaan
hila (pull)                           naghila             naghihila           maghihila           maghila
hilahin (pull)                        hinila              hinihila            hihilahin           hilahin
hingi (ask for)                       humingi             humihingi           hihingi             humingi
hingan (ask for)                      hiningan            hinihingan          hihingan            hingan
hintay (wait)                         naghintay           naghihintay         maghihintay         maghintay
hintayin (wait for)                   hinintay            hinihintay          hihintayin          hintayin
hinto (stop)                          huminto             humihinto           hihinto             huminto
ihinto (stop)                         inihinto            inihihinto          ihihinto            ihinto
hiram (borrow)                        humiram             humihiram           hihiram             humiram
hiramin (borrow)                      hiniram             hinihiram           hihiramin           hiramin
hiwa (cut into slices)                humiwa              humihiwa            hihiwa              humiwa
hiwain (cut into slices)              hiniwa              hinihiwa            hihiwain            hiwain
hugas (wash)                          naghugas            naghuhugas          maghuhugas          maghugas
hugasan (wash)                        hinugasan           hinuhugasan         huhugasan           hugasan
hula (guess/predict)                  humula              humuhula            huhula              humula
hulaan (guess/predict)                hinulaan            hinuhulaan          huhulaan            hulaan
huli (capture)                        humuli              humuhuli            huhuli              humuli
hulihin (capture)                     hinuli              hinuhuli            huhulihin           hulihin
hulog (fall)                          nahulog             nahuhulog           mahuhulog           mahulog
ihulog (cause to fall/drop)           inihulog            inihuhulog          ihuhulog            ihulog
ibig (fall in love)                   umibig              umiibig             iibig               umibig
ibigin (love)                         inibig              iniibig             iibigin             ibigin
igib (fetch water)                    nag-igib            nag-iigib           mag-iigib           mag-igib
ilipat (move/transfer)                inilipat            inililipat          ililipat            ilipat
inom (drink)                          uminom              umiinom             iinom               uminom
inumin (drink)                        ininom              iniinom             iinumin             inumin
ingat (be cautious or careful)        nag-ingat           nag-iingat          mag-iingat          mag-ingat
ingatan (be careful with)             iningatan           iniingatan          iingatan            ingatan
ipon (collect/save)                   nag-ipon            nag-iipon           mag-iipon           mag-ipon
isampay (hang clothes)                isinampay           isinasampay         isasampay           isampay
isip (think)                          nag-isip            nag-iisip           mag-iiisip          mag-isip
isip (come to mind)                   naisip              naiisip             maiisip             maisip
isipin (think about/consider)         inisip              iniisip             iisipin             isipin
iwas (avoid)                          umiwas              umiiwas             iiwas               umiwas
iwasan (avoid)                        iniwasan            iniiwasan           iiwasan             iwasan
iyak (cry/weep)                       umiyak              umiiyak             iiyak               umiyak
iyakan (cry for/weep for)             iniyakan            iniiyakan           iiyakan             iyakan
kagat (bite)                          kumagat             kumakagat           kakagat             kumagat
kagatin (bite)                        kinagat             kinakagat           kakagatin           kagatin
karga (carry/load)                    nagkarga            nagkakarga          magkakarga          magkarga
ikarga (carry/load)                   ikinarga            ikinakarga          ikakarga            ikarga
kain (eat)                            kumain              kumakain            kakain              kumain
kainin (eat)                          kinain              kinakain            kakainin            kainin
kalimutan (forget)                    kinalimutan         kinakalimutan       kakalimutan         kalimutan
