Sana manalo ka.	I hope you win.
Sana magustuhán mo itó.	I hope you'd like this.
Sana maramdamán mo rin ang naráramdamán ko.	I hope you'd get to feel how I am feeling right now.
Mapuntá sana sa iyó ang sumpâ.	May the curse be upon you.
Sana hindî ka maubusan ng pasénsiyá sa akin.	I hope you won't run out patience with me.
Sana hindî na maulit itó.	I hope this does not happen again.
Sana makauwî ka kaagád.	I hope you'd get home soon / right away.
Nagdasál akó na sana hindî ka umalís.	I prayed hoping that you won't leave.
Sana nasa Paris akó.	I wish I were in Paris.
Sana hindî ka mawalán ng tiwalà sa kaniyá.	I hope you won't lose your trust in her.
Sana tumamà akó sa lotto.	I hope I win the lotto.
Magsilbí sana itóng aral sa inyó.	Let this be a lesson to you. / Hopefully this serves as a lesson to you.
Sana akó ang mapilì.	I hope I'd be the one chosen.
Sana maunawaan mo akó.	I hope you would be able to understand me.
Sana huwág umulán mámayáng hapon.	I hope it doesn't rain this afternoon.
Sana magkaroón kayó ng magandáng kinabukasan.	I wish you/I hope you'll have a wonderful future.
Sana huwág kang tamarín.	I hope you won't feel lazy / lose steam (in doing something).
Nandito sana si Roda, dahil magseselos talagá siyá!	I just wish Roda was here, because she would be so jealous!
Pagkaloobán sana akó ng dagdág na karunungan.	May I be endowed with more wisdom.
Masundán sana natin ang halimbawà ng mga nakatatandâ.	May we follow the example of the elders.
Sana makaupô tayo.	I hope we'd be able to find seats.
Makita sana ng katulong ang singsíng.	I hope the maid finds the ring.
Mangisdâ sana silá.	I hope they go fishing.
Sana matutunan mo akóng mahalín.	I hope you'd learn to love me.
Sana tamaan ko ang jackpot sa Linggó.	I hope I win the jackpot on Sunday.
Sana mabuksán ang isip mo sa katotohanan.	I hope your mind will be open to the truth.
Maglahò ka na sana.	I hope you disappear already.
Sana dinalhán mo akó ng tinapay.	I would have wanted you to bring me some bread.
Sana matamaan ko ang jackpot.	I hope I win the jackpot.
Sana ay mas nanlabán pa akó sa kaniyá.	I should have tried harder to fight him off.
Ma-meét sana kitá.	I hope I meet you.
Sana hindî ka magsawà sa akin.	I hope you won't get tired of me.
Magpápadalá sana si Daisy sa iyó sa ospitál.	Daisy was thinking of asking you to take her to the hospital.
Sana inalala mong dalhín yung tuwalya mo.	I wish you kept in mind to bring your towel.
Sana maintindihán mo kung bakit ko ginawâ 'yun.	I hope you'd be able understand why I did that.
Sana hindî lumakíng tamád ang anák ni Tom kagaya niyá.	I hope Tom's son does not grow up to be a lazy man like him.
Sana maiisip mo pa ring bumisita dito kahit malayò ka na.	I hope you would still think of visiting with us here even if you already live far.
Ngayón na mag-iibáng bansâ ka, sana hindî ka makalimot.	Now that you're going abroad, I hope you will not forget about me.
Sana mágising kayó sa katotohanan.	I hope you'd wake up to the truth.
Sana mamatay ka.	I hope you die.
Sana mayaman ako.	I wish I were rich.
Sana nakinig ka sa akin.	You should've listened to me.
Sana makapunta ako sa Hapon.	I wish I could go to Japan.
Sana makapunta ako ng Japan.	I wish I could go to Japan.
Sana ay malakas ang memorya ko.	I wish I had a better memory.
Sana sinabi mo sa akin kahapon.	You should've told me yesterday.
Gusto ko sana ng pulang mga sapatos.	I wanted red shoes.
Maganda sana kung sama-sama tayong nagbiyahe.	It would've been great if we could've traveled together.
Sana sinabi mo na magsisimula ang pulong alas 2:30.	I wish you'd told that the meeting was going to start at 2:30.
Sana nakinig ako sa kung anong sinabi ng aking nanay.	I should've listened to what my mother said.
Kung ako'y nakakapagsalita ng Ingles, hindi sana nila ako pinagtawanan.	If I had been able to speak English then, I would not have been made fun of.
Kung may sapat na pera lamang ako, binilhin ko na sana ang bag na iyon.	If I had had enough money, I would have bought the bag.
Kapag may kaunting panahon ka pa, gusto sana kitang makausap tungkol sa ilang mga problema.	If you have a minute, I'd like to talk to you about some problems.
