Siyá si Jane.	She is Jane.
Mabaít siyá.	He is nice. / She is nice.
Sumimangot siyá.	He frowned.
Umilíng siya.	She shook her head to say "No".
Kilalá mo ba siyá?	Do you know him / her?
Sino siyá?	Who is he?
Kumain siyá ng mansanas.	She ate an apple.
Pumuntá siyá sa mall.	He went to the mall.
Batà pa siyá.	He is still young.
Mayroón siyáng lapis.	She has a pencil.
Nagpaalam siyá sa batà.	She said goodbye to the child.
Pumasok ba siyá?	Did he go in/to school/to work?
Isama mo siyá.	Take / Bring her along.
Nagyáyabáng ba siyá?	Is he bragging?
Hindî siyá makakita.	She can't see.
Nagiging popular siyá.	He is becoming popular. / He is getting popular.
Aréstuhín ninyó siyá!	Arrest him!
Iniisip ko siyá.	I am thinking about her.
Oo, kanina nandito siyá.	Yes, she was here earlier.
Nagpahayág siyá ng interés sa akin.	He expressed an interest in me.
Kailán siyá hulíng dumalaw?	When was the last time he came to visit?
Hindî pa siyá nakákabawì sa kaniyáng pagkagulat.	He hasn't recovered yet from his surprise.
Napápanoód ko siyá sa TV.	I get to see him on TV.
Tumútunóg ang sapatos niyá kapág siyá ay naglálakád.	Her shoes make a sound when she's walking.
Siyá ang nanguna sa kaniláng klase.	She was at the top of their class.
Parang hindî yatà siyá kúkumpirmahín para sa posisyón.	It looks like he won't be confirmed for the position.
Magsísilbí siyá bilang bagong pangulo ng bansâ.	She will serve as the country's new president.
Dádaló si Salve dahil pinilit siyá ni Janis.	Salve will attend because she was forced by Janis.
Mahirap hulaan kung saán siyá nanggaling.	It's difficult to surmise where she came from.
Ipinamigáy siyá noóng apat na taón siyá, hindî ba?	She was given away when she was four, right?
Bakit ayaw mo siyáng intindihín?	Why don't you try to understand / want to mind her?
Nilinaw ni Amanda na walâ siyáng alám sa pangyayari.	Amanda clarified that she had no idea about the event.
Tatlóng taón na ang nagdaán mulâ nang hulí ko siyáng makita.	It's been three years since I last saw him.
Nilinaw ng mámamahayág na walâ siyáng kiníkilingan sa kaniyáng balità.	The journalist clarified that he had no bias in his report.
