https://anngv.weebly.com/magtagalog-tayo/list-of-tagalog-slang-words-common-phrases-and-profanity

1/13/2017
This article contains Tagalog slang words, common phrases and profanity that are used almost in everyday speech. Tagalog is one of the Filipino languages spoken mostly in the southern parts of Luzon including Metro Manila. There are different varieties of the Tagalog language, mainly: Tagalog Bulaqueño (spoken in Bulacan province), Tagalog Manileño (spoken in Manila and its outskirts), Tagalo Rizaleño (spokern in Rizal province), Tagalog Batanggueño (spoken in Batangas and Laguna provinces, Tagalog Caviteño (spoken in Cavite) and Tagalog of Quezon province. Although there are no big differences, they can be differentiated based on the use of words, spelling and intonation. 

Abnoy	Abnormal person.
Ah, ganon!?	So, that's how it's gonna be!?
Ah, OK!	Ah, ok!
Ah, talaga?	Really? (surprised)
Akala mo lang 'yun!	A common phrase usually told to someone who supposed something the wrong way or on the contrary. Ex. A: Akala ko minahal mo 'ko. B: Akala mo lang 'yun! pero hinde! A:I thought you loved me. B: Well, you supposed it the wrong way!
Akin/Amin na yan!	"Give me that!" or "That's mine so gimmie that!" "That's not yours so give it to me!".
Ako na naman?!	It's me again?!
Alis!	Go out! Get outta here!
Amboy	American boy who lives in the Philippines. 
Anak ng puta naman oh!	Son of a bitch!
Anghit	Body odor.
Ang labo mo!	You say it to a person when he/she is undecided or when he/she can't decide what he/she really likes or could be, having an inconsistency in conversation, can't get what he/she really means.
Ano?!	What?!
Ano ba?!	What do you need?! Don't bother me! What's the matter?!
Ano bang paki mo?	Did it bother you?
Ano daw?	When you failed to hear/understand something
Anong nakain mo?	What happened to you? Literally means What have you eaten? (informal)
Anong say mo?	What do you think?
Apurado	From the Spanish verb "apurar" which means someone in hurry. Ex. "Wag ka ngang apurado!" Don't be in a hurry! or Don't pressure me to do this! 
Aray!	"Ouch!" An interjection of getting in pain. Ex. Aray! Napaso daliri ko! Ouch! My finger got scalded!
Arestado	Arrested.
Asa ka pa!	Usually an interjection which means like "Don't hope too much or you'll get disappointed!". Ex. A: Mahal nya kaya ako? B: Asa ka pa! A: I wonder if he loves me too. B: Hey! Don't hope too much or else you'll end up disappointed!
Asan?	Contraction of Nasaan which refers to the interrogative pronoun Where. Ex: Uy! Asan ka na ba? Hey! Where you at?
Askal	A stray dog.
Astig	Cool. Ex: Pare! astig nung ginawa mo, ah! Dude! What you've done is so cool!
Atat	The same as "apurado".
Ate	Sister (commonly used to call the attention of a female stranger older than you) Ex. Ate, pwede po bang pautang ng bente? Can you lend me 20 pesos? (formal)
Ayoko nga!	When you don't want something somebody is offering, proposing or giving you.
Babaero	A man who's fond of getting himself another woman; a womanizer.
Baboy ka!	Literally means, "you're a pig". It's an expression used to someone filthy.
Badtrip	Disappointment or Upset. Ex. Na-badtrip ako nung nakita kong may kasamang iba 'yung ex ko. I got upset upon seeing my ex with somebody else.
Baduy	Low class or out of fashion. Ex. Ang baduy mo talaga! You're so out of fashion!
Bagets	Youth or sometimes teen-agers.
Bahala ka!	An expression which means you let somebody do something without giving any hand, or sometimes it means you don't care to him/her at all, or you just let him/her do what he or she has to do Ex. A: Tulungan mo naman ako, oh! B: Bahala ka! A: Could you please help me? B: Do it on your own! I don't care at all!
Bahala na ang Dyos	Come what may. Whatever will be, will be. Literally means "Let God do what he has to do".
Bahala na si Batman	Come what may. Whatever will be, will be. Literally means "Let Batman do what he has to do".
Bakla or Bading	Fag (offensive)
Baliw	A mentally-ill person. A crazy person
Banatan	A verb which means to hit someone. Ex. Babanatan talaga kita pag sinabe mo sikreto ko! I'll hit you if you share my secret to others!
Bangag	Stoned
Bansot	One who stunted in growth (quite offensive)
Barkada	Group of friends.
Bat	Contraction of bakit whcih means why. Ex. Bat ka umiiyak? Why are you crying?
Bastardo	Bastard (from Spanish)
Bastos!	Pervert! (you tell it to someone who's becoming pervert or showing you obscene acts)
Batuta	A man's penis (figurative, less offensive)
Bayot	It is actually a cebuano word but nowadays tagalog people use it. It means a fag person.
Bebot	Female.
Beki	Fag (sometimes spelled as Becky or Beckie, less offensive) This picture shows how bekis look like.
Bente	20 pesos (from Spanish) Ex. May bente ka? Do you have twenty pesos?
Berde ang dugo	Gay (figurative, literally means Green blooded)
Bes	Term commonly used to call your best friend especially for girls.
Betlog	Male testicles.
Bi	Bisexual.
Bistado	To be revealed. Ex. Bistado na kayo! Your secret is now revealed or We now know what's your secret!
Bobo	A profanity which came from the Spanish language that means "Dumb". It can be used as an adjective or a noun. 
Bokya	A failure. Ex. Bokya ang show kagabi. Last night's show didn't end up well.
Bold	Semi-porn movies of 80's and 90's.
Bolera/Bolera	One who's fond of flattering others. 
Bongga	Elegant. Ex. Ang bongga ng damit mo, ah! What an elegant dress you have!
Bottom	Passive (sexual behavior)
Boy	Boy.
