# part 96
ano sa palagay mo?	what do you think?
nasiyahan ka ba?	were you happy?
nakita mo ba ang hinahanap mo?	did you find what you were looking for?
sinabi mo ba say kanya?	did you tell him?
nalaman ba niya?	did he find out?
kailan mo nalaman?	when did you find out?
paano mo nalaman?	how did you know?
kailan ba siya babalik?`when will he return?
pwede ka bang maghintay?	can you wait?
pwede mo ba siyang hintayin?	can you wait for him?
matAtagalan ba bago ka makabalik?	will it be long before you return?
sigurado ka ba?	are you sure?
maaasahan ba kita?	can I count on you?
katulad mo ba siya?	are you similar to her?
ano ang ibig mong sabihin?	what do you mean?
saan ako nagkamali?	where did I go wrong?
yun ba ang akala mo?	is that what you think?
ano pa ang magagawa ko?	what else can I do?
kailan mo ba kailangan?	when do you need it?
kailangan mo ba kaagad?	do you need it right away?
nagmAmadali ka ba?	are you in a hurry?
tama ba ang ginawa mo?	did I do it right?
nag-aalala ka ba?	are you worried?
saan mo gustong pumunta?	where do you want to go?
pwede ba akong sumama sa iyo?	can I go with you?
kailangan mo ba ng kasama?	would you like a companion?
pwede mo ba akong samahan?	can you come with me?

# part 88
samakatwId	therefore
hindi mo siya nakita, samakatwid, hindi mo siya makikilala	you have not seen him, therefore you will not recognize him
at saka	furthermore
siya ay pagod at gutom, at saka puyat	he was tired and hungry, furthermore he lacks sleep
samantAlang	whereas
lahat ng kapatid ko ay abogado, samantalang ako ay doktor	all of my siblings are lawyers, whereas I am a doctor
dahil sa	due to
nahuli ako sa trabaho dahil sa masikip na trapiko	I was late for work due to the traffic
pati na rin ang	as well as
nakilala ko ang nanay mo pati na rin ang kapatid mo	I met your mother and your brother as well
lalo ang	namely
paborito niya ang pagkaing pilipino, lalo na ang adobo at caldereta	she loves filipino food, namely adobo and caldereta
halimbawa	for example
magaling siyang kumanta, halimbawa mga kanta ni celine dion	she is a good singer, for example songs by celine dion
dahil sa	because of
walong pasok bukas dahil sa bagyo	there is no class tomorrow due to the storm
sa katunayan	in fact
ang kanyang ginawa, sa katunayan ay mabuti	what he did was good in fact
kabilang	including
maaari ko bang makita ang nabili mo, kabilang na ang resibo?	may I see what you bought, including the receipt?
sa kabilang dako	on the other hand
sa kabilang dako, pwede tayong magkita sa martes sa halip na miyerkules	on the other hand, we could meet on tuesday instead of wednesday
tulad ng	such as
naghAhanap kami ng tulong tulad ng pagbibigay ng pagkain	we are looking for help, such as providing the food
yamang	in as much as
yamang may oras ka, pwede tayong magkita	in as much as you have the time, we can meet
din, rin	also
sasama rin siya	he will also be coming
gayon din naman	likewise
ang prutas ay nagpapalusog at gayon din ay nagpapalakas	the fruit nourishes you and likewise keeps you strong

# part 84
May magandang balita ako para sa iyo.	I have a good news for you.
Natutuwa akong makita ka.	I am glad to see you.
