Tamà ba itó?	Is this correct?
Tamà na.	It is all right. / That's enough.
Tamà na iyán, Joe.	That's enough of that, Joe.
Nabigyán na kitá. Tamà na.	I already gave you some/it. That's enough already.
Binigyán na kitá. Tamà na.	I already gave you some. That's it/enough.
Kailangan mong magdaán sa tamang tawiran.	You have to get to the right pedestrian crossing.
Hindî ka umuurong, tamà?	You're not giving up, are you? / You're not giving up, right?
Pípirmá akó dahil itó ang tamang gawín.	I will sign because it's the right thing to do.
Udyukán natin ang mga kakandidato na gawín ang tamà.	Let's persuade those running for office to do the right thing.
Tamà ba siyá?	Is she correct?
Itatakdâ nilá sa pulong ang mga pamantayan ng tamà at malî.	They will set the standards of right and wrong in the meeting.
Naglunsád ang gobyerno ng mekanismo sa tamang pagbubuwís.	The government launched a mechanism for proper taxation.
Manlabán kung sa palagáy mo ay tamà ka.	Defend yourself if you think you are right.
Punuan ng tamang sagót ang mga patláng.	Fill in the correct answers in the blanks.
Mamuhay ka lang nang tamà.	Just live right.
Biro ito, tama?	This is a joke, right?
Isip ko'y tama ka.	I think you're right.
Tama ang sagot mo.	Your answer is right.
Ang sagot mo'y tama.	Your answer is correct.
Ginawa nila ang tama.	They did the right thing.
Maaaring tama si Tom.	Tom could be right.
Kapag tama ka, tama ka.	When you're right, you're right.
Inaamin kong tama siya.	I admit that he is right.
Kapag tama ka, tama ka.	When you're right, you're right.
Kaya, tama rin pala ako!	I was right too, then!
Sa kasalukuyan, tama ka.	You're right for now.
Tama na ako; busog na ako.	I've had enough, so my stomach is full.
Pumili ka ng tamang salita!	Choose the right word!
Tama na ba ang dinadaanan ko?	Am I going the right way?
Dapat palaging gawin ang tama.	You should always do what is right.
Hindi ako sigurado kung ito'y tama.	I'm not sure if this is correct.
Dumating siya sa paaralan sa tamang oras.	He arrived at school exactly on time.
Inaasahan kong mali ka, pero alam kong tama ka.	I wish you were wrong, but I know that you're right.
Anumang sabi ng diksiyunaryo'y di parating tama.	What a dictionary says is not always right.
Parang di tama iyon. Nagbabakasyon pa siya sa Hawaii.	That can't be right. He's still on vacation in Hawaii.
Isip kong kakaiba ang pangungusap na Hapon, pero dahil sinulat ng Hapon, akala ko'y tama.	I found the Japanese sentence weird, but since it was written by a native, I thought that it was probably correct.
