Tapós ka na?	Are you finished?
Tapós na ba tayo?	Are we finished now?
Hindî pa tapós si Tom.	Tom isn't done yet.
Tapós na ba kayó sa report?	Are you done with the report?
Tapós na ba kayóng maglarô?	Are you done playing?
Tapós na ang pulong ng mga tagapamahalà.	The managers' meeting is over.
Hindî ko pa tapós ang proyekto.	I haven't completed the project yet.
Tapós na ang laban niná Bert at Bong.	The Bert and Bong's match is over.
Hindi pa ako tapos sa iyo.	I'm not through with you yet.
Sabi ni Tom na tapos na siyang gawin iyan.	Tom said he was finished doing that.
Tapos nang linisin ng katulong ang kwarto nang pumasok sa loob si Carol.	The maid had already cleaned the room when Carol walked in.
Tapos ko nang gawin ang lahat ng aking takdang-aralin at nais kong magpahinga nang saglit.	I have done all of my homework and I'd like to take a short break.
