Na-miss kita.	I missed you.
Galit ka ba?	Are you angry?
Nagseselos ka ba?	Are you jealous?
Na-miss mo ba ako?	Did you miss me?
Pakinggán mo ako.	Listen to me.
Ano sa palagay mo?	What do you think? (to ask an opinion)
Gusto kong samahan mo ako.	I want you to go with me.
anong pakialam mo?	What do you care? (“None of your business.”)
Gusto kong patunayan na mahal kita.	I want to prove that I love you.
Ano ang petsa ngayon?	What’s the date today?
Ano ang araw ngayon?	What day is it today?
Araw ng martes ngayon	It's tuesday now
Kailan ka ipinanganak?	When were you born?
Ipinanganak ako noong ikatlo ng Hunyo, taong 1979.	I was born on the third of June, year 1979.
isang libo,siyam na raan,pitumput siyam	1979
Ika-anim ng Pebrero ang anibersaryo ng kasal ko.	My wedding anniversary is on the sixth of February.
Dalawampu’t tatlong araw na lamang ay Pasko na.	Just twenty-three more days and it’s Christmas already.
Taga-saan siya?	Where is he/she from?
Taga-saan sila?	Where are they from?
Taga-saan ka?	Where are you from? (to young people)
Taga-saan po kayo?	Where are you from? (to old people)
Taga-saan ka sa Pilipinas?	Where are you from in the Philippines?
Taga-saan ka sa California?	Where are you from in California?
Anong gusto mong inumin?	What do you want to drink?
_inumin-verb
inumin-noun
Anong inumin ang gusto mo?	what drinks would you prefer?
Gusto kong uminom ng tsa.	I want to drink tea.
Lagyan mo ng gatas ang kape.	Put milk in the coffee.
Huwag mo lagyan ng asukal ang kape.	Don’t put sugar in the coffee.
Uminom ka ba ng tubig?	Did you have a drink of water?
Huwag kang uminom ng alak!	Don’t drink liquor!
Lagyan mo ng yelo.	Put some ice (in it).
Kainan na!	Time to eat!
Ayaw mong kumain?	You don’t want to eat?
Bakit ayaw mong kumain?	Why don’t you want to eat?
Wala akong ganang kumain.	I don’t feel like eating.
Gutom na ako.	I’m hungry already.
Anong gusto mong kainin?	What would you like to eat?
Wala bang tinapay?	Isn’t there any bread?
