Precious, 6:02 PM
brought	nagdalá
bring	nagdadala
magdadala	will bring
bring	dalhin,dadalhin
fill	punuín
language	wika
among	kasama ng
power	kapangyarihan
town	bayan
final	panghuli or pangwakas
quick	madali,mabilis
develop	bumuo
behind	sa likod ng
clear	malinaw
produce	gumawâ
fact	katunayan
true	katotohanan
space	puwáng
heard	nariinig
listen	makinig
better	mas mabuti
best	napakabuti
remember	tandaan
remembrance	pag alala, pag ala ala
step	hakbang
early	maaga
interested	interestado
reach	abutin,maabót
sing	kantahín, awitin
travel	paglalakbáy
several	iláng
toward	patungo
against	laban
appear	lumitaw
rule	panuntunan
govern	pamamahala,namamahala
probable/probably	marahil/malamang
believe	maniniwala
belief	paniniwala
perhaps	siguro,baka,marahil
sudden	bigla, walang ano-anó
reason	dahilan
subject	paksa
settle	tumira
speak	magsalita
say	sabi
weight	timbáng
general	pángkalahatán
include	isama
divide	hatiin
present	kasalukúyan
prove	patunayan
proof	patunay
joy	kagalakán
keep/kept	panatilihin
edge	gilid
bright	maliwanag
weather	panahon
month	buwan
hope	pag asa
strange	kakaibá
trade	kalakal/kálakalán
receive	tumanggap
except	maliban
suggest	iminungkahi
equal	pantay,kapantay
choose	piliin
fit	angkop,umangkop
fair	makatarungan
quiet	tahimik,malayo sa ingay
moment	sandali
method	paraan,pamamaraan
village	nayon,barangay
whether	kung
either	alinman sa
type	uri ng
value	halaga
difficult	mahirap
corner	sulok
character	katangian
