Precious, 6:02 PM
safe	ligtas
consider	isipin,isaalang-alang
sense	pakiramdam
danger	panganib
thick	makapal
thin	manipis
soldier	sundalo,kawal
fight	laban
protect	protektahan,ipagtanggol
locate	hanapin
indicate	ipahiwatig
expect	asahan,inaasahan
imagine	isipin
agree	sang-ayon
necessary	kailangan,kinakailangan
create	lumikha
neighbor	kapit-bahay
compare	ihambing
famous	sikat
fear	takot
search	hanap
allow	pumayag
current	kasalukuyan
arrive	dating
spend	gumastos
slave	alipin
enemy	kaaway
occur	mangyari
support	suporta
motion	galaw
slow	mabagal
women	kababaihan
men	kalalakihan
especially	lalo na
discuss	pag usapan,talakayin
lesson	leksyon
similar	katulad
guide	gabay
experience	karanasan
condition	lagay,kalagayan
dream	pangarap,mangarap
continue	magpatuloy
event	kaganapan, pangyayari
arrange	ayos,mag-ayos
determine	matukoy
chance	pagkakataon
gather	magtipon
property	ari-arian
select	piliin
repeat	ulitin
require	kailangan,nangangailangan
prepare	maghanda
preparations	handa,handaan
basic	karaniwan,pangunahing
Tagalog Phrases for Love
I love you so much	mahal na mahal kita
You're my life	Ikaw ang buhay ko
I want to be with you for the rest of my life	Gusto kitang makasama sa habang	buhay
no one else,just you	Wala nang iba,ikaw lang
I am always here for you.	Andito ako lagi para sa iyo
Giving Compliments
That looks good on you.	Bagay sa 'yo 'yan.
You have such a beautiful smile.	Ang ganda ng ngiti mo.
I like what you said	Gusto ko 'yang sinabi mo
You're such a good cook.	Ang sarap mong magluto.
You're really nice.	Sobra kang mabait,ang bait mo talaga
You're so nice to be with.	Ang sarap mong kasama.
Tagalog Phrases for Dining/Eating
Let's eat.	Kain na tayo
