as	bilang
was	noon,noon ay
for	para,para sa
on	sa
are	ay
with	may
they	sila
be	maging
at	sa,nasa
have	may,mayroon
from	mula sa
by	sa pamamigitan ng
but	ngunit
some	ilang
had	nagkaroon
the	ang
of	ng
and	at
we	namin
other	ibang
can	maari
were	ay
which	kung saan
their	kanila
how	paano
said	sinabi
each	bawat
tell	sabihin
end	wakas,pagtatapos
put	ilagay
large	malaki
add	magdagdag
even	kahit,kahit na
must	kailangan
such	tulad
follow	sumunod,sundin
act	kumilos
change	pagbabago
light	liwanag
went	pumunta,nagpunta
kind	uri
off	mula sa
need	kailangan
want	gusto
try	subukan
us	atin
again	muli
near	malapit
any	anuman
part	bahagi
take/took
kumukuha/kumuha
made	ginawa
after	pagkatapos
only	tangi,lamang
came	dumating
every	bawat
me	ako
mine	sa akin
our	sa atin,amin
through	sa pamamagitan ng
successful	matagumpay
just	lang,lamang
form	itsura,paraan
sentence	pangungusap
think	palagay
cause	dahilan
before	bago
right	karapatan
about	tungkol
like	tulad ng
so	kaya
most	karamihan
down	baba
