briefly	nang saglitan
spend time	"maglaán ng oras/panahon" or "ilaán ang oras"
It could take a while.	Bakâ matagalán ito.
in the future	sa hinaharap
on-time	sa takdang panahon
Just be there on time.	Bastá dumatíng ka sa oras.
you've been quiet today.	kanina ka pa tahimik.
not for now	hindi sa ngayon
around 8 or 9 o'clock	mga 8, 9, ganyan
last time I saw him	hulí ko siyáng nakita
the last time I saw her	ang hulí ko siyáng nakita
as long as I'm still alive	hangga't buhay pa ako
take your time	huwag kang magmadalI
two times a day	nang dalawang beses sa isang araw
not less than an hour	di bawas nang isang oras
I'll call you in a few minutes / a little while	tatawag sa iyo sa ilang minuto. 
I'll get more later	kukunin ko mas (marami) mamaya 
a while ago	nakaraan pa(?)
I don't spend much time there	hindi na ako gumugugol Ng maraming oras doon. 
I have fallen behind in my work	Nahulí ako sa aking trabaho. 
I got there at eight	alas otso na ako dumating
the last time I was here	noóng nakaraáng puntá ko rito
not very often	hindi masyadong madalas
I have not been busy since yesterday.	Kahapon pa ako walang ginagawa.
I'm just about to get dressed	magbibihis pa lang ako
It's still only three o'clock	alas tres pa lang
it's only july	hulyo pa lang ngayon
even when it was small	kahit noong maliit pa ito
You go first, go ahead, lead the way	Mauná ka (na)
I'll start now	sisimulan ko na ngayon
I'm leaving now	aalis na ako
I'm still thinking	nag-iisip pa ako
It never happened.	Hindi kailanman nangyari ito.
Now what do we do?	Ano na ngayon ang gagawin natin?
Time now to have fun.	Panahon na para magsayá.
We’ve just finished.	Katatapos pa lang namin.
are you ready to go?	handa ka na bang pumunta?
for a minute, for a short while	nang sandali
he's been watching since this morning	kaninang umaga pa siya nanonood
last year	noóng nakaraáng taon
last year	noong lumipas na taon
last year	noong nakalipas na taon
last year	noóng isáng taón
later tonight	mamayáng gabí
not any more; never mind	hindî na
since earlier ("for a long while already")	kanina pa
the day before yesterday	noóng kamakalawá
two days ago	nung makalawá
this might take a while	matatagalán pa siguro ito
when I woke up	noong ako'y nagising
when he was younger	noóng mas batà siyá
we will be late	mahuhuli kami
from beginning to end	nang pasimula hanggang katapusan
