(mga) baryá	coins
(na)panalunan	winnings
(Sa salitang Bikolano, Hiligaynon at Sebuano, ang ay gúlong o ikot na	papihit-pihit tulad ng galaw ng bola.)
‘yun	the, that
“Hindi,” mariin na sagot ni Pedro.	“No,” Peter answered emphatically.
“lagáy”	bribe
“Masipag na bata iyang si Pedro… pero mahina sa klase,” sabi ni Gng.	Cruz. “Hindi ko siya mabibigyan ng pasadong marka.”
“Oo” man ang sagot mo…	Even if your answer is “Yes”…
“Pag may time”	“If there’s time”
“Patayin ang karibal, para walang sagabal.”	Kill the rival, so there are no impediments.
“poreners”	foreigners
“Push mo ‘yan.”	Taglish slang phrase for encouraging someone to go after a goal.
Aalagaan kitá.	I’ll take care of you.
Aalis ako búkas.	I’m leaving tomorrow.
Aalis na ako.	I’m leaving now.
Aampunin ka namin.	We will adopt you.
Abá! : katagang nagpapahayag ng matinding damdamin, hal pagkagulat,	pagtataká, paghanga
Aba!	an interjection
Aba, siyempre!	Well, of course!
Abala ako sa paghahanda.	I’m busy preparing.
abala, n	a burden on someone, an inconvenience
abalahin, v	to bother
abalang-abala	very occupied
abay	bridesmaid
abay	consort
abay	escort
abay	maid of honor
aberya sa kotse	car trouble
abók	ash
abók	dust
abot ng isip	extent of view, scope fo one’s intelligence
abot ng matá	within eye’s reach = within sight
ábot	reach
abot-kamay	within reach
abot-kisap, abot kurap	continuous winking
abot-tanaw	horizon
abuloy	contribution
abuloy	subsidy, aid, help
abuluyan	to raise funds for
ága	earliness
agad, adv.	immediately, at once, quickly
agad-agad	very quickly
agad-agarin	to do something in a rush
ágap: pagkilos nang una sa inaasahang mangyari batay sa pagsusuri ng	katulad na kalagayan sa nakaraang karanasan
Agawan ang mga tao sa tinapon na [66]kendi.	People went crazy grabbing the candy that was thrown.
agawan	a free-for-all of grabbing
Agawin mo  man ang lahat	Even if you snatch everything
agaw-tulog	half-asleep
agos ng buhay	flow of life
agos ng dugo	blood flow
agos ng tubig	waterflow
Ahas ka!	You’re a snake.
áhas: reptil (suborder Ophidia) na walang paa, madulas, at may	makamandag na pangil
Ahitin mo ang kilikili mo.	Shave your armpit.
Akala ko patay ka na.	I thought you were dead already.
akala	to assume
akalain	to suppose, presume
aking mga dasal	my prayers
aklat ng buhay	book of life
aklat ng pagluluto	cookbook
aklat patnubay	companion book
aklat	book
Ako ang mananalo sa paligsahang ito.	I’ll be the winner in this contest.
Ako ang nagpauso nito.	I’m the one who made this fashionable.
Ako ang pinaka-mayaman.	I am the richest.
Ako ang saksí.	I am the witness.
Ako ang sasagip sa iyo.	I’ll be the one to save you.
ako at ikaw	me and you
Ako ay alipin mo.	I am your slave.
Ako ay nangungulila sa iyo.	I am longing for you.
Ako ay nangungulila sa iyo.	I am yearning for you.
Ako ay sumama sa kanila.	I joined them.
Ako ay tao lamang.	I am only human.
Akó ay tao.	I am a person.
Ako ba ang tatay mo?	Am I your Daddy?
Ako ba ang tinutukoy mo?	Am I the one you’re referring to?
Ako bale ang lider.	It’s like I’m the leader.
Akó daw.	Me, they said.
