walang tiyagA	impatient
hindî na	not any more; never mind
ayoko ng <foo>	I don't want <foo>
tíla	apparently, seemingly, "it seems"
tíla uulan	It seems it's going to rain
<something> yata	<something>, I think
hindi yata	I don't think so
huli tayo	we're late
Remind me	Ipaalala mo sa akin.
karaníwan	usually; common; habitual
Nasa sa iyo (nasa 'yo) na ang pagpapasiyá.	it's up to you to decide.
Nasa sa iyo (nasa 'yo)		it's up to you
gayon din naman		likewise
handa ka na bang pumunta?	are you ready to go?
gawin mo muli.	just do it again.
gusto mo bang sumama sa akin sa <somewhere>	do you want to come with me to <somewhere>
hintayin mo ako	wait for me
botika	pharmacy
dilaw	yellow
Masama ang pakiramdam.	I'm not feeling well.
