tutukan, tumutok	to focus
ayan ka na naman	there you go again
dahan-dahan ka	calm/slow down
dahan-dahan magsalita nga!	speak slowly!
malay ko ba?	how would I know?
máibá namán	for a change
Pagbigyán mo naman ako	please give me some slack
akin na <foo>	give me the <foo>
tama na	that's enough / no more
'di nga?	srsly?
sabihin mo sa akin	tell me
sakâ na	some other time
sa palagáy ko	I think / in my opinion
maging masaya	have fun
eh ikaw?	how about you?
sumama sa akin	come with me
malamáng hindi	unlikely
hindi yata	I don't think so
Sakâ mo na ako tanungin.	Ask me another time.
Huwag mo akong istorbohin!	Don't bother me!
Huwag mo akong suntukin.	Don't punch me.
Huwag mo akong kagatin.	Don't bite me
huwag mo akong sapukin	don't hit me
