Yun ang sinabi ko.	That's what I said.
marunong <ang phrase> <infinitive AF> <ng phrase>.	<ang> know(s) how to <do something>.
ayan ka na naman	there you go again
dáhan-dáhan ka	calm/slow down
ása ka pa.	you wish.
málay ko ba?	how would I know?
máibá namán	for a change
dahan-dahan magsalita nga!	speak slowly!
Pagbigyán mo naman ako	please give me some slack
gawin mo na!	do it!
ngá bá?	is that actually the case??
akin na <foo>	give me the <foo>
wala kang pakialam	none of your concern
tama na	that's enough / no more
'di nga?	srsly?
sabihin mo sa akin	tell me
sakâ na	some other time
sa palagáy ko	I think / in my opinion
maging masaya	have fun
úuwián kitá ng <bla>	I'll bring you home <bla>
siya sige	okay then
eh ikaw?	how about you?
sabihin ang katotohanan	tell the truth
tulungan mo ang iyong sarili	help yourself
higit sa lahat	above all / most of all
sumama sa akin	come with me
malamáng hindi	unlikely
hindi yata	I don't think so
dito ka	stay here
Sakâ mo na ako tanungin.	Ask me another time.
pwede ba	please, puh-leaze!
