Tumawag ka ng ambulánsiyá!	Call an ambulance!
Bakit ka tumawag?	Why did you call?
Kailán ka tumawag?	When did you call?
Bakit ka hindî tumawag kahapon?	Why didn't you call yesterday?
Kailán ka ulî tatawag?	When are you going to call again?
Tatawag ba tayo ng taxi?	Should we call for / hail a cab?
Anóng oras ka tatawag?	What time will you call?
Gaano kadalás tumawag sa iyó si Billy?	How often does Billy call you?
Tumawag kayâ ng doktór ang tatay?	Could father have called for a doctor?
Kailangan sigurong tumawag ng doktór si tatay.	Perhaps father should call a doctor.
Tátawagan ba kitá o ikáw ang tatawag sa akin?	Shall I call you or would you be the one to call me?
Tumawag ka?	You called?
Tumawag sila.	They called.
Tumawag si Tom.	Tom called.
Walang tumawag.	Nobody called.
Tatawag ako agad.	I'll call back soon.
Hindi tumawag si Tom.	Tom hasn't called.
May tumatawag ng tulong.	Someone is calling for help.
Tumawag ka ng ambulansya.	Call an ambulance.
Ako ang tumawag sa kanya kahapon.	It was I that phoned him yesterday.
Tatawag ako ng taksi para sa atin.	I'll get us a cab.
Maaari ka bang tumawag ulit mamaya?	Could you call again later, please?
Gusto mo ba na tatawag ako ng pulis?	Do you want me to call the police?
Bakit hindi ka tumawag bago pumunta rito?	Why didn't you phone before coming?
Tumawag ako sayo kagabi upang ibigay ang mabuting balita.	I called you last night to give you the good news.
